image_name| comment_number| comment
1019604187.jpg| 0| A dog prepares to catch a thrown object in a field with nearby cars .
1068427675.jpg| 4| Man finished throwing bowling ball towards bowling pins .
1072153132.jpg| 2| A dog is jumping to catch a object thrown at it .
1073145694.jpg| 0| A man in a yellow shirt and black shorts getting ready to throw a javelin .
1075867198.jpg| 1| A man in shorts with two black dogs holds a ball throwing toy at the beach .
1077931201.jpg| 0| A man in water throwing a little boy up in the air and waiting for him to come down so he can catch him .
1122357785.jpg| 1| A man joyfully throws his son while swimming .
116862076.jpg| 0| Woman with rolled up jeans throwing a frisbee on the beach .
1186391461.jpg| 2| A woman throwing a ball down a bowling alley .
122019659.jpg| 2| A young boy stands waiting for a baseball to be thrown to him .
124106477.jpg| 1| A woman in the middle of throwing a bowling ball in a bowling alley .
1285067106.jpg| 2| A young boy is getting ready to throw a baseball
130163559.jpg| 0| A cowboy in the rodeo arena holds on tightly as the bucking bronco tries to throw him off , while rodeo helpers and the audience look on .
132935992.jpg| 0| A man 's pants are falling down as he throws crates into a dumpster .
13301546.jpg| 1| A man in a bowling alley getting ready to throw the bowling ball down the lane .
1348517063.jpg| 1| A woman in shorts throwing a bowling ball down a bowling alley .
1348517311.jpg| 0| A person about in the middle of throwing a green bowling ball down a bowling lane .
135235570.jpg| 1| A man is being thrown a Frisbee in front of a monument and flags .
1355703632.jpg| 2| A girl is winding up to throw a softball .
1355833561.jpg| 3| A child is being thrown in the air playfully .
1358398144.jpg| 0| A Young child is throwing a big rock into a body of water .
139245992.jpg| 3| Man on the beach is throwing a red ball .
1405005999.jpg| 2| Three girls shooting darts , girl in white 's turn to throw .
1417224277.jpg| 0| A mother and father throw their young son in the air while walking outside on a crisp day .
1425188219.jpg| 4| Small blond boy throwing a fit .
1433154463.jpg| 0| A man wearing an orange shirt and a baseball glove has just thrown a ball .
1440024115.jpg| 0| A tri-colored dog jumps and catches a pink frisbeen that a man in shorts has thrown .
1444710198.jpg| 0| Two boys playing around the shores of a lake with one boy in a teal shirt throwing rocks into the lake .
1500576335.jpg| 0| A UH football player , ,  15 , stands near the edge of the field ready to throw the ball while his teammate blocks an opponent .
1501438486.jpg| 0| A football player in a red jersey is tackling a football player in a white jersey who is attempting to throw the ball .
150712506.jpg| 1| a young child throwing stones into a shallow stream .
1563731247.jpg| 1| Little girl buried in hay throwing hay around at a lady .
1573017288.jpg| 3| Blond child throws up her arms as she travels down slide .
159845627.jpg| 1| A man is being thrown from the bull he is riding during a rodeo .
1606988704.jpg| 0| Three children playing with hay outdoors , throwing some at camera lens .
170292350.jpg| 0| A baseball player in a red jersey throwing a ball at the pitchers mound .
