image_name| comment_number| comment
10957138.jpg| 1| A little girl in a flower print bathing suit , jumping into the ocean .
110695011.jpg| 0| A man wearing a black jacket and gray slacks , stands on the sidewalk holding a sheet with something printed on it in his hand .
1196746186.jpg| 0| A woman in a jacket walks on the beach in someone 's footprints while holding her shoes in her hands .
1235580648.jpg| 0| The two men are wearing tall hats , one hat is a red print and the other is gold colored .
1290571209.jpg| 1| A young boy in a Hawaiian print shirt holding a sponge up to a white oven door .
1303727828.jpg| 0| A woman in a floral print dress and a shaved head at a store .
1307094208.jpg| 0| A person wearing a hat and carrying a knapsack walks uphill on a sand dune under a dark , cloudy sky and leaves the only visible footprints behind .
1400424834.jpg| 2| Woman in zebra print top and tight jeans standing on a curb .
140738818.jpg| 3| A smiling baby is standing up with hands on a floral printed couch .
1409723496.jpg| 0| A man with dark hair is wearing a white shirt with printed flames and is holding a pair of tongs .
145558685.jpg| 3| This lady in the print dress is stripping food for dinner .
1510078253.jpg| 1| A dog with fangs revealed is about to bite a ball with paw prints on it .
152500619.jpg| 2| Tanned man in a animal print Speedo walking down the street .
1598809111.jpg| 0| Three oriental woman and girls buying and looking at small prints in a store .
166774567.jpg| 0| Woman in a leopard print outfit , walking in the street and a man in a dark blue jacket and denim jeans walking in the opposite direction .
17396786.jpg| 0| A woman in colorful print weaves on a loom while a seated man in a red shirt looks on .
1771490732.jpg| 0| Two boys in blue and yellow uniforms play soccer with a boy in a pink printed uniform .
1869615544.jpg| 0| A group of children in red t-shirts with white hearts printed on them sit beside a large bus parked in front of a Toys R Us store .
1895768965.jpg| 3| a dog sprints across the leaf covered ground .
1939130031.jpg| 0| a newborn baby boy wearing a beautiful elephant print onesie , is taking a nap on his side .
1956585457.jpg| 0| Two guys one in a red jacket the other in a leaf print shirt cutting cakes , they look ready to dig in .
2047182655.jpg| 0| A woman in a purple print dress sews a pattern on a white piece of fabric .
2053665832.jpg| 3| A blond woman in a blue uniform is sprinting .
2110898123.jpg| 4| a dog sprints across the grass .
212332005.jpg| 1| An Asian woman in a black and white printed shirt sits by the side of a building .
2140222017.jpg| 0| An elderly woman wearing a flower printed apron with a pink colored shirt is cooking inside her kitchen .
2225864432.jpg| 1| A woman in a animal print coat standing next to a smoking woman .
2226811586.jpg| 1| A little girl in a floral print shirt is walking across a paved walkway .
2230260635.jpg| 1| a beach with footprints on the sand a person sitting down with an umbrella
2230813326.jpg| 0| A man carries a picket sign that resembles a restaurant menu , while a woman in a pink , printed sweatshirt gives an exaggerated pout .
226642878.jpg| 0| A woman in an army-green tank top with curlers in her hair gets her makeup applied by another woman , in front of an exotic animal-print backdrop .
2282530092.jpg| 0| A young brunette grade-schooler wearing gray pants and a festive red T-shirt pulled over her long-sleeved print top is lying on her side on a brown couch with her head nestled into a brown pillow as she reads To Kill A Mockingbird .
229565492.jpg| 0| A white man with camouflage pants and a black and white print shirt covered in white foam or cream .
230135931.jpg| 0| An Asian Indian man in a yellow madras shirt asleep next to a woman in a red print dress .
2311401527.jpg| 2| Blue prints for a house hang above a woman working on a doorway .
2354516058.jpg| 0| An older women wearing a red and gray printed sweater is standing in her kitchen stirring a stew .
238062992.jpg| 0| An asian man walking past a red painted brick wall with a doorway with the words Keep Clear printed on it .
2408224709.jpg| 0| A little girl wearing a purple printed pajama top is leaning on a street railing and staring at her view .
2414390475.jpg| 1| Person in a graphic print t-shirt standing in front of shelves of purses and shoes .
2440300227.jpg| 1| A young child in his red soccer uniform sprints under the watchful gaze of his father .
2454923455.jpg| 0| A man is reclining in an Adirondack chair wearing khaki pants and a print shirt .
2484190118.jpg| 0| Small child in white shirt and print shorts with hands over their head standing on object .
251586160.jpg| 1| a black dog sprints near the blue fence .
2527525680.jpg| 0| A young girl is standing in a field of grass with a flag printed hat on her head .
2529226054.jpg| 0| A person in a red vest walks past a shuttered entrance way with a Fanta ad in the background and the word ' sex ' spray printed on some sheet metal fencing in the foreground .
2542355262.jpg| 2| A boy in a blue print shirt is holding a can .
2580174179.jpg| 1| A larger man in a leaf-printed shirt is working with his remote controlled airplane .
2593392439.jpg| 0| A man in a blue print shirt and wearing a hat , is playing a blue guitar outside by a cafe .
260828892.jpg| 0| A woman in a black dress is leaving footprints in the sand as she walks towards the ocean .
262376764.jpg| 0| A toddler in a sesame street t-shirt , and an infant , wearing a shirt with a baseball printed on , play with dirt in a public park .
2682739228.jpg| 1| A gray-haired woman with a black and white print dress sits on a park bench .
270684372.jpg| 0| There is a person in zebra striped pants and another person in a giraffe print pair of pants both lying down .
2730994020.jpg| 4| A dog sprints across a grassy field .
2744615692.jpg| 0| Young blond child in bathing suit leaving footprint on the shore .
2755595842.jpg| 1| Someone standing on a red ball and a girl standing in front wearing a tiger print shirt .
2759211664.jpg| 4| a boy sprints across the sand .
2812590023.jpg| 0| A man is photographing a Budweiser sprint car at a speedway smoking its tires .
2844654521.jpg| 3| A woman in a printed dress is walking down the street .
2936590102.jpg| 1| A white greyhound dog is wearing a red jacket with the number one printed on it .
2939116460.jpg| 0| Blond-haired girl wearing a bicycle helmet ," a black t-shirt that reads "" Twizzlers "" and a printed dog tag necklace around her neck ."
2969380952.jpg| 0| A few men sprint across the grass in competition with one another .
2987593918.jpg| 0| A dark-haired middle-aged woman wearing a necklace , bracelet , dangling earrings , and a print blouse gestures toward two other dark-haired middle-aged women , one of whom is wearing glasses .
3023753964.jpg| 0| A woman with a cheetah-print hoodie , red glasses and striped hair looks at an electronic device while a girl in a black and yellow scarf looks on .
3064443326.jpg| 1| A person in a white t-shirt , military print cap and red bandanna with a skeleton on it covering most of the person 's face .
3072650525.jpg| 0| A young girl wearing screen printed teal tank top and white embellished summer pants walks up a sidewalk path while carrying an orange lunch box .
309059803.jpg| 3| A shirt booth with a man printing a shirt .
3097981044.jpg| 0| A man wearing a leopard print jacket sits behind a table covered with books and papers looks at a man wearing a black shirt with white print while the man speaks to him , three women in the room also listen to the conversation .
3145967309.jpg| 1| A man in a white print shirt and a woman in a black dress dancing .
3153828367.jpg| 1| Santa Claus with a young girl in a black print dress in his lap .
3168360695.jpg| 0| A young boy in green Christmas print pajamas unwraps a gift while a man with a gold wedding band and green sweatshirt assists him .
3195320645.jpg| 0| Footprints and other tracks mar the sandy dunes while two boys dressed in blue and yellow disappear over the crest of one of the dunes .
3216866097.jpg| 0| Older men and women dancing in front of a stage , a man in a white hat twirling a woman in a red flower print skirt and white shirt .
3217909454.jpg| 1| A woman in leopard print holds up a baby in white clothing .
3223973114.jpg| 1| A grayhound dog is sprinting .
3238951136.jpg| 0| Man in red shoes and red and white print shorts posing in front of rocks by water .
3245070961.jpg| 1| A young boy in dark clothing with a smile sprints .
326456451.jpg| 1| The brown and black dog sprints across the snow .
3299408000.jpg| 1| A woman in a black and white long-sleeve floral print dress with pink lipstick appears to be singing near a brick wall and an atm machine .
"33143954.jpg| 1| A man wearing a t-shirt that has "" gnu "" printed on it gives a technology presentation ."
3321248380.jpg| 0| A man in a colorful outfit with cherries imprinted on the sleeve , pulling a cart with bags .
