image_name| comment_number| comment
101669240.jpg| 1| A man in a hat is displaying pictures next to a skier in a blue hat .
105493628.jpg| 0| White wine and appetizers on are displayed in an upscale restaurant .
1071201387.jpg| 1| Man in bright yellow vest displays bicycle safety information on street .
109608573.jpg| 4| A young boy sits by an outdoor stand displaying hats .
110269384.jpg| 0| A dark-haired woman in a green and white apron sits amid her outdoor display of flowers for sale on a city street .
1141643526.jpg| 1| In a crowd of young people at a bar , a man stands displaying the rock and roll sign .
1157215900.jpg| 4| An older asian woman displaying bread for sale
11610969.jpg| 1| People are gathered around and walking buy a display of clothing and other items .
1162606352.jpg| 0| An Asian woman and an African American woman are displaying their culinary dishes .
119082045.jpg| 0| A man and a woman locking arms ( wearing expensive clothing ) next to glass display ( perhaps retail stores ) on the sidewalk in an urban setting .
119364730.jpg| 0| A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .
120889725.jpg| 2| Two people are sitting on a wall near a large display of cotton candy .
123314995.jpg| 1| A man in red shirt displays his fighting technique on another man in gray shirt .
1245194315.jpg| 3| A couple standing in front of a store display window .
1252787177.jpg| 3| People walk by a display of underwear hanging in a stall .
"1254659.jpg| 0| A sign that displays "" Mongolian BBQ "" shines above two employees in white shirts and caps and green aprons ."
1257692349.jpg| 0| A varied crowd mills about ( or rough-houses ) on a public street , with lots of bicycles on display .
12668600.jpg| 0| A young boy actively engaged in display model .
128395402.jpg| 1| A woman is riding her bike past a water fountain display .
128706814.jpg| 0| A cartoon cutout of Snow White is standing in front of a store display window while a woman in a large hat is standing cross legged at the door .
1294578091.jpg| 0| Standing man on phone with seated woman writing , near artist 's outdoor display .
1354131040.jpg| 2| Fisherman with his daily catch on display , his product is fresh .
138235288.jpg| 3| A woman looking at wood items that are on display .
1386251841.jpg| 0| A woman is looking at a display case with three outfits on a backdrop of bright yellow .
1395410911.jpg| 1| A man with a backpack stopping and looking at the display in the store .
1398957709.jpg| 0| A man wears a black cape in the parking lot of a building that has artwork displayed on the exterior .
1401351228.jpg| 4| People looking at pictures on a display .
1405650076.jpg| 2| A little boy is hiding underneath a table on the street that is displaying fruit .
"1409041007.jpg| 0| A man in front of a "" KitchenAid "" display speaks to a group of people ."
1409801982.jpg| 1| A chef in white talks to guests about various tomato varieties over a display table of tomatoes and sauces .
1414520123.jpg| 0| A crew of chefs dressed in white proudly display an array of pastries .
1428839421.jpg| 2| A man with stretched earlobes wearing a black hat stands in front of a display of food for sale .
143237785.jpg| 0| Someone is holding up a green fish for display outdoors .
144571886.jpg| 3| Chevrolet car on display at a convention
1453251773.jpg| 1| An oriental woman is handling a tray of fruit and smiling while surrounded by an array of similar trays of fruit in a colorful display .
1464120327.jpg| 3| Little boy peering into a glass display case .
149150776.jpg| 0| A smiling woman in an orange skirt holds an open briefcase that displays a claw hammer .
1510926782.jpg| 4| A myriad array of produce out on display .
15688495.jpg| 4| A woman stands behind a pink table where a cake is displayed .
1580359117.jpg| 2| A man in a red apron displays a gourmet plated entree .
1614698671.jpg| 0| A picture of different kinds of donuts on display with a man wearing a bandanna and a red shirt working in the background .
"1616086463.jpg| 0| a "" The Human Shop "" display in a public area such as a mall or airport ", with four people , 3 females and one male , all wearing black with chains around their wrists , two of the females are sitting and the other with the male are standing , with a green sign in white lettering explaining what it is on the top and bottom for more information .
1708957026.jpg| 0| A woman in a pink jacket is walking past a display window with a red dress in an urban setting .
182503906.jpg| 0| A food vendor stands behind a display of bins of several types of nuts , candy , or other small snacks , with signage in Hebrew .
191488669.jpg| 0| A woman in a black top stands with another man , displaying a group of patterned dresses on hangars .
193225278.jpg| 1| A blond woman interacts with a wire sculpture that sits on a display with a sign posted on it that says ' Mega Joule ' .
195084264.jpg| 1| An older man is standing next to a display of wooden trays .
2000387055.jpg| 1| A girl in a red and white outfit is standing inside a display with other holiday items .
2078016024.jpg| 1| A woman in a colorful dress and headscarf displays mounds of fresh vegetables on a street .
2087764795.jpg| 1| A mustached man in a white shirt is at a stand that displays cigarettes and glass bottles of various sodas .
2097615120.jpg| 2| An old woman taking pictures at an outdoor photography display .
2101413509.jpg| 0| A small child in a red coat watches the fireplace display through the storefront window of a purse store .
