image_name| comment_number| comment
100444898.jpg| 3| A man stands on wooden supports and surveys damage .
10637120.jpg| 0| A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment .
1290525613.jpg| 1| Two small dark-skinned children surveying a dump with green trees in the background .
171211612.jpg| 1| A scuba diver surveying the tranquil underwater environment .
199412398.jpg| 0| A boy surveys merchandise in an alleyway market .
2215393122.jpg| 3| Two Chicago police officers are surveying a demolition area .
23012662.jpg| 0| A blond woman in white tennis clothes surveys the crowd at a tennis match .
2541939817.jpg| 3| A group of men happily survey the day 's catch of fish .
3078402009.jpg| 3| A player surveys the court to inbound during a high school basketball game .
3120266797.jpg| 2| Men with surveying equipment are in the background of landscape .
3152980191.jpg| 1| Four men , 3 in white lab coats and one wearing black jacket , surveying bread buns in industrial kitchen .
3396175512.jpg| 2| A man in a suit surveys a park in the daytime with a caged tree in the foreground and town homes in the background .
3608651253.jpg| 0| A member of a Japanese survey crew kneels at the side of the road while holding a wooden 2x4 .
3842225496.jpg| 0| A round , white-bearded man with glasses surveys a paper from a meeting table which bears other papers and glasses and pitchers of water .
390921095.jpg| 2| A mounted policeman on a dappled horse surveys a crowd .
4467161305.jpg| 1| Two men in the construction industry are surveying their work space .
4653128161.jpg| 3| A man surveys fields near the edge of town .
4685142270.jpg| 4| A couple of people survey the sea for wildlife .
4696109052.jpg| 1| Two people survey the night sky , illuminated by the moon and the glow of the city they are in , with an ornate bust occupying the space to their right .
4958781334.jpg| 1| Two Asian women wearing traditional head garb survey a garden .
5390483760.jpg| 0| A police officer and firemen are surveying a car wreck where a van has gone off-road .
6333038155.jpg| 4| A man surveying in a fairly large city .
7175934082.jpg| 2| A man in combat fatigues surveys the scene using binoculars .
7992914279.jpg| 0| You must have a great personality , since you chose to conduct this survey-type layout .
8146641506.jpg| 4| A man surveys a booth at a convention featuring framed art .
