caption,url,probs
a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,https://derrickversion5.s3.amazonaws.com/midjourney_original/0.png,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a brown dog running on a lawn near a garden hose,https://derrickversion5.s3.amazonaws.com/midjourney_original/1.png,"[0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,https://derrickversion5.s3.amazonaws.com/midjourney_original/2.png,"[0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
a woman sleeps under a blue and white blanket in a car .,https://derrickversion5.s3.amazonaws.com/midjourney_original/3.png,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,https://derrickversion5.s3.amazonaws.com/midjourney_original/4.png,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
men playing volleyball in the sand .,https://derrickversion5.s3.amazonaws.com/midjourney_original/5.png,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a little boy playing in the water .,https://derrickversion5.s3.amazonaws.com/midjourney_original/6.png,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a blond dog and a black and white dog run in a dirt field .,https://derrickversion5.s3.amazonaws.com/midjourney_original/7.png,"[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,https://derrickversion5.s3.amazonaws.com/midjourney_original/8.png,"[0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
girl wearing blue shirt and black shorts plays trumped outside .,https://derrickversion5.s3.amazonaws.com/midjourney_original/9.png,"[0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
kids play around a statue bust outside .,https://derrickversion5.s3.amazonaws.com/midjourney_original/10.png,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]"
a woman is drinking a beverage in a busy cafe .,https://derrickversion5.s3.amazonaws.com/midjourney_original/11.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
"three children are playing outdoors , two of them on a metal barrel swing .",https://derrickversion5.s3.amazonaws.com/midjourney_original/12.png,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
two children swing in dusty rooftop from a swing made from a steel drum .,https://derrickversion5.s3.amazonaws.com/midjourney_original/13.png,"[1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0]"
"person leaning against the wall , next to a life size cartoon cut out .",https://derrickversion5.s3.amazonaws.com/midjourney_original/14.png,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
two swimmers race in a pool with a red line between them .,https://derrickversion5.s3.amazonaws.com/midjourney_original/15.png,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
an older couple passes by a young lady on the sidewalk .,https://derrickversion5.s3.amazonaws.com/midjourney_original/16.png,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
three children are practicing martial arts in a gym .,https://derrickversion5.s3.amazonaws.com/midjourney_original/17.png,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a lady with short hair wearing a black jacket leaned against a lamp post outside a building .,https://derrickversion5.s3.amazonaws.com/midjourney_original/18.png,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a man perched on a row of aquariums is using a net to scoop a fish from another aquarium .,https://derrickversion5.s3.amazonaws.com/midjourney_original/19.png,"[0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a dark-haired man is speaking into a microphone while another man is sitting beside him .,https://derrickversion5.s3.amazonaws.com/midjourney_original/20.png,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
people pass each other on a busy city street while talking on their cellphones .,https://derrickversion5.s3.amazonaws.com/midjourney_original/21.png,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
person with two ski poles skiing down a snowy hill .,https://derrickversion5.s3.amazonaws.com/midjourney_original/22.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0]"
"a man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach , making a sand castle that is as tall as he is when he is kneeling .",https://derrickversion5.s3.amazonaws.com/midjourney_original/23.png,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a black dog runs on green grass with its mouth open .,https://derrickversion5.s3.amazonaws.com/midjourney_original/24.png,"[0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
decorated limo passing by elderly woman waiting on park bench in chinese street .,https://derrickversion5.s3.amazonaws.com/midjourney_original/25.png,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
three people in various stages of swimming strokes race along colorful lane markers .,https://derrickversion5.s3.amazonaws.com/midjourney_original/26.png,"[0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
one dog is jumping at the lady while the other walks away .,https://derrickversion5.s3.amazonaws.com/midjourney_original/27.png,"[0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0]"
a motorcyclist on a red speed bike leans into a sharp turn .,https://derrickversion5.s3.amazonaws.com/midjourney_original/28.png,"[3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
a man is sitting on the street playing drums on buckets .,https://derrickversion5.s3.amazonaws.com/midjourney_original/29.png,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a lively adult karate practice at the dojo .,https://derrickversion5.s3.amazonaws.com/midjourney_original/30.png,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a red dog jumps to catch a tennis ball in the dry tall grass .,https://derrickversion5.s3.amazonaws.com/midjourney_original/31.png,"[0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
the brown dog catches a ball in the air .,https://derrickversion5.s3.amazonaws.com/midjourney_original/32.png,"[0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
the little girl swings in the backyard .,https://derrickversion5.s3.amazonaws.com/midjourney_original/33.png,"[0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
"four young adults sit outside on a wooden deck near a building around a small round table , while another person stands on the edge of the deck , leaning on the wooden railing , with the sun shining on one of them and the rest of them are in the shade , two of them crossing their legs , one holding a cellphone out in front of himself and another holding a green and red soda can .",https://derrickversion5.s3.amazonaws.com/midjourney_original/34.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]"
a woman is having her foot examined by another woman in a run-down building .,https://derrickversion5.s3.amazonaws.com/midjourney_original/35.png,"[0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
