image_name| comment_number| comment
"1254659.jpg| 0| A sign that displays "" Mongolian BBQ "" shines above two employees in white shirts and caps and green aprons ."
1333888922.jpg| 4| A child swings and the sunshine shines down on her .
1341529446.jpg| 3| The sunshine behind a group of trees on a long rode .
139540338.jpg| 0| Several men dressed in cowboy boots and hats are hanging around , and one man is getting his shoes shined .
145754126.jpg| 1| The shoeshine man , who shines shoes for a living , is shinning the black leather shoes of a man in nice dress pants .
1564614124.jpg| 1| A girl plays with a necklace as the sun shines behind her .
1694114389.jpg| 0| A man wearing a jacket and hat rides his bicycle among bright rays of sunshine that is streaming between an array of Autumn leafs .
1820795682.jpg| 1| A female cheerleader in a shiney blue cheerleaders outfit leaps across stage while performing .
223424495.jpg| 0| A woman in a traditional Muslim headdress is bringing her child into a gymnasium while the sun shines through the open doorway behind them .
2304469976.jpg| 0| A man shines another man 's shoes on the sidewalk of a busy street full of cars and parked motorcycles .
2304938797.jpg| 0| Children and a woman walk through the woods in the sunshine .
2401201668.jpg| 2| A shoeshine man works as others pass by on a busy sidewalk .
2516172139.jpg| 3| Two little girls walk out into the sunshine .
2540972205.jpg| 3| A man in a shiney yellow shirt stands in front of a microphone .
2564331065.jpg| 3| A crowd of people enjoying the sunshine in a plaza .
2737664903.jpg| 2| The sun shines bright on the snow surrounding a few people .
2744017957.jpg| 0| A gentleman in a short-sleeved shirt and pants shines a person 's shoe outside while other people walk past .
2758942112.jpg| 2| A woman is getting her shoes shined by a boy while an older man is sweeping up around , in an urban setting .
2807380242.jpg| 3| A group of people surrounded by trees , take a hay ride together in the sunshine .
284644694.jpg| 0| A dark-skinned young girl is having her sneakers polished by a shoeshine boy in India .
3065207901.jpg| 4| A young girl shines shoes while sitting on a bench .
3134387513.jpg| 0| A man and woman in a dark room with lights behind them holding drinks while a bright green light shines in their faces .
3273403495.jpg| 0| A downhill skier races down the snowy hillside as the sun shines above in a clear sky .
3319405494.jpg| 1| two skiers are jumping over a mound of snow underneath bright sunshine .
3389707399.jpg| 0| Two men are giving shoeshines in an outdoor setting .
340667199.jpg| 0| Several girls are in a crowd and one is smiling while the sun shines in her face .
3480214619.jpg| 0| A person walks across the street while a rainbow shines in the background .
356929855.jpg| 1| A dog swimming in a lake has sunshine shining on him .
3588417747.jpg| 1| A man slides down a railing while another shines a light on him .
3826467863.jpg| 0| Hikers walking along a pathway beside a high laid stone block wall in brilliant sunshine .
3887487086.jpg| 0| This is a closeup of a young , innocent-looking boy with tousled hair who is holding with both hands what seems to be a plastic , green and orange beach ball with a butterfly design as the sun shines upon him from his right .
3889526603.jpg| 2| People meditating in the bask of the sunlight as it shines over the mountains .
3963996930.jpg| 3| A man with a walker is sitting in a lawn chair in the sunshine .
4076921303.jpg| 0| An elderly man is getting his shoes shined at a mobile shoe shining shop .
4077122969.jpg| 1| A disc jockey busy at work as lights shine upon him .
4095018474.jpg| 2| A man in a blue denim shirt sitting on a sidewalk with equipment to repair and shine shoes .
4183662919.jpg| 4| A small girl shines her boots .
4414009112.jpg| 1| A spotlight shines down on a guitarist win a black shirt at a concert .
4542426243.jpg| 0| A man wearing a African attire is sitting on a stool while another man , seated in front of him , is giving him a shoeshine .
4576144189.jpg| 0| The sunshine is coming down on a young family enjoying company on their patio .
458469106.jpg| 0| A woman in a gray sweater is folding and constructing as light shines on her face .
4607606901.jpg| 2| A young girl pets a brown doe in the sunshine .
462509510.jpg| 3| A senior sitting on a stone path giving a shoeshine .
4668157654.jpg| 0| One person in black leaning against a building in a sliver of sunshine .
4688742732.jpg| 0| A businessman wearing a suit is getting his shoes shined in a metropolitan area .
4696863473.jpg| 4| A young man is sitting in the sunshine .
4725000343.jpg| 4| People outside enjoying sunshine .
475739062.jpg| 3| A shoeshine sitting in a train station .
4882700736.jpg| 0| A man in a black hat prepares to shine the brown shoes of a seated customer .
4927147688.jpg| 0| A man with a mustache has his shoes shined on the street by a man in a blue shirt .
4935516549.jpg| 0| A man in a black jacket is talking with two blond women as they stand near a car in the sunshine .
4941930778.jpg| 4| An older man sitting in the sunshine .
5011727499.jpg| 1| Two girls decorate their room with green accents as the sun shines through the window .
5246144737.jpg| 4| The kids are outside playing in the sunshine .
5716554915.jpg| 0| A woman in a black outfit lies face first on a yoga mat ; several paintings are hanged on the wall , and the sun shines through a large window near her .
6104320982.jpg| 0| A man talking on a call phone is getting his shoes shined while he sits upon a blue work cart .
6210731480.jpg| 0| A man wearing a wife-beater sings into a microphone as a blue light shines on him .
653210730.jpg| 2| Three girls are jumping and smiling outdoors in the sunshine .
6758092327.jpg| 3| Longhair cowboy plays guitar and drinks moonshine from a jug .
6993511259.jpg| 0| Three people in a race running outside in the sunshine with participant numbers on their belly 's .
7024548595.jpg| 0| A girl holds her creation out for all to see , as pride shines in her eyes .
733964952.jpg| 0| A man is sitting by a large plant waiting to shine a customer 's shoes .
7526370420.jpg| 1| Male guitarist wearing glasses on stage while lights shine in the back .
7808717546.jpg| 0| A person is paddling on a board toward the bank of a body of water with sunshine reflecting on the ripples of water .
7849579912.jpg| 0| A mountain climber smiles for the camera as he ascends a steep cliff while the sun shines on him .
86987116.jpg| 1| A single light shines on a man with a baseball cap as he stands in a room with a ladder and graffiti on the wall .
958326692.jpg| 1| Rays of sunlight shine down on a green tent in the woods .
