image_name| comment_number| comment
1287982439.jpg| 2| A brown dog barks over its shoulder in the water .
2058124718.jpg| 0| Brown dog barks at another brown dog with a stuffed duck in mouth .
2230813326.jpg| 1| A group of people on the bark , brightly lighten street , while one man with a gray hat holds a large colorful sign with arrows .
2284894733.jpg| 2| The dog is barking while running down an obstacle .
2333584535.jpg| 3| Pack of sled dogs in the snow , one barking .
2353102255.jpg| 0| Two rottweiler dogs indoors , the smaller one barking at the larger .
2404692474.jpg| 4| the dog barks at the toy .
246231741.jpg| 2| A German shepherd barking at another German shepherd in a forest .
2505360288.jpg| 0| A daschund with an open mouth appears to bark at a bubble making machine in the grass .
2567035103.jpg| 2| Two dogs are running and barking at each other .
2570559405.jpg| 0| Three dogs are behind a rusty fence as one barks .
2582390123.jpg| 1| A small dog barks at a brown and white cow .
2600867924.jpg| 0| Two dogs run and bark outdoors , one white and brown , one white and black .
267836606.jpg| 4| A black dog barking .
2678747865.jpg| 1| A man is about to embark on a dangerous stunt involving a bicycle and bungee cords .
2709536455.jpg| 3| Three barking , howling dogs
2716104559.jpg| 1| A group of people are disembarking from a boat at a harbor on a bright sunny day .
2735158990.jpg| 3| A brown and white dog stands on his hind leg and barks .
2766630484.jpg| 3| A brown , black , and white dog barking up a tree .
2841196844.jpg| 4| A carnival barker yelling at someone .
2870875612.jpg| 1| A dog swimming along the ocean with a bark in its mouth .
3124455694.jpg| 2| Passengers board and disembark a crowded train .
3173976185.jpg| 1| A black and white dog , on a green field , barking at the camera .
3189251454.jpg| 1| A tan dog with a black collar barking in the snow .
3266306177.jpg| 1| Two dogs are standing in snow , the smaller one barking at the larger one .
3286193613.jpg| 0| Brown dog barking at something off-camera , green background .
3321063116.jpg| 1| Black cow jumping a fence in the snow as a dog barks and another cow watches .
3348384389.jpg| 0| A brown and white dog with a pink collar is barking at a brown dog with a blue collar in the snow .
3376942201.jpg| 2| Two dogs are barking in a kitchen while a person sits at a table .
3399312265.jpg| 0| Brown and black dogs on snow , showing teeth and barking at each other .
3415165462.jpg| 3| A dog barks at plants in a walled concrete courtyard .
3522989916.jpg| 2| A brown dog barks at a gray dog in the grass .
3542341321.jpg| 2| Two dogs on the grass , barking at each other .
3585487286.jpg| 0| Two white and brown dogs barking on the shoreline while waves roll in behind them .
3605100550.jpg| 0| A brown and white dog barking through the fence at smaller black and white dog .
369359877.jpg| 1| A sideshow barker on a small stage on the sidewalk trying to call in customers .
4447650454.jpg| 3| A white car is parked next to a tree that has red bark .
480845172.jpg| 1| A mother and son are about to embark on a forest adventure .
536721406.jpg| 3| The dog barks madly at the bull in the pen .
7173939318.jpg| 3| A boat pear with people boarding and disembarking some boats .
984092829.jpg| 0| two loggers work on removing the bark from a tree in a field of wheat .
