Verb,Total annotations,Original correct,Processed correct,drop in percentage,Original percentage,Processed percentage,Worker flux,Worker dalle,Worker midjourney,KLDivergence
catch-01,30,11,6,0.3333333333333333,0.7333333333333333,0.4,10 / 10,10 / 10,10 / 10,0.357263073635968
kneel-01,24,12,7,0.3333333333333333,0.8,0.4666666666666667,8 / 10,8 / 10,8 / 10,0.0855765508796488
jump-03,30,10,8,0.13333333333333333,0.6666666666666666,0.5333333333333333,10 / 10,10 / 10,10 / 10,0.1541386236091168
swing-01,30,14,12,0.13333333333333333,0.9333333333333333,0.8,10 / 10,10 / 10,10 / 10,0.5468283628824745
lie-07,30,15,14,0.06666666666666667,1.0,0.9333333333333333,10 / 10,10 / 10,10 / 10,0.3357568074664959
wait-01,30,15,14,0.06666666666666667,1.0,0.9333333333333333,10 / 10,10 / 10,10 / 10,0.2439586596005655
grill-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,1.2490715851406442
examine-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.3534159717500019
use-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.134190473636588
drink-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.7465027983024439
speak-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.293925732838351
sleep-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.3675289872885302
ski-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,1.291502582785941
sit-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.0409340218732662
sing-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.6117665478124628
sell-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.4025859283093883
row-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,1.1006105531269337
present-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.7343127668494341
contrast-01,30,12,12,0.0,0.8,0.8,10 / 10,10 / 10,10 / 10,0.0432238844132744
pass-by-17,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.4475781848766111
drive-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.2780281036272092
lean-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.1159706878143049
enjoy-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.0944803992516977
practice-01,30,15,15,0.0,1.0,1.0,10 / 10,10 / 10,10 / 10,0.3031872740822552
race-02,30,13,14,-0.06666666666666667,0.8666666666666667,0.9333333333333333,10 / 10,10 / 10,10 / 10,0.3070605837431263
run-02,30,7,11,-0.26666666666666666,0.4666666666666667,0.7333333333333333,10 / 10,10 / 10,10 / 10,0.233144345927466
play-01,30,7,11,-0.26666666666666666,0.4666666666666667,0.7333333333333333,10 / 10,10 / 10,10 / 10,0.1401650958812
