image_name| comment_number| comment
1019604187.jpg| 1| A white dog is ready to catch a yellow ball flying through the air .
104835889.jpg| 2| A guy with a sword and traditional fighting gear is getting ready for a fight .
1073145694.jpg| 0| A man in a yellow shirt and black shorts getting ready to throw a javelin .
1077931201.jpg| 1| A man in a wetsuit is throwing a toddler up in the air and is ready to catch him .
111796099.jpg| 4| Two boys are ready to receive a ball at a tennis match .
1131889107.jpg| 1| A group of people getting ready to rollerskate
1143373711.jpg| 2| A bicyclist getting ready to cross a street .
1145770960.jpg| 0| A child and a man sit on the ground together , ready to use paintbrushes and a bucket .
1211184847.jpg| 1| Men are working on getting tiles ready to use on a building .
122019659.jpg| 3| A child stands ready with a baseball mitt .
1250854171.jpg| 3| A man is getting his tepee ready for a festival .
126438084.jpg| 1| A local vegetable vendor is ready and waiting to sell his wares to customers .
127146749.jpg| 0| A green train getting ready to enter a tunnel , along with the train conductor who is wearing a blue hat and shirt .
127490019.jpg| 3| A girl is getting ready to swing the club .
1285067106.jpg| 2| A young boy is getting ready to throw a baseball
12904242.jpg| 1| There are three swimmers from the same team getting ready to compete .
130063845.jpg| 3| A young woman is ready to eat the pizza .
131156353.jpg| 1| A man wearing a gray t-shirt and blue jeans stands ready to hit a golf ball at a driving range .
1315402173.jpg| 0| A young boy examines a field of pumpkins , with some already in his wheelbarrow .
132421833.jpg| 3| The janitor is vacuuming the floor to make it ready for the day .
132955537.jpg| 1| A young boy , dressed in a karate gee and wearing a yellow belt , stands ready to defend himself inside a gym .
13301546.jpg| 1| A man in a bowling alley getting ready to throw the bowling ball down the lane .
136693281.jpg| 0| A father and daughter holding a young tree upright , ready to be planted , as the son stands to their side wielding a shovel .
"1401961581.jpg| 0| A girl sits in a harness ready to lift up into the air and behind her is a sign that says "" active . """
1409041007.jpg| 4| The cook is getting ready to teach a class .
1432196901.jpg| 1| Two women that are getting ready to hit a volleyball in a volleyball game .
1434147314.jpg| 2| A group of young people dressed in mostly black are around a table getting ready to eat .
1457762320.jpg| 3| A group of bicyclists getting ready for a ride .
1461653394.jpg| 0| The black dog and the white dog seem to be getting ready to fight .
14868339.jpg| 2| Two men are in a subway station getting ready to mop .
1500576335.jpg| 0| A UH football player , ,  15 , stands near the edge of the field ready to throw the ball while his teammate blocks an opponent .
151177193.jpg| 0| A man is holding a utensil and is getting ready to dig into a plate filled with food .
156246815.jpg| 0| A man wearing a white shirt and red shorts is getting ready to kick a football .
156740459.jpg| 3| A man barbecuing in his backyard as he gets ready for the day .
1584315962.jpg| 0| With a pack and ski pole on the ground , a man wearing a winter coat is holding a tent while other tents are already set up .
161877800.jpg| 0| People sitting at tables outside chatting while a musician gets ready to play bass .
16396205.jpg| 2| Three happy young men are in the outdoors waiting for their grilled food to be ready .
16495609.jpg| 1| Several children are outdoors getting ready to play tug-of-war .
165764051.jpg| 0| A boy in a green baseball jersey with yellow lettering , lunges forward , his baseball mitt open and ready to receive the approaching baseball .
1664475761.jpg| 1| Two young men getting ready to move fruit on their bike .
16653104.jpg| 2| A young man getting ready to hit a can with a orange and purple bat .
166779879.jpg| 3| A family getting ready to eat a large meal .
167295035.jpg| 1| The man in a blue shirt , wearing a helmet , is readying to climb .
1674159861.jpg| 2| Man with a camera crew getting ready to descend from a high place .
173020287.jpg| 2| A man gets ready to throw a stick for his waiting dog .
175369436.jpg| 3| A child is getting ready to read a book .
1801063894.jpg| 0| A woman in a yellow bathing suit gets ready to jump in the water to join someone .
191457211.jpg| 0| Two children plus two dachshunds get ready for a sleepover .
19469520.jpg| 0| Competitors getting ready to compete in a grand opening event hosted by the chief executive
1956585457.jpg| 0| Two guys one in a red jacket the other in a leaf print shirt cutting cakes , they look ready to dig in .
1961696686.jpg| 0| A woman in a green shirt is getting ready to throw her bowling ball down the lane in a bowling alley .
202029988.jpg| 2| They are all getting their hot air balloons ready for the evening .
2042765375.jpg| 2| Two boats , one loaded with people , are getting ready to launch into a muddy river .
2046778775.jpg| 1| A group of kids are standing on stage in front of an audience ready to perform .
2055214203.jpg| 0| An old woman getting ready to move her belongings after along day auction held at the church compound
2058215181.jpg| 3| A man getting ready to speak to an audience .
2068465241.jpg| 2| A little girl walking down a balance beam with an adult ready to assist .
20803565.jpg| 2| A man with glasses just sat down and is ready to eat his burger .
2089542487.jpg| 3| A hiker is ready to take on a rugged outdoor trail .
209803062.jpg| 3| A female tennis player stands in a ready position .
2101741007.jpg| 4| A group of workers getting ready for an event .
2107837987.jpg| 2| A little boy is ready to throw a stone into the water .
2142574136.jpg| 3| Two girls and a boy are getting ready to jump into a backyard pool .
2142631327.jpg| 1| The toddler in a maroon and gray long-sleeved shirt is ready to mark all over wooden chalkboard .
21514026.jpg| 1| An older man in a green shirt , getting ready to sit down at a table .
2155533127.jpg| 4| Players are getting ready for a soccer game .
2156328004.jpg| 0| Two soccer teams getting ready for penalties after a goaless draw in a match in london , england .
2166120300.jpg| 4| A woman is at a store getting ready to pay for groceries .
2172572633.jpg| 0| The people in winter clothing are getting ready to start skiing .
2194450229.jpg| 1| A tennis player in a purple shirt is getting ready to swing her racket .
2197552440.jpg| 2| A tennis player getting ready to serve the ball .
2204991372.jpg| 4| Kids in a locker room at school getting ready for a play .
220655860.jpg| 2| Three men and two women sitting at a dining table getting ready to eat .
221062338.jpg| 3| A family at a table with colorful plates getting ready to eat
2219805677.jpg| 1| A dog gets ready to catch a yellow ball while standing in the sand .
2225552348.jpg| 2| People looking into a hole that has already been dug .
2227179257.jpg| 2| A young child gets ready to throw a snowball at the cameraman .
2228156682.jpg| 2| A female tennis player anticipating the ball ready to use her backhand .
2231245129.jpg| 1| person playing tennis at tennis court readying to swing
2232518012.jpg| 0| The dogs are ready to race and are all wearing their muzzles .
2243728869.jpg| 0| A butcher works behind a glass window , in front of which is a display of fish ready for sale .
2251747182.jpg| 1| A young boy , playing basketball , is getting ready to take a shot .
2255685792.jpg| 2| Three people stand , ready to ski , next to a no skiing sign .
22926817.jpg| 0| a woman in a blue tennis dress getting ready to hit an incoming ball
2298661279.jpg| 0| A boy in red pants getting ready to slide down a metal slide .
23008270.jpg| 0| A female tennis player in a white shirt and black tennis skirt getting ready to swing .
2302955243.jpg| 2| This female is ready to fight if need be , she is trained .
2326177720.jpg| 2| Two women getting ready for some sort of celebration , maybe a wedding .
2340695455.jpg| 2| Young girl playing goalie gets ready to throw the ball over her head .
2341757202.jpg| 0| A child wearing blue shorts , white shirt , soccer socks and shin guards , holds a pink ball over her head as she gets ready to throw it .
2345391999.jpg| 0| A young college man wearing a white cap and blue goggles is getting ready to swim in a race .
2351153998.jpg| 4| An Asian man is getting ready to take a photograph .
2358554995.jpg| 1| A toddler all bundled up getting ready to go down a slide .
2365499852.jpg| 2| Musical band in red light getting ready to perform .
2369452202.jpg| 1| A crowd of people watch as a Remax hot air balloon gets ready to take off .
2378342922.jpg| 3| A performer on a bike getting ready to start his performance .
239175477.jpg| 4| A bride getting ready to throw her bouquet to a group of women .
2410906422.jpg| 3| There is a man getting ready to kiss a cow .
2412614152.jpg| 0| A woman in a green shirt is getting food ready with a child , while sitting on rocks .
241345770.jpg| 2| A quarterback ready to pass the football in the middle of a play .
241347243.jpg| 2| Football players huddle and get ready for the game .
241347496.jpg| 0| The football player dressed in red and white gets ready to throw the ball .
2421116868.jpg| 0| Obese man in floral summer swim trunks and wearing beach sandals , gets ready to ride his red motorbike .
2421823977.jpg| 2| Four men looking up at another man getting ready to do something .
244073535.jpg| 2| A man is sitting in a barber 's chair getting ready for a shave .
2443380641.jpg| 1| Boy in yellow shirt getting ready to hit orange ball with baseball bat
2447754764.jpg| 2| A man getting ready to play at a piano bar with a female looking on closely .
2452794213.jpg| 1| Clothes are hung from several racks outside ready to be sold .
2470899884.jpg| 0| A young woman midair gets ready for an intense tennis match , her partner walks behind her .
2473955843.jpg| 1| Two teams of girls on the field are getting ready for the soccer game .
2474480672.jpg| 4| two men in a ring getting ready to fight .
2474785004.jpg| 1| A girl in a red and white shirt and blue shorts is getting ready to throw a ball .
2475640704.jpg| 0| A boy at the beach runs through the surf towards three other people who are already in the water .
2491265237.jpg| 2| People getting ready to attend a big church event .
2502375224.jpg| 0| A women 's volleyball game with one of the ladies ready to hit the ball .
2521062020.jpg| 0| A boy getting ready as the man wearing all black straps him into a black harness to climb the wall .
252180174.jpg| 4| Two men getting ready to shoot .
2521938802.jpg| 1| The baseball player holds up his bat ready to swing .
2525898056.jpg| 4| A young girl is getting ready to hit a softball .
255863389.jpg| 1| A man in a number 11 shirt ready to play soccer in the soccer field with thousands of people watching .
2568417021.jpg| 3| A boy gets ready to shoot a basketball .
2575846076.jpg| 0| A baseball player swings at an oncoming ball while the catcher gets ready and the umpire looks on .
2587846523.jpg| 2| a man gets ready to throw a tennis ball for his dog .
2599307555.jpg| 4| A man in a blue shirt getting ready to put a cracker in his soup
2617219856.jpg| 1| There is a lady ready for the rainy weather with rain boots , coat and an umbrella .
262842417.jpg| 3| This is a tree man in a tree , getting ready to work .
2632111399.jpg| 4| The boy is bending down ready to catch the ball .
2636930201.jpg| 2| 2 woman getting ready for a wedding one is in a wedding dress
2642772565.jpg| 4| A woman getting ready to enter the backseat of a car .
2664102751.jpg| 3| A parachuting man gets ready to land .
2664870203.jpg| 4| A young boy is getting ready to serve a volleyball .
2665658462.jpg| 0| An Asian man standing on some sand appears to be ready to serve a volleyball .
2667126590.jpg| 1| A blond woman wearing a blue and pink floral tie-front bikini on a beach , readying to put a flagpole in the sand .
2675365025.jpg| 3| Elder men are getting ready to barbecue .
2685788323.jpg| 0| A man in sunglasses gets ready to pull a chair out to sit down for his meal .
2705925058.jpg| 0| Two boys , two girls , strapped in and ready for an amusement park ride .
2740762106.jpg| 4| A group of people getting ready for climbing a mountain .
2751789452.jpg| 4| A man is getting ready to hit a tennis ball .
2772831016.jpg| 1| A rifle band stands ready to perform in front of a crowd .
2774430374.jpg| 3| A young boy gets ready to swing his baseball bat .
2788489062.jpg| 0| Five people are in a swimming pool 3 ft . deep while there is a child on the side with blue shorts on and read floaties getting ready to jump in .
2796921601.jpg| 4| A boy stands ready to play in a soccer game
2826030193.jpg| 0| The toddler is ready to climb the red piece of equipment .
2832610852.jpg| 0| A man with a gray hair and wearing glasses is getting ready to shave a gray-haired man .
2836696661.jpg| 4| Two adult males getting ready for camping or a hike .
2846724677.jpg| 2| 5 firetrucks line the street , ready for potential problems .
2867026654.jpg| 3| A dog gets ready to catch a Frisbee .
2873522522.jpg| 1| Rugby player in red gets ready to toss the ball .
2879991421.jpg| 1| Five people are sitting on horses getting ready for a race .
2883099128.jpg| 0| A shirtless man is getting ready to hit a tennis ball .
2883749170.jpg| 0| Here is a picture of a construction crew getting ready to go to work on a skyscraper .
2889358507.jpg| 4| A technician readying his equipment .
2896668718.jpg| 2| Two football players are getting ready to tackle each other
2899374885.jpg| 0| A toddler plays in a water fountain with his mouth open and ready for a drink .
2910885196.jpg| 1| The man in the blue shirt held a knife and got ready to cut the sheet cake .
2913965136.jpg| 2| The little boy gets ready to kick the soccer ball .
2914163048.jpg| 1| Three children sit across a table of ice cream toppings getting ready to create their treat .
2916770809.jpg| 1| Two onlookers watch a young man as he gets ready to make a hit .
2932395753.jpg| 1| A man in a blue long sleeves shirt and cloth wrapped around his head , getting ready to smoke .
2933637854.jpg| 3| Number 12 in orange gets ready to throw the football .
293575531.jpg| 4| Everyone is getting ready to play the game .
2957526701.jpg| 0| Two people are holding a trash bag getting ready to pick up debris while a third person is looking at a camera bag .
2960133289.jpg| 2| a man in protective gear sitting on a bike is getting ready to joust .
2981702521.jpg| 0| A crowd waits outside a subway train , ready to board .
2987195421.jpg| 3| A pitcher and catcher get ready to hug after striking out a ball player .
2988439935.jpg| 0| A player in a red uniform gets ready to kick the ball during a soccer match , as the crowd watches .
2993167197.jpg| 0| A man on the Miami basketball team holds the ball getting ready to make a move while being blocked .
2996430347.jpg| 3| A man watches on as a young couple get ready to embrace .
2998861375.jpg| 1| People dressed in camo are bent down getting ready to fire their guns .
3009542570.jpg| 2| Kids aggressively getting ready for a play in football .
301608837.jpg| 1| a toddler in a white sweatshirt is getting ready to grab the pole .
3020581842.jpg| 1| A man is sitting down and getting ready to enjoy a glass of liquor .
3029043380.jpg| 1| A girl is getting ready to serve the ball in a game of tennis .
3046126634.jpg| 2| The mom is getting ready to give her baby a bath .
3081734118.jpg| 1| a brown and white dog has is mouth open ready to catch a green ball .
3091786541.jpg| 2| a restaurant cook getting ready to prepare a chicken to cook
3094034946.jpg| 3| A young soccer player getting ready to kick the ball .
3100605713.jpg| 4| A lady getting ready to snap a photo .
3112696545.jpg| 3| Two boys and an older man getting ready to chop wood .
3118739263.jpg| 2| The start of a baseball game with fans getting ready .
3124549928.jpg| 0| A boy wearing blue mittens gets ready to throw snow .
313251305.jpg| 3| Racers get ready to swim by the side of the pool .
3132722940.jpg| 0| A barefoot woman crouches in a ready position on a running track .
3139393607.jpg| 4| The snowboarder is ready to jump .
3147913471.jpg| 0| The basketball player is holding a basketball getting ready to take a shot .
3149038044.jpg| 4| A child gets ready to hike the ball to another .
3170856184.jpg| 1| A cricket player is bowling the ball as the batsman is getting ready to run .
317855248.jpg| 0| A girl , dressed in a soccer uniform , is getting ready to kick a green soccer ball .
3182501707.jpg| 3| A young male has his fist drawn like he is ready to fight .
3186694070.jpg| 4| Singer getting ready to record a song .
3189327551.jpg| 0| Two men and a woman sitting at a table , one man in the middle has his mouth open getting ready to cover it .
3189485991.jpg| 3| People getting ready to cut a birthday cake .
320199844.jpg| 2| A guitar player dressed as Santa Claus is getting ready with his mic .
320199845.jpg| 0| The pictures shows a young man putting on his graduation cap and already has his gown on , with an older gentleman to his left and a stone building behind them .
3203593191.jpg| 4| Troops stand ready at attention .
3204854864.jpg| 1| A vendor cooking food there are two red gas cans with food lined up ready to sell .
3208747984.jpg| 3| A passionate , beautiful , young couple ready to dance .
3211289105.jpg| 3| A bride getting ready with her bridesmaids wearing red .
3211453055.jpg| 1| Two skiers getting ready to jump off of a ski lift .
3223318401.jpg| 2| A woman in a black shirt is sitting at a table getting ready to knit .
3223606402.jpg| 2| a skateboarder in the air getting ready to land
325470375.jpg| 0| Little boy with curly hair , a green shirt and blue jeans , has a baseball bat near a pinata , while a female behind him gets ready to take a picture of him .
3263497678.jpg| 1| Two runners are at the starting blocks , readying for a race .
3285298241.jpg| 2| A basketball player is getting ready to shoot a hoop
3291979978.jpg| 0| Three friends geared up in snowshoes ready to hit the trail .
33064663.jpg| 1| Kids at the soccer field are getting ready for the game .
3325157569.jpg| 3| A basketball player gets ready to shoot .
3330675488.jpg| 0| A girl in a green knit cap stands ready to push a sled , with a little boy behind her .
3335773346.jpg| 2| The swimmers are getting ready to race wearing black swimmers .
3339263085.jpg| 1| A small brown dog is about ready to exit the water after a swim .
3341961913.jpg| 3| A hockey goalie ready for the puck .
