image_name| comment_number| comment
11391827.jpg| 0| A man in a brown uniform reaching out from an industrial doorway , as if he is going to shut the door .
1355935187.jpg| 1| A fluffy white dog is coming out of a blue striped obstacle shute .
160228320.jpg| 3| Woman walk up an alley with shuttered property on one side .
2102115587.jpg| 1| Two kids wearing bright green vests are running while one hands the other a shuttle .
2366522060.jpg| 0| A man 's head protrudes from one of a series of small shuttered windows set into a wall .
2529226054.jpg| 0| A person in a red vest walks past a shuttered entrance way with a Fanta ad in the background and the word ' sex ' spray printed on some sheet metal fencing in the foreground .
2592093693.jpg| 2| A boy shutting his eyes mid swing during a baseball game .
2671267709.jpg| 3| woman moving a shuttle through a loom
2820512895.jpg| 1| A young man with a goatee looks through the wooden bars of a deck with his eyes half shut .
3027458420.jpg| 0| A light-haired man wearing a white shirt grasps a microphone and appears to be singing with his eyes shut while flanked by two dark-haired men wearing dark shirts in a darkened room .
3091921457.jpg| 0| Four children in colorful Indian clothes are looking through red shutters on a blue building .
3629489568.jpg| 2| Many people sit at tables outside a tan building that has green shutters .
374437845.jpg| 0| A man with eyes shut holds a glass of beer while another man in a gray sweater looks away in the background .
395805433.jpg| 1| Child in a blue diaper underwater in a pool with his eyes shut .
4455758193.jpg| 1| Snowfalls as three people stand in front of a shuttered store .
4485658806.jpg| 1| Children walk past a three story abandoned and shuttered brick building .
4546918010.jpg| 0| A troupe of drummers perform in an outdoor public area with their eyes shut and mouths open .
4624487350.jpg| 1| A man in a blue shirt locks a blue shutter next to a nail polish advertisement .
4658347592.jpg| 0| Two young women sit on a stone staircase in front of a store shuttered with a decorative iron grate .
4710230599.jpg| 0| A dilapidated , gritty building with yellow wall , green shutter-doors , and red concrete platform is host to a sleeping woman in a white dress facing away from us .
4839716145.jpg| 0| Three people in various jackets and shoulder bags work to lift up the security shutter on a storefront .
4850614476.jpg| 2| Street scene with a man sat outside a closed and shuttered shop
4868909807.jpg| 1| Several women sit holding handrails on an incline shuttle .
531197115.jpg| 0| A man wearing white walks passed a shuttered building with an advertising banner over the door .
583090328.jpg| 0| Crowd of people standing under a shuttle stop outside by building .
7174804452.jpg| 0| A toddler has her eyes shut , looking as if she is thinking about something .
7784949770.jpg| 2| A male badminton player reaching to backhand the shuttlecock at an Olympic event .
7851957868.jpg| 0| A man in a red uniform dives to hit a shuttlecock with his racket during an Olympic badminton match .
