image_name| comment_number| comment
1000919630.jpg| 0| A man sits in a chair while holding a large stuffed animal of a lion .
1002674143.jpg| 1| A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
1003163366.jpg| 0| a man sleeping on a bench outside with a white and black dog sitting next to him .
1003420127.jpg| 0| A group of adults , inside a home , sitting on chairs arranged in a circle , playing a type of musical instruments .
1006452823.jpg| 1| Two children sit on a small seesaw in the sand .
10090841.jpg| 0| A man with black hair sits in a restaurant with a glass of beer .
1009692167.jpg| 1| A trained police dog sits next to his handler in front of the police van .
1010673430.jpg| 0| A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass .
101262930.jpg| 0| Two asian or spanish people , a woman and a man , sitting together in front of a glass window as cars pass .
1013536888.jpg| 3| Two older women sit at a table with two coolers in front of them .
10160966.jpg| 1| A guy in shorts and a white t-shirt sits on the ground in front of a grill with hotdogs on it .
101958970.jpg| 1| A man sitting with his daughter in his daughter 's pink car in a grocery store .
102030371.jpg| 0| A man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him .
1021439420.jpg| 0| two guys sitting on the floor , with the guy in the green jacket reading a piece of paper .
1021442086.jpg| 0| A bearded man wearing glasses , a red shirt , and a hat is reading a map while sitting in a car .
1022454428.jpg| 0| A couple and an infant , being held by the male , sitting next to a pond with a nearby stroller .
1026792563.jpg| 0| A group of woman and children are standing or sitting in front of rows of vegetables .
102851549.jpg| 1| Three people on a porch , of which is a little boy who is sitting up straight in his chair .
102860573.jpg| 0| A construction site on a street with three men working .
10287332.jpg| 0| Two men sitting on the roof of a house while another one stands on a ladder .
1028982826.jpg| 0| Two men , one younger guy with a yellow shirt that has luggage and the other and older guy , are sitting on a bench in front of a large building that has a billboard for glasses and sunglasses .
1029737941.jpg| 0| Boy in brown shirt with headphones on sits on woman 's shoulders in a crowd .
103031977.jpg| 0| Four college-aged individuals - two males and two females - sitting on the concrete steps outside of a brick building
103195344.jpg| 0| The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .
1032122270.jpg| 0| Three dogs are standing in the grass and a person is sitting next to them
103328091.jpg| 0| A Asian male wearing a red shirt is sitting next to a grocery stand selling fruits .
1033767085.jpg| 0| a young child with a Band-Aid on his head sits eating at a small white table with a little girl eating off a yellow plate .
1034276567.jpg| 1| A boy bites hard into a treat while he sits outside .
