,Input.image_url,A176JUTGNWG7QJ,A17EZEAMF37MGQ,A2SMHEGRLML092,A2ZY94PZ5CVH0
0,https://derrickversion5.s3.amazonaws.com/dalle_finalized/0.webp,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
1,https://derrickversion5.s3.amazonaws.com/dalle_finalized/1.webp,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/natural/field_forest
2,https://derrickversion5.s3.amazonaws.com/dalle_finalized/10.webp,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation
3,https://derrickversion5.s3.amazonaws.com/dalle_finalized/100.webp,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain
4,https://derrickversion5.s3.amazonaws.com/dalle_finalized/101.webp,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/recreation,outdoors/man-made/recreation
5,https://derrickversion5.s3.amazonaws.com/dalle_finalized/102.webp,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant
6,https://derrickversion5.s3.amazonaws.com/dalle_finalized/103.webp,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic
7,https://derrickversion5.s3.amazonaws.com/dalle_finalized/104.webp,outdoors/man-made/domestic,indoors/man-made/domestic,outdoors/man-made/recreation,outdoors/man-made/recreation
8,https://derrickversion5.s3.amazonaws.com/dalle_finalized/105.webp,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation
9,https://derrickversion5.s3.amazonaws.com/dalle_finalized/106.webp,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic
10,https://derrickversion5.s3.amazonaws.com/dalle_finalized/107.webp,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic
11,https://derrickversion5.s3.amazonaws.com/dalle_finalized/108.webp,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
12,https://derrickversion5.s3.amazonaws.com/dalle_finalized/109.webp,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation
13,https://derrickversion5.s3.amazonaws.com/dalle_finalized/11.webp,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/domestic,indoors/man-made/restaurant
14,https://derrickversion5.s3.amazonaws.com/dalle_finalized/110.webp,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic
15,https://derrickversion5.s3.amazonaws.com/dalle_finalized/111.webp,outdoors/man-made/transportation_urban,outdoors/man-made/work_education,outdoors/man-made/transportation_urban,outdoors/man-made/work_education
16,https://derrickversion5.s3.amazonaws.com/dalle_finalized/112.webp,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic
17,https://derrickversion5.s3.amazonaws.com/dalle_finalized/113.webp,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
18,https://derrickversion5.s3.amazonaws.com/dalle_finalized/114.webp,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
19,https://derrickversion5.s3.amazonaws.com/dalle_finalized/115.webp,indoors/man-made/recreation,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant
20,https://derrickversion5.s3.amazonaws.com/dalle_finalized/116.webp,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/recreation
21,https://derrickversion5.s3.amazonaws.com/dalle_finalized/117.webp,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
22,https://derrickversion5.s3.amazonaws.com/dalle_finalized/118.webp,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
23,https://derrickversion5.s3.amazonaws.com/dalle_finalized/119.webp,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
24,https://derrickversion5.s3.amazonaws.com/dalle_finalized/12.webp,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation
25,https://derrickversion5.s3.amazonaws.com/dalle_finalized/120.webp,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
26,https://derrickversion5.s3.amazonaws.com/dalle_finalized/121.webp,outdoors/man-made/domestic,indoors/man-made/restaurant,outdoors/man-made/restaurant,outdoors/man-made/restaurant
27,https://derrickversion5.s3.amazonaws.com/dalle_finalized/122.webp,outdoors/man-made/recreation,outdoors/man-made/domestic,outdoors/man-made/recreation,outdoors/man-made/recreation
28,https://derrickversion5.s3.amazonaws.com/dalle_finalized/123.webp,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/domestic,indoors/man-made/domestic
29,https://derrickversion5.s3.amazonaws.com/dalle_finalized/124.webp,outdoors/man-made/domestic,outdoors/man-made/restaurant,outdoors/man-made/restaurant,outdoors/man-made/restaurant
30,https://derrickversion5.s3.amazonaws.com/dalle_finalized/125.webp,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
31,https://derrickversion5.s3.amazonaws.com/dalle_finalized/126.webp,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
32,https://derrickversion5.s3.amazonaws.com/dalle_finalized/127.webp,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
33,https://derrickversion5.s3.amazonaws.com/dalle_finalized/128.webp,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation
34,https://derrickversion5.s3.amazonaws.com/dalle_finalized/129.webp,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic
35,https://derrickversion5.s3.amazonaws.com/dalle_finalized/13.webp,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/man-made/recreation,outdoors/natural/field_forest
36,https://derrickversion5.s3.amazonaws.com/dalle_finalized/130.webp,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic
37,https://derrickversion5.s3.amazonaws.com/dalle_finalized/131.webp,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic
38,https://derrickversion5.s3.amazonaws.com/dalle_finalized/132.webp,indoors/man-made/other_unclear,indoors/man-made/other_unclear,indoors/man-made/other_unclear,indoors/man-made/other_unclear
39,https://derrickversion5.s3.amazonaws.com/dalle_finalized/133.webp,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/recreation
40,https://derrickversion5.s3.amazonaws.com/dalle_finalized/134.webp,outdoors/man-made/recreation,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/recreation
