image_name| comment_number| comment
118707970.jpg| 0| A man in a blue workers outfit with a yellow construction hat examines the side of a brick building from the top of a ladder .
119805497.jpg| 4| Customers examine the menu of street cafe .
1279422342.jpg| 3| A bewildered child examines a peculiar plant .
1287704027.jpg| 0| A woman wearing a short-sleeved striped shirt and carrying a green shopping bag examines fish in an open air market while a vendor in a white apron over a gray t-shirt hands her an empty plastic bag .
129528391.jpg| 0| A man carrying a musical instrument and wearing a gray jacket , purple hat and purple scarf examines some money as he stands near a worn utility pole .
1315402173.jpg| 0| A young boy examines a field of pumpkins , with some already in his wheelbarrow .
132099100.jpg| 0| Two young women examine the wares at a well-stocked outdoor bakery booth under a yellow umbrella .
1339596997.jpg| 3| Three women in headscarves examine a camera .
1394368714.jpg| 4| A man with a pug on a leash bending down to examine merchandise .
1463946109.jpg| 4| A man examines his facial hair .
150725531.jpg| 3| A little blond girl sits on a trail to examine something more closely .
1564614124.jpg| 4| A little girl examines a piece of jewelry .
1609454863.jpg| 0| A toddler boy examines a pair of blue jeans , with an adult in the background .
179686689.jpg| 0| Two people have paused near a table and chairs to examine something at their feet in front of a tudor style building .
183975129.jpg| 2| Boy with sports jersey getting teeth examined .
185019676.jpg| 3| A woman examines a specimen using a microscope .
1873704867.jpg| 2| Three men wearing safety vests examine a field .
199413572.jpg| 2| A woman is having her foot examined by another woman in a run-down building .
2148607546.jpg| 0| A woman wearing surgical gloves is preparing to examine a boy who is in a dental chair wearing blue rimmed sunglasses .
216778085.jpg| 0| Two workers in hard hats examine a piece of industrial equipment in a tunnel underground .
2195316844.jpg| 4| A man examines a bike during a yard sale .
2228329399.jpg| 0| A man with jeans and a brown shirt is bending over to examine the wheel of a black train that is on a railroad track .
2291536922.jpg| 2| A dental patient is examined by a man and a woman in blue scrubs .
2336616258.jpg| 0| A bearded man in an orange checkered shirt examines something through a microscope .
2372541545.jpg| 1| At a convention , a man takes a phone call behind the booth where he is selling things while others examine his merchandise .
2392763642.jpg| 0| Two women in white lab coats examine a dyed area on a cluster of cells using a projector .
241345905.jpg| 4| two men examine a football players leg .
2421367904.jpg| 0| A group of people examine a boat with an orange flag that is sitting on sand next to a body of water .
2421824693.jpg| 2| A young man pauses to examine the image on his camera .
2507687411.jpg| 0| Several adults speak to one another or examine materials being distributed at partitioned display booths .
2536998057.jpg| 1| A man in an orange safety vest examines mechanical equipment .
2561310673.jpg| 2| Five people examine a boat in a harbor .
2572584029.jpg| 4| People examine books in a library .
2591110592.jpg| 1| A little girl holding a frilly white dress out for the other little girl to examine .
2599100984.jpg| 2| A female chef examines a piece of bread while showing it to the camera .
2614892301.jpg| 0| Three individuals examine a table full of bags with other tables and people are in the background .
266464443.jpg| 1| A boy in a yellow raincoat examines a piece of food he holds in his hand .
2688337844.jpg| 1| An asian woman wearing a blue coat and pink sweater holds a silver bead up to examine it .
2691641332.jpg| 1| The young girl , clad in helmets and pads , examines her bike .
2705923388.jpg| 1| An old woman and a young man examine their bingo cards .
2725655872.jpg| 1| A young girl with a white tank top examines the leaves of a plant .
274616931.jpg| 3| An asian man examines an arrangement of food .
2852672275.jpg| 2| A man in rubber boots examines something on the ground .
2852673699.jpg| 4| Men examine meat at an outdoor meat market .
2861932486.jpg| 3| An older man examines produce .
2888499869.jpg| 3| Man with visible underwear examines sidewalk .
2934359101.jpg| 2| A boxer is being examined in his corner by a member of his support team .
2957702898.jpg| 0| Two women stop between a red smart car and a group of photographers to examine their items in hand .
3023753964.jpg| 4| Two woman examine a photograph on a camera .
3042380610.jpg| 4| People examine equipment .
304998314.jpg| 2| Woman with red-hair and red shirt examines food in bowls .
3060622326.jpg| 4| A couple examines clothes at a store .
3084001782.jpg| 1| A woman holds a drink while a man and a woman examine a book .
308487515.jpg| 1| A small , pale bird bends down to examine a crumb .
310341171.jpg| 1| A worker with long curly hair examines the vegetables next to the broccoli .
3119988763.jpg| 0| A technician in a clean suit examines a gray , square piece of metal with a central item .
3121219649.jpg| 4| three men examine a tree .
3122888809.jpg| 4| Two dogs examine each other in a field .
3135424930.jpg| 0| Two women wearing winter coats examine a wall with papers attached to it .
3182492939.jpg| 4| A group examines a run down house .
3242228425.jpg| 2| A young girl examines the fish selection at the grocery store .
3242881252.jpg| 1| A person dressed up as a doctor while wearing stilts is pretending to examine a child in a striped sweater .
3292176342.jpg| 3| The fire department examines a wrecked car at a Chevron gas station .
3377263562.jpg| 3| A man closely examines artwork .
3465311847.jpg| 0| A man in a yellow shirt wearing a tool belt examines something on a roof on a clear day .
346698309.jpg| 0| man wearing glasses with his mouth being held open and examined by a dentist .
352008012.jpg| 1| A woman examines and points at one of several food vending machines .
3523471597.jpg| 4| Tourists examine a sign .
3526564503.jpg| 3| A woman in a pink shirt examines her camera .
3532476966.jpg| 1| Three men in hats and a woman in a red shirt examine the produce presented to them by the man in the blue shirt and white hat .
357658747.jpg| 2| Two young adults and a boy examine the contents of a pickup truck bed filled with freshly harvested fruits and vegetables .
3600229533.jpg| 2| Some nature hikers stop to examine a log along the path .
363763680.jpg| 1| A bicyclist 's hand is examined by a man in a suit .
3667788497.jpg| 2| A child in an orange shirt examines the propeller on a large radial aircraft engine .
366978558.jpg| 4| Woman examines her hair in the mirror .
3679187018.jpg| 2| A man is having his eye examined by someone wearing gloves .
3712463209.jpg| 2| A man and a small child examine the rear wheel of an overturned bicycle .
3720930427.jpg| 1| Two woman with white gloves on examine the fingers of an older woman seated between them .
3749195206.jpg| 1| A toddler examines soap suds in his hands while taking a bath .
3790770806.jpg| 3| Two women examine the leaves of a plant .
3971903221.jpg| 4| Women in sari examine a graph .
3972668464.jpg| 1| Two brown-skinned people with headgear examine papers .
4015868140.jpg| 4| An medical worker examines a young girl .
4032520378.jpg| 4| A woman examines her rings in a mirror .
4095232321.jpg| 3| A woman wearing a white hat examines an item in a store .
4121133646.jpg| 0| A child examines a chunk of rock through that of a magnifying glass .
4198759209.jpg| 0| Two people stand in the woods to the right of a large , hollowed-out log while two other people examine a piece of paper behind them .
4365033584.jpg| 2| A little girl examines a dog laying on a beach .
4434578155.jpg| 2| Two people in coats examine black and white photos in a gallery .
4434578571.jpg| 0| A group of people gather to examine pictures on the wall in a lounge setting .
4464499575.jpg| 1| young students examine a specimen on a dissecting microscope during biology laboratory class .
4521610802.jpg| 1| A man examines the offerings from a hotdog stand on the street in front of a yellow cab .
455168416.jpg| 1| The customer held the bag while examining oranges while other market goers examined produce at other tables .
4587802803.jpg| 0| Two security guards watch museum goers examine an exhibit .
4591228112.jpg| 4| A man examines a modern sculpture .
4594419386.jpg| 2| A group of young people examine a large monument .
459804826.jpg| 1| A little boy plays doctor and examines another child 's foot with his plastic stethoscope .
4605779731.jpg| 0| A toddler examines a small sailboat that has been filled with sand to make a sandbox .
4610507935.jpg| 3| A woman and a girl examine a painting .
4656684238.jpg| 0| In a view from above , several people examine colorful elephant sculptures in a plaza .
4671540511.jpg| 0| A man turns his green book sideways to examine the inside cover while the woman in purple blows her nose .
4684604794.jpg| 2| A man and a woman examine the wares of fresh produce at a grocery store .
4688351939.jpg| 3| A nurse examines equipment in the operating room .
4688997422.jpg| 3| A doctor examines the screen during an operation .
4689487867.jpg| 3| A tourist examines some postcards on the local docks .
4702967745.jpg| 3| A woman examines fabric or clothing in an open-air market .
