caption,url,probs
a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,https://derrickversion5.s3.amazonaws.com/dalle_original/2.webp,"[0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]"
a gray dog is jumping toward a black and white dog in the snow .,https://derrickversion5.s3.amazonaws.com/dalle_original/37.webp,"[0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0]"
a black and white dog runs beside a brown dog in a green field .,https://derrickversion5.s3.amazonaws.com/dalle_original/38.webp,"[0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a woman is selling vegetables on the street .,https://derrickversion5.s3.amazonaws.com/dalle_original/46.webp,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
street vendors are selling fruits and vegetables in a stand and in large baskets on the ground .,https://derrickversion5.s3.amazonaws.com/dalle_original/48.webp,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
vendors sell products at a farmers market .,https://derrickversion5.s3.amazonaws.com/dalle_original/67.webp,"[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
an asian man sells a hot confection from his stand in a crowded market .,https://derrickversion5.s3.amazonaws.com/dalle_original/80.webp,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
a chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid .,https://derrickversion5.s3.amazonaws.com/dalle_original/102.webp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0]"
a man grilling meat on an outdoor grilling pit .,https://derrickversion5.s3.amazonaws.com/dalle_original/116.webp,"[0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]"
a man in a suit and tie in a fancy building is speaking at the podium .,https://derrickversion5.s3.amazonaws.com/dalle_original/127.webp,"[0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
a man is using his computer while seated at a desk .,https://derrickversion5.s3.amazonaws.com/dalle_original/129.webp,"[0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a woman with a peace symbol on her shirt grills vegetables,https://derrickversion5.s3.amazonaws.com/dalle_original/133.webp,"[0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]"
a person dressed in a tan jacket jumps a quad over a harvested cornfield,https://derrickversion5.s3.amazonaws.com/dalle_finalized/8.webp,"[0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
girl wearing blue shirt and black shorts plays trumped .,https://derrickversion5.s3.amazonaws.com/dalle_finalized/9.webp,"[0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a man perched is using a net to scoop a fish from another aquarium .,https://derrickversion5.s3.amazonaws.com/dalle_finalized/19.webp,"[0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a woman is selling vegetables .,https://derrickversion5.s3.amazonaws.com/dalle_finalized/46.webp,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
vendors are selling fruits and vegetables,https://derrickversion5.s3.amazonaws.com/dalle_finalized/48.webp,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
vendors sell products.,https://derrickversion5.s3.amazonaws.com/dalle_finalized/67.webp,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
several people sit,https://derrickversion5.s3.amazonaws.com/dalle_finalized/70.webp,"[0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0]"
an asian man sells a hot confection.,https://derrickversion5.s3.amazonaws.com/dalle_finalized/80.webp,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
a spotted dog catching a ball.,https://derrickversion5.s3.amazonaws.com/dalle_finalized/101.webp,"[0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]"
an old woman is selling produce.,https://derrickversion5.s3.amazonaws.com/dalle_finalized/111.webp,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
an older man and women are using computers.,https://derrickversion5.s3.amazonaws.com/dalle_finalized/123.webp,"[0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a man grilling three pieces of salmon.,https://derrickversion5.s3.amazonaws.com/dalle_finalized/134.webp,"[0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]"
