caption,url,probs,adjudicated
"""three children are playing outdoors , two of them on a metal barrel swing .""",https://derrickversion5.s3.amazonaws.com/midjourney_original/12.png,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",4
a man perched on a row of aquariums is using a net to scoop a fish from another aquarium .,https://derrickversion5.s3.amazonaws.com/midjourney_original/19.png,"[0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
a black dog runs on green grass with its mouth open .,https://derrickversion5.s3.amazonaws.com/midjourney_original/24.png,"[0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
one dog is jumping at the lady while the other walks away .,https://derrickversion5.s3.amazonaws.com/midjourney_original/27.png,"[0, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0]",7
street vendors are selling fruits and vegetables in a stand and in large baskets on the ground .,https://derrickversion5.s3.amazonaws.com/midjourney_original/48.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",0
"a man in a white polo shirt speaks into a microphone with a sign behind him that reads , truth ! ",https://derrickversion5.s3.amazonaws.com/midjourney_original/51.png,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
a man is singing at a concert .,https://derrickversion5.s3.amazonaws.com/midjourney_original/63.png,"[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
a man singing in a very colorful environment .,https://derrickversion5.s3.amazonaws.com/midjourney_original/81.png,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",11
brown dog catches a pink ball in the park .,https://derrickversion5.s3.amazonaws.com/midjourney_original/94.png,"[0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
a man grilling meat on an outdoor grilling pit .,https://derrickversion5.s3.amazonaws.com/midjourney_original/116.png,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1]",0
a man in a suit and tie in a fancy building is speaking at the podium .,https://derrickversion5.s3.amazonaws.com/midjourney_original/127.png,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]",11
a person dressed in a tan jacket jumps a quad over a harvested cornfield,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/8.png,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",10
a lady with short hair wearing a black jacket leaned .,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/18.png,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",11
the little girl swings.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/33.png,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0]",7
a gray dog is jumping toward a black and white dog.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/37.png,"[0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",1
a woman is selling vegetables .,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/46.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",0
vendors are selling fruits and vegetables,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/48.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",0
a terrier mix catches a frisbee.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/50.png,"[0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
four women are singing .,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/54.png,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",11
a smiling child wearing a hat and sunglasses sits.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/59.png,"[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",7
a man is singing.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/63.png,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",11
three young women and one young man singing.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/64.png,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",11
vendors sell products.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/67.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",0
an asian man sells a hot confection.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/80.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",0
a man singing.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/81.png,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",11
an old woman is selling produce.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/111.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",0
"""a ruddy infant lies with his eyes closed , his mouth open , and his arm extended .""",https://derrickversion5.s3.amazonaws.com/midjourney_finalized/112.png,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",11
a man grilling meat.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/116.png,"[0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",1
two girls and three boys are presenting.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/117.png,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]",11
a man and woman enjoying dinner.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/130.png,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",5
a group of people lie close together.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/131.png,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",11
a woman with a peace symbol grills vegetables,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/133.png,"[0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",8
a man grilling three pieces of salmon.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/134.png,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",7
