caption,url,probs
a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,https://derrickversion5.s3.amazonaws.com/dalle_original/0.webp,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a brown dog running on a lawn near a garden hose,https://derrickversion5.s3.amazonaws.com/dalle_original/1.webp,"[0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,https://derrickversion5.s3.amazonaws.com/dalle_original/2.webp,"[0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
a woman sleeps under a blue and white blanket in a car .,https://derrickversion5.s3.amazonaws.com/dalle_original/3.webp,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,https://derrickversion5.s3.amazonaws.com/dalle_original/4.webp,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
men playing volleyball in the sand .,https://derrickversion5.s3.amazonaws.com/dalle_original/5.webp,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a little boy playing in the water .,https://derrickversion5.s3.amazonaws.com/dalle_original/6.webp,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a blond dog and a black and white dog run in a dirt field .,https://derrickversion5.s3.amazonaws.com/dalle_original/7.webp,"[0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,https://derrickversion5.s3.amazonaws.com/dalle_original/8.webp,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0]"
girl wearing blue shirt and black shorts plays trumped outside .,https://derrickversion5.s3.amazonaws.com/dalle_original/9.webp,"[0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
kids play around a statue bust outside .,https://derrickversion5.s3.amazonaws.com/dalle_original/10.webp,"[1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
