sentence,q1,q2,q3,q4,img_file
several men in hard hats are operating a giant pulley system .,outdoors,man-made,work_education,NA,10002456.jpg
workers look down from up above on a piece of equipment .,outdoors,man-made,work_education,NA,10002456.jpg
two men working on a machine wearing hard hats .,outdoors,man-made,work_education,NA,10002456.jpg
four men on top of a tall structure .,outdoors,man-made,work_education,NA,10002456.jpg
three men on a large rig .,outdoors,man-made,work_education,NA,10002456.jpg
a man with black hair sits in a restaurant with a glass of beer .,indoors,man-made,restaurant,NA,10090841.jpg
a man is sitting at a table with a drink .,indoors,man-made,restaurant,NA,10090841.jpg
a man is sitting at a table with a beer .,indoors,man-made,restaurant,NA,10090841.jpg
a dark-haired man sitting drinking .,indoors,man-made,restaurant,NA,10090841.jpg
a old man having a beer alone .,indoors,man-made,restaurant,NA,10090841.jpg
"man wearing a blue and white outfit , holding a broom , with a traditional asian architecture in the background .",outdoors,man-made,transportation_urban,NA,10101477.jpg
a asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement .,outdoors,man-made,transportation_urban,NA,10101477.jpg
a man in a white and blue kimono is using a broom to sweep pavement .,outdoors,man-made,transportation_urban,NA,10101477.jpg
man sweeping the street outside .,outdoors,man-made,transportation_urban,NA,10101477.jpg
asian man sweeping the walkway .,outdoors,man-made,transportation_urban,NA,10101477.jpg
a person in tan pants is inside a silver mobile object while people watch .,outdoors,man-made,transportation_urban,NA,101093029.jpg
people are watching a person in a weird vehicle in a plaza .,outdoors,man-made,transportation_urban,NA,101093029.jpg
a man in a blue shirt driving a segway type vehicle .,outdoors,man-made,transportation_urban,NA,101093029.jpg
a showing of product to advertise,outdoors,man-made,transportation_urban,NA,101093029.jpg
a crowd admiring modern art ?,outdoors,man-made,transportation_urban,NA,101093029.jpg
"a man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier .",outdoors,man-made,transportation_urban,NA,101093045.jpg
a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,outdoors,man-made,transportation_urban,NA,101093045.jpg
a person riding in a futuristic single-person vehicle .,outdoors,man-made,transportation_urban,NA,101093045.jpg
man walking up to silver 4-wheeled chair,outdoors,man-made,transportation_urban,NA,101093045.jpg
a man walks by a silver vehicle .,outdoors,man-made,transportation_urban,NA,101093045.jpg
white dog with brown ears standing near water with head turned to one side .,outdoors,natural,NA,body_of_water,1012212859.jpg
"dog with orange ball at feet , stands on shore shaking off water",outdoors,natural,NA,body_of_water,1012212859.jpg
a white dog shakes on the edge of a beach with an orange ball .,outdoors,natural,NA,body_of_water,1012212859.jpg
white dog playing with a red ball on the shore near the water .,outdoors,natural,NA,body_of_water,1012212859.jpg
"a dog shakes its head near the shore , a red ball next to it .",outdoors,natural,NA,body_of_water,1012212859.jpg
two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat .,indoors,man-made,recreation,NA,101362650.jpg
a boy jump kicking over three kids kicking wood during a tae kwon do competition .,indoors,man-made,recreation,NA,101362650.jpg
a boy jumps over three other students in a martial arts demonstration .,indoors,man-made,recreation,NA,101362650.jpg
a crowd is watching a group of five martial artists perform .,indoors,man-made,recreation,NA,101362650.jpg
a crowd of people watch a martial arts demonstration .,indoors,man-made,recreation,NA,101362650.jpg
a mottled black and gray dog in a blue collar jumping over a fallen tree .,outdoors,natural,NA,field_forest,1015584366.jpg
a gray dog is leaping over a fallen tree .,outdoors,natural,NA,field_forest,1015584366.jpg
a large black dog leaps a fallen log .,outdoors,natural,NA,field_forest,1015584366.jpg
the black dog jumped the tree stump .,outdoors,natural,NA,field_forest,1015584366.jpg
a black dog leaps over a log .,outdoors,natural,NA,field_forest,1015584366.jpg
man on scooter attracts attention from some of those in large crowd .,outdoors,man-made,transportation_urban,NA,1016626169.jpg
a crowd is standing and waiting for the green light .,outdoors,man-made,transportation_urban,NA,1016626169.jpg
people stop and look at an older woman outside .,outdoors,man-made,transportation_urban,NA,1016626169.jpg
a crowd of people waiting to cross a street .,outdoors,man-made,transportation_urban,NA,1016626169.jpg
a crowd of people waiting for the light .,outdoors,man-made,transportation_urban,NA,1016626169.jpg
a group of people stand in the back of a truck filled with cotton .,outdoors,man-made,work_education,NA,1018148011.jpg
men are standing on and about a truck carrying a white substance .,outdoors,man-made,work_education,NA,1018148011.jpg
a group of people are standing on a pile of wool in a truck .,outdoors,man-made,work_education,NA,1018148011.jpg
a group of men are loading cotton onto a truck,outdoors,man-made,work_education,NA,1018148011.jpg
workers load sheared wool onto a truck .,outdoors,man-made,work_education,NA,1018148011.jpg
large brown dog running away from the sprinkler in the grass .,outdoors,natural,NA,field_forest,1019077836.jpg
a brown dog chases the water from a sprinkler on a lawn .,outdoors,natural,NA,field_forest,1019077836.jpg
a brown dog running on a lawn near a garden hose,outdoors,natural,NA,field_forest,1019077836.jpg
a brown dog plays with the hose .,outdoors,natural,NA,field_forest,1019077836.jpg
a dog is playing with a hose .,outdoors,natural,NA,field_forest,1019077836.jpg
a man and a little girl happily posing in front of their cart in a supermarket .,indoors,man-made,work_education,NA,101958970.jpg
a man sitting with his daughter in his daughter 's pink car in a grocery store .,indoors,man-made,work_education,NA,101958970.jpg
a man is sitting on a pink cart with a little girl in the grocery store .,indoors,man-made,work_education,NA,101958970.jpg
a man with his daughter sitting on a stroller in a supermarket .,indoors,man-made,work_education,NA,101958970.jpg
the little girl and the man are smiling .,indoors,man-made,work_education,NA,101958970.jpg
two young men and a young lady walk through a field near the water .,outdoors,natural,NA,field_forest,1024613706.jpg
three people walking through a beautiful meadow towards the ocean .,outdoors,natural,NA,field_forest,1024613706.jpg
two men and a woman are walking through a field .,outdoors,natural,NA,field_forest,1024613706.jpg
two males and one female walking on a path .,outdoors,natural,NA,field_forest,1024613706.jpg
three people walking on a path in a meadow .,outdoors,natural,NA,field_forest,1024613706.jpg
"five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat .",outdoors,natural,NA,mountain,102617084.jpg
"five people wearing winter jackets and helmets stand in the snow , with snowmobiles in the background .",outdoors,natural,NA,mountain,102617084.jpg
"five people wearing winter clothing , helmets , and ski goggles stand outside in the snow .",outdoors,natural,NA,mountain,102617084.jpg
a group of snowmobile riders gather in the snow .,outdoors,natural,NA,mountain,102617084.jpg
group gathered to go snowmobiling .,outdoors,natural,NA,mountain,102617084.jpg
"two men , one younger guy with a yellow shirt that has luggage and the other and older guy , are sitting on a bench in front of a large building that has a billboard for glasses and sunglasses .",outdoors,man-made,transportation_urban,NA,1028982826.jpg
"a man in a yellow shirt , with a tall gray suitcase , sitting next to another man in a white shirt and gray pants , behind them a tall billboard for sunglasses and prescription glasses .",outdoors,man-made,transportation_urban,NA,1028982826.jpg
"two men sitting on a bench talking , with a billboard advertisement for glasses in the background .",outdoors,man-made,transportation_urban,NA,1028982826.jpg
two men sitting on a bench in front of a sign with a picture of man and a lady .,outdoors,man-made,transportation_urban,NA,1028982826.jpg
<number> men are sitting at a bench outside the airport in front of a billboard .,outdoors,man-made,transportation_urban,NA,1028982826.jpg
the man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,outdoors,man-made,transportation_urban,NA,103195344.jpg
a man in black is sitting next to a modern art structure in front of a glass building .,outdoors,man-made,transportation_urban,NA,103195344.jpg
a man sits and reads a newspaper by a sculpture outside of an office building .,outdoors,man-made,transportation_urban,NA,103195344.jpg
a man sitting in front of a metal sculpture in front of a building .,outdoors,man-made,transportation_urban,NA,103195344.jpg
a man sits near a large statue .,outdoors,man-made,transportation_urban,NA,103195344.jpg
a toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio .,outdoors,man-made,domestic,NA,1031973097.jpg
a young child wearing a blue shirt and red hat grabs onto black bars in front of him .,outdoors,man-made,domestic,NA,1031973097.jpg
"the little boy looks like he is saying , let me out of jail .",outdoors,man-made,domestic,NA,1031973097.jpg
toddler boy in a red hat holding on to some railings .,outdoors,man-made,domestic,NA,1031973097.jpg
little boy wanting to play outside of fence .,outdoors,man-made,domestic,NA,1031973097.jpg
a small boy putting something in his mouth with both hands .,outdoors,man-made,recreation,NA,1034276567.jpg
a boy bites hard into a treat while he sits outside .,outdoors,man-made,recreation,NA,1034276567.jpg
the boy eats his food outside at the table .,outdoors,man-made,recreation,NA,1034276567.jpg
the boy is eating pizza over a tin dish .,outdoors,man-made,recreation,NA,1034276567.jpg
a child biting into a baked good .,outdoors,man-made,recreation,NA,1034276567.jpg
a person in a green outfit and helmet is swinging a baseball bat at a tennis ball in front of a fence .,outdoors,man-made,recreation,NA,1035019794.jpg
a girl playing softball hits the ball almost directly downwards,outdoors,man-made,recreation,NA,1035019794.jpg
a young girl is playing baseball and is striking out .,outdoors,man-made,recreation,NA,1035019794.jpg
a girl hitting a softball but she missed the ball .,outdoors,man-made,recreation,NA,1035019794.jpg
the batter missed the ball .,outdoors,man-made,recreation,NA,1035019794.jpg
a man in a green shirt and red life jacket is sitting in a canoe drifting around the lake .,outdoors,natural,NA,body_of_water,10350842.jpg
a man wearing a life jacket is in a small boat on a lake with a ferry in view .,outdoors,natural,NA,body_of_water,10350842.jpg
a man wearing a red life-vest is sitting in a canoe on a body of water .,outdoors,natural,NA,body_of_water,10350842.jpg
a balding man wearing a red life jacket is sitting in a small boat .,outdoors,natural,NA,body_of_water,10350842.jpg
a man in a red life vest is riding in a canoe .,outdoors,natural,NA,body_of_water,10350842.jpg
someone is standing on a long bridge with a cloudy blue sky in the background .,outdoors,man-made,transportation_urban,NA,103953336.jpg
a solitary man stand on a bridge in the evening .,outdoors,man-made,transportation_urban,NA,103953336.jpg
one person is standing on a bridge at night .,outdoors,man-made,transportation_urban,NA,103953336.jpg
person crossing a bridge in dim light .,outdoors,man-made,transportation_urban,NA,103953336.jpg
a man stands on a bridge at night .,outdoors,man-made,transportation_urban,NA,103953336.jpg
"this little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .",indoors,man-made,domestic,NA,104816788.jpg
a sleeping baby is in someone 's arms and wearing a pink striped outfit,indoors,man-made,domestic,NA,104816788.jpg
a sleeping baby in a pink striped outfit .,indoors,man-made,domestic,NA,104816788.jpg
a little baby cradled in someones arms .,indoors,man-made,domestic,NA,104816788.jpg
a little baby is wearing purple pants .,indoors,man-made,domestic,NA,104816788.jpg
"two separate women , one wearing a white top and black pants , the other wearing all black and a pair of pink flip-flops , kneel on a gray brick sidewalk path in front of green and red bushes .",outdoors,man-made,transportation_urban,NA,1051290485.jpg
"two women squatting on the sidewalk looking at plants , one in black shirt , shorts and pink sandals , the other in a white shirt , black shorts talking on a cellphone .",outdoors,man-made,transportation_urban,NA,1051290485.jpg
a little girl is looking at some plants while another is on the phone in the background .,outdoors,man-made,transportation_urban,NA,1051290485.jpg
two girls crouch in front of some bushes and talk on their phones .,outdoors,man-made,transportation_urban,NA,1051290485.jpg
two girls crouch in front of a garden of small shrubbery .,outdoors,man-made,transportation_urban,NA,1051290485.jpg
a young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house,outdoors,natural,NA,field_forest,1051953669.jpg
a little girl wearing a dress walks across a green lawn on a summer day with a home and trees in the background .,outdoors,natural,NA,field_forest,1051953669.jpg
a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,outdoors,natural,NA,field_forest,1051953669.jpg
"a little girl stands in a backyard , holding a toy and looking into the camera .",outdoors,natural,NA,field_forest,1051953669.jpg
this little girl is enjoying the spring weather after the long winter break .,outdoors,natural,NA,field_forest,1051953669.jpg
"several people jogging outside on a sunny day in what seems to be a neighborhood , could be part of a marathon .",outdoors,man-made,transportation_urban,NA,105685221.jpg
seven people are running and one of them is a man wearing a blue t-shirt and red shorts,outdoors,man-made,transportation_urban,NA,105685221.jpg
people jogging together on a park sidewalk .,outdoors,man-made,transportation_urban,NA,105685221.jpg
a group of joggers running on the sidewalk .,outdoors,man-made,transportation_urban,NA,105685221.jpg
seven joggers run down a path .,outdoors,man-made,transportation_urban,NA,105685221.jpg
pink shirted woman sleeping in a car with blue and white blanket on her .,indoors,man-made,transportation_urban,NA,106027978.jpg
a woman in a pink shirt wrapped up in a blue blanket asleep in a car .,indoors,man-made,transportation_urban,NA,106027978.jpg
a woman in a red shirt is under a blanket and sleeping in a vehicle .,indoors,man-made,transportation_urban,NA,106027978.jpg
a lady with brown hair in a pink shirt sleeping in a car .,indoors,man-made,transportation_urban,NA,106027978.jpg
a woman sleeps under a blue and white blanket in a car .,indoors,man-made,transportation_urban,NA,106027978.jpg
firefighters converse with a man at the scene of an emergency .,outdoors,man-made,transportation_urban,NA,1060605297.jpg
firefighters wear reflective uniforms and stare upwards .,outdoors,man-made,transportation_urban,NA,1060605297.jpg
several firefighters are responding to an alarm .,outdoors,man-made,transportation_urban,NA,1060605297.jpg
reflections from the firemen 's uniforms .,outdoors,man-made,transportation_urban,NA,1060605297.jpg
firefighters are responding to an event .,outdoors,man-made,transportation_urban,NA,1060605297.jpg
a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,outdoors,natural,NA,body_of_water,1061887159.jpg
"a beach with blue and red boats , with people on shore",outdoors,natural,NA,body_of_water,1061887159.jpg
people are doing various activities on the beach .,outdoors,natural,NA,body_of_water,1061887159.jpg
people at beach looking for things in sand,outdoors,natural,NA,body_of_water,1061887159.jpg
many people walking on beach .,outdoors,natural,NA,body_of_water,1061887159.jpg
a large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment .,outdoors,man-made,work_education,NA,10637120.jpg
a worker wearing a hard hat watching a large machine dig a trench in the dry dirt .,outdoors,man-made,work_education,NA,10637120.jpg
a man in blue overalls and a yellow hard hat is watching a huge machine work .,outdoors,man-made,work_education,NA,10637120.jpg
a man in a hard hat is wearing a blue shirt and blue jean overalls .,outdoors,man-made,work_education,NA,10637120.jpg
a man in a hard hat looks at some machinery .,outdoors,man-made,work_education,NA,10637120.jpg
kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound .,outdoors,man-made,transportation_urban,NA,1065323785.jpg
a boy wearing a red shirt is riding his bike right next to a mound of dirt .,outdoors,man-made,transportation_urban,NA,1065323785.jpg
a group of boys are riding their bikes around a big pile of dirt .,outdoors,man-made,transportation_urban,NA,1065323785.jpg
kids are riding bikes near a dirt mound in the street .,outdoors,man-made,transportation_urban,NA,1065323785.jpg
