sentence,q1,q2,q3,q4,img_file
"blond child with dirty face holding yellow bottle with red cap , plants in background .",outdoors,natural,NA,field_forest,1301140633.jpg
a blond girl sits with her instrument looking off in the distance .,outdoors,man-made,transportation_urban,NA,1303644819.jpg
two kids wakeboarding simultaneously decide to signal for a high-five .,outdoors,natural,NA,body_of_water,1304961697.jpg
"two soccer players , one from a team wearing red and the other wearing white , are both going for the soccer ball , while people on the bleachers watch .",outdoors,man-made,recreation,NA,1306038218.jpg
"two men , one standing and one on a bicycle are talking outside a building .",outdoors,man-made,work_education,NA,13061918.jpg
"a person wearing a hat and carrying a knapsack walks uphill on a sand dune under a dark , cloudy sky and leaves the only visible footprints behind .",outdoors,natural,NA,other_unclear,1307094208.jpg
"some children are playing on a trampoline , a boy in a red shirt is covering his face as he cries .",outdoors,man-made,domestic,NA,131114016.jpg
four men and women in blue aprons strand in front of a table where there are many white plates and small blue bowls .,indoors,man-made,domestic,NA,131122346.jpg
"young men and women sit at a wooden table on which several partially-drunk beverages have been placed ; the picture is interrupted by an outstretched hand , colored green in the odd light of the wood-paneled interior .",indoors,man-made,restaurant,NA,1312440023.jpg
"a drayton manor theme park roller coaster is shown accelerating downwards vertically on a red colored track with several visible people making either happy , excited or scared faces .",outdoors,man-made,recreation,NA,1315116409.jpg
"four men , two of them with guitars , perform on a stage while several people with their hands in the air watch .",indoors,man-made,recreation,NA,1316505120.jpg
a boy is standing on a sidewalk with his bike .,outdoors,man-made,transportation_urban,NA,131840964.jpg
a scuba diver who has descended to the bottom of the ocean floor reaches out to pet a large sea turtle .,outdoors,natural,NA,body_of_water,131890223.jpg
the dog is sitting on the side of the hill .,outdoors,natural,NA,field_forest,1319634306.jpg
a man wearing dark clothing is talk to a young boy while they are walking down the sidewalk .,outdoors,man-made,transportation_urban,NA,1319977717.jpg
a man 's pants are falling down as he throws crates into a dumpster .,outdoors,man-made,restaurant,NA,132935992.jpg
three street musicians wearing brown coats play the drums and trumpet in front of a store .,outdoors,man-made,transportation_urban,NA,133267753.jpg
various vendors selling produce in an eastern outdoor market .,outdoors,man-made,transportation_urban,NA,1332790049.jpg
a woman in a red jacket stands on the beach facing the water as it covers her feet .,outdoors,natural,NA,body_of_water,1332823164.jpg
one man in a brown coat steadying a cart with two boxes of fruit while trying to retrieve a pear that fell on the bumpy pavement made of brick .,outdoors,man-made,transportation_urban,NA,1336391319.jpg
a female street vendor is standing inside her kiosks which appears to sell a variety of foreign and handmade snacks .,indoors,man-made,work_education,NA,1336600636.jpg
"a man running in a marathon runs past <number> bagpipe players , and a drummer , all wearing a uniform",outdoors,man-made,transportation_urban,NA,133684581.jpg
"man in boat wearing athletic shorts , a backwards baseball cap and sunglasses unhooks a fish he has caught while fishing .",outdoors,natural,NA,body_of_water,1338067602.jpg
a man in a green tank top wearing a rabbits foot around his neck sits on a small sofa with the window open revealing a man in a white shirt on the other side of the window .,indoors,man-made,domestic,NA,1338219999.jpg
one dog climbing on the back of another dog in the snow .,outdoors,natural,NA,field_forest,133905560.jpg
man playing musical instrument standing beside a yellow and red fire hydrant,outdoors,man-made,other_unclear,NA,1346051107.jpg
