image_name| comment_number| comment
100207720.jpg| 0| A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .
1003420127.jpg| 1| Five musicians , a man and four women , practicing sheet music (using flutes ) in a living room .
100577935.jpg| 0| A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .
10082348.jpg| 2| a man is posing next to a urinal with a cup of coffee .
10101477.jpg| 1| A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement .
101093045.jpg| 2| A person riding in a futuristic single-person vehicle .
101362133.jpg| 4| A girl breaking boards by using karate .
101559400.jpg| 0| Men in the business suits are crossing the street , and there are people with placards are gathering on the street .
101958970.jpg| 0| A man and a little girl happily posing in front of their cart in a supermarket .
1027149103.jpg| 0| A band is playing in front of an audience and the singer is wearing an orange shirt and has tattoos on his arm .
1030041880.jpg| 0| Woman in a green dress with a white top and red-hair singing in a room with a blue roof while band equipment is being prepared .
103953336.jpg| 3| Person crossing a bridge in dim light .
104180524.jpg| 0| A group of tourists is crossing a bridge that connects a walking path to a trail of nature .
1042590306.jpg| 4| A multiracial couple posing for a picture
1045309098.jpg| 1| Woman crossing the street at a crosswalk with multiple bags in her hands .
1056198351.jpg| 3| A child using an electric mixer in a bowl .
1063866640.jpg| 1| Several men are sitting by a river conversing with one another while a boat drifts by them .
1067790824.jpg| 1| Two large dogs chasing each other at the beach .
1072153132.jpg| 1| A dog leaps while chasing a tennis ball through a grassy field .
1073444492.jpg| 4| A man in a cluttered office is using the telephone
1078621572.jpg| 1| People cram together in the back of a truck that is heading through green rolling hills while passing a pedestrian along the way .
1080230428.jpg| 0| A male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .
1089059626.jpg| 2| man sitting using tool at a table in his home .
108957912.jpg| 1| Many people are crossing a street in a large city .
109260216.jpg| 2| A person climbing down a sheer rock cliff using a rope
109260218.jpg| 2| Three rock climbers are posing on big rocks .
1093807815.jpg| 1| A group of African-American children have their hands up in the air singing or shouting in a classroom .
1094606832.jpg| 0| A young black person wearing a green shirt and a jacket using a sewing machine .
1095980313.jpg| 2| The little girl in the blue bathing suit is posing at the beach .
1101923011.jpg| 0| A man wearing a white tank top sings into a microphones on a stage with a crowd watching .
110615445.jpg| 0| A couple show their affection on an escalator by embracing and kissing one another .
110637863.jpg| 1| A soccer player in a green uniform with a ball in is hands is being held up by some of his teammates , while an opposing player in red reaches for the ball .
110671345.jpg| 2| A woman posing for a picture while shopping .
11079715.jpg| 2| A musician is posing while playing an odd-shaped guitar .
110802332.jpg| 4| A hockey goalie is trying to prevent a goal from the opposing team .
111061041.jpg| 2| Two male tennis players conversing across the net on an outdoor court
111069375.jpg| 0| Two jugglers using flaming torches are performing for a crowd of people who are sitting on steps .
111811048.jpg| 0| A man is crossing the street and in the distance you can see a building under construction .
112245524.jpg| 0| A woman in a red tank top is cutting a hamburger in half with a spatula while opening or closing a drawer with the other hand .
1130017585.jpg| 3| Three women on the street drinking and posing
1131883759.jpg| 2| Someone working on a project using a jigsaw cutting machine .
1140793239.jpg| 0| A girl holding a drink with a straw in it standing in front of a man kissing her on the cheek as she smiles .
1141643526.jpg| 3| A single man in a black t-shirt standing above the crowd at a busy bar .
1141644104.jpg| 1| A man and women are posing for the camera and looking very happy together .
1141718391.jpg| 1| A man and a woman are crossing over a rope bridge with greenery all over them .
1143373711.jpg| 4| A bicycle rider is crossing a street .
1145730606.jpg| 2| A woman sits on someone 's shoulders while using a wire brush on a door frame .
1145810912.jpg| 0| A boy works on a log that he is using for a project .
1148095714.jpg| 0| A young dark-skinned child in a long blue coat is chasing a ball .
1149097018.jpg| 3| An infant in a green outfit is expressing emotion .
115275671.jpg| 1| A man in a hat and coat is holding a pitchfork and posing for a picture .
1153857697.jpg| 4| Employees of a park discussing work .
116976749.jpg| 4| Man using a sander to remove rust of metal .
1181708011.jpg| 1| a woman using a power drill in front of a group of people .
1186128541.jpg| 0| A woman in a white hat is conversing with another woman with a bike on a busy street .
118647903.jpg| 3| Two male soccer players on opposing teams are trying to get the soccer ball .
118771635.jpg| 1| A woman with brown hair and wearing a brown shirt has a drink while perusing a book with photographs of people in it .
118939364.jpg| 4| A woman using a sewing machine .
1192725687.jpg| 1| A man holding a cardboard sign is asking for money from people passing .
120542286.jpg| 3| Two men are discussing sometime near a wall with some graffiti on it .
1207159468.jpg| 0| A boy in a blue shirt is posing in front of an igloo type building with a person dangling from a rope above the building .
121861208.jpg| 2| Two young male hikers using a map and compass to find their direction in the woods .
122301379.jpg| 3| Two men in the woods using a chainsaw to cut some trees .
122634567.jpg| 4| A woman is using her cellphone in an urban setting .
1231348815.jpg| 3| An Asian man posing in front of a cart hes pulling for a picture .
123315301.jpg| 2| Two martial artists are demonstrating a hold using sticks .
1234206849.jpg| 4| Two women wearing hats covered in flowers are posing .
123866385.jpg| 4| A person is crossing the street .
124145159.jpg| 1| A man in a white shirt sings into a microphone as he reads the words on a screen , while a balding man plays the drums .
1242603438.jpg| 1| In this picture we have about 11 girls posing for a picture in a pool .
1245022983.jpg| 0| A child in all pink is posing nearby a stroller with buildings in the distance .
1247181182.jpg| 3| A person posing on a mountaintop .
1248734482.jpg| 2| A young girl is laying in the grass posing for the camera
124972799.jpg| 1| A cat under the bench hissing with a dog growling and trying to get it .
1251583490.jpg| 3| A man with no shirt on and a hat is using a hammer and anvil .
12526324.jpg| 1| A toddler using a straw to drink from a paper cup in front of a McDonald 's .
1260501563.jpg| 2| The 3 dogs are cruising down the street .
1260816604.jpg| 1| The lady in the red car is crossing the bridge .
1262720546.jpg| 0| A young musician playing a small guitar and singing , while sitting in a white plastic chair .
1262808368.jpg| 1| A woman in blue wearing flip-flops touches a passing car while walking beside a young man in a green striped shirt .
1275832390.jpg| 4| a crowd of people crossing a street .
1278818225.jpg| 0| A man using a metal detector walking on the beach as people are in the water and on the beach .
128396207.jpg| 0| A bike rider with khaki green shorts , a blue shirt , backpack and helmet is riding on the street near a red station wagon that is missing a hubcap on the back drivers side .
1287166023.jpg| 0| A lone musician in black is on stage , playing an acoustic guitar and singing into a microphone .
1287704027.jpg| 1| An employee is handing a woman a bag while she is browsing through fish on ice at a street market .
