image_name| comment_number| comment
1698995792.jpg| 2| People gathering for a reform movement that was to be hosted by chief reforms leader .
19469520.jpg| 0| Competitors getting ready to compete in a grand opening event hosted by the chief executive
2429369147.jpg| 0| Musicians playing guitar in a church service hosted by their Bishop .
2737544815.jpg| 2| The hostess is watching the busy waiter 's tray .
329456684.jpg| 0| A hostess in a restaurant , wearing a uniform and a black hat is cleaning one of the tables .
3650188378.jpg| 1| Two people dressed up like the Ghostbusters standing on the sidewalk .
428923523.jpg| 4| A radio host having his picture taken .
4435816665.jpg| 1| Two men on a cobblestone street , possibly hostile towards each other .
4447440388.jpg| 2| Two girls getting ready for a beauty contest hosted by the chief executive officer
4548948691.jpg| 2| Passersby stop at a booth hosted by the American Parkinson Disease Association at a fair .
4637341301.jpg| 0| Peaceful water hosts several small sailboats at the dock .
4648101227.jpg| 1| Good morning America hosts their summer concert series brought to you by Walgreens .
4648447880.jpg| 4| Two people host a concert series .
4710230599.jpg| 0| A dilapidated , gritty building with yellow wall , green shutter-doors , and red concrete platform is host to a sleeping woman in a white dress facing away from us .
4733158624.jpg| 1| A young man greeting his supporters before a big karate fight hosted in his town
4819038555.jpg| 0| A group of people , all wearing white shirts and mostly wearing red neckties , march through a street waving the flag of the Netherlands and hosting a banner .
4914160614.jpg| 2| A woman is walking a footbridge with a Pac Man Ghost painted on the side .
"4914732942.jpg| 4| Whole Foods hosts a "" City Picnic . """
5851818256.jpg| 0| Three men , two with white shirts who appear to be host to a Rodeo House , and the third man with the brown shirt rides a wild horse .
7148370683.jpg| 3| A DJ host takes the mic and rallies his audience .
7862746246.jpg| 0| The white-helmeted driver of the red , white and blue car , with a passenger riding shotgun , whipped up dust and rocks in the wooded taped-off area , the debris creating an eerie , ghostlike view of the face of the person behind him .
7966150796.jpg| 2| five pretty ladies listening to a talk show host .
