image_name| comment_number| comment
10160966.jpg| 3| A young man , wearing a white shirt , prepares hotdogs on a small grill .
1019604187.jpg| 0| A dog prepares to catch a thrown object in a field with nearby cars .
102998070.jpg| 2| Three old men are watching another man prepare fish .
1030041880.jpg| 0| Woman in a green dress with a white top and red-hair singing in a room with a blue roof while band equipment is being prepared .
1079013716.jpg| 2| Two chefs prepare burgers in a restaurant kitchen .
11214205.jpg| 1| Three construction workers in bright vests prepare road to be worked on .
11391827.jpg| 2| A man in a brown shirt prepares to close the door .
114051287.jpg| 1| A young boy gets out of the van and prepares his shoes for wear during a soccer game .
1179226886.jpg| 1| A line of six children in bathing suits prepare to leap into a swimming pool .
121551810.jpg| 2| A man and a woman can prepare meals at camp together .
122019659.jpg| 0| A young boy prepares to field a baseball with people in the background .
123314995.jpg| 2| One man holds another man 's head down and prepares to punch him in the face .
1246863003.jpg| 2| Workers prepare the restaurant for hungry customers .
1296395998.jpg| 0| Employees at a sushi restaurant prepare for dinner time rush .
1304961697.jpg| 1| Two children prepare to high-five while participating in water sports .
1306106329.jpg| 1| An Asian family prepares meat on skewers at a night market .
130792536.jpg| 2| A man and a woman are in a kitchen eating what they have prepared .
131122346.jpg| 2| A smiling woman and several other people wear blue aprons and prepare food .
1327485320.jpg| 0| A woman prepares a plate of meat coming directly off of a grill while people talk in the background .
1329832826.jpg| 0| This is a picture of a Broadway Rite Aid Pharmacy that has a bright neon sign and people are prepared to cross the street in front of it .
1336772621.jpg| 0| Native woman in blue dress prepares pineapple and other fruits .
1345459258.jpg| 1| A white boy prepares food while looking at the camera .
134653574.jpg| 2| Three friendly woman prepare a feast for them to eat later .
1351635108.jpg| 1| A golfer prepares to take a shot on golf course surrounded by trees .
1363343745.jpg| 4| A family prepares to ride on the water .
137453677.jpg| 4| Young people in yellow shirts prepare colorful food .
1394276597.jpg| 2| An all-woman orchestra in black formal dress prepare to play outside of a church .
1428641354.jpg| 3| A woman in a white shirt prepares a large meal of hamburgers .
1432196901.jpg| 0| Two female beach volleyball players , facing each other , prepare to strike the ball .
1434128388.jpg| 2| A man in a gray shirt with a beard prepares a recipe .
145558685.jpg| 0| A young girl with a big smile , wearing brightly colored clothing helps prepare food in a narrow alley .
146479462.jpg| 4| A tourist watching a native prepare clothes for sale .
1477503966.jpg| 1| Five young people prepare food in a kitchen while watching the television .
151021636.jpg| 0| Three chefs in uniform are working in an assembly line to prepare pastries .
153299765.jpg| 2| A man prepares to sell items from his food cart .
161669933.jpg| 1| A competitive motorcycle racer prepares to make a left turn along a paved road .
1626754053.jpg| 2| A black and white dog prepares to catch a Frisbee .
1629337128.jpg| 2| Three men in an auditorium prepare to tape something .
1673433891.jpg| 2| A man prepares to drill a hole in a pumpkin .
1673911365.jpg| 4| A man in a blue jumpsuit prepares to bungee jump .
170547828.jpg| 2| A fisherman sits and prepares in front of a blue tarp .
1777816180.jpg| 4| a boy prepares a jump off a rock .
1799847835.jpg| 0| A boy in red prepares to throw a blue ball into the hoop , while others watch .
1801063894.jpg| 4| A woman standing on a rock prepares to jump into the water .
180209719.jpg| 2| A teppanyaki chef prepares dinner for restaurant guests .
192807051.jpg| 0| A newlywed couple , still wearing their wedding outfits , prepare to enter a car .
193082928.jpg| 3| Houston Astros pitcher number 22 prepares to throw home .
194467104.jpg| 2| Man prepares to throw frisbee in park .
1961696686.jpg| 3| A woman prepares to bowl and red bowling ball .
1984905752.jpg| 3| A chef dresses and prepares his meal before serving it .
198534816.jpg| 0| A softball player dressed in a maroon and gold uniform , at home plate with a catcher and umpire , prepares to run after hitting the ball .
202029970.jpg| 1| A group of people prepare hot air balloons for takeoff .
202174998.jpg| 2| Young hikers in climbing gear prepare to descend down a steep mountainside .
2022443431.jpg| 2| A skydiver in a yellow parachute prepares for landing .
203198713.jpg| 3| African woman prepares to workout on exercise equipment .
203390686.jpg| 0| Two men prepare dinner next to a bottle of beer .
