image_name| comment_number| comment
1212131969.jpg| 2| People wander a surreal maze like sculpture .
1307094208.jpg| 4| A man wandering in the desert as the clouds roll in .
1390860274.jpg| 2| A father standing on the side of a pond fishing as his son begins to wander off with the fishing net .
213759069.jpg| 0| A little boy watches from his stroller as an older boy with a yellow balloon wanders a few steps away in a fair like setting .
2372262128.jpg| 1| A small group of three enjoy the view of the water as a small boy wanders off and two companions enjoy a walk along the shoreline .
2572609425.jpg| 1| Many people sit outside in chairs and wander in the courtyard in front of a small white building labeled ' Znocob ' .
2573811416.jpg| 3| Some people wandering near a construction field .
2902599503.jpg| 2| A crowd wanders a city street lines with China 's flags .
3005393426.jpg| 2| Several people wander among racks of clothes while one woman flips through a book .
3053916979.jpg| 0| A man in a black shirt wanders around amongst fencing players .
3836884647.jpg| 0| A man in a blue collared shirt and tan pants is wandering through a London subway station .
3904368912.jpg| 0| In a foreign village , citizens wander through the market and past a row of bicycles and a kneeling woman repairs shoes for a customer .
4152801453.jpg| 2| Tourists wandering in front of a building with pillars .
4444537827.jpg| 0| Two woman talk in the middle of a parking lot , near two cars , as random people wander nearby .
4567351389.jpg| 3| Children are wandering about , wearing jackets .
4631909374.jpg| 1| A man crouches while doing chores , as pigeons wander in the background .
4653320750.jpg| 2| A homeless man is wandering the city streets .
4656278976.jpg| 0| A woman and two children stand in front of a statue while random people wander the city square .
4726413723.jpg| 4| People wandering a city street .
4733528296.jpg| 0| A female wearing a short white skirt and high heels leans against the wall as people wander around the busy street .
4744082562.jpg| 0| In a busy commercial district on a sunny day , a crowd wanders through a curved street faced with shops on both sides ," with a sign saying "" Sultan Palace "" in the mid-ground ."
4783219327.jpg| 3| A few people wandering around an old crumbling part of a city .
4809325086.jpg| 4| People wandering along a street .
4827261484.jpg| 1| Two young boys wander through a crowd wearing bright yellow shirts .
4857180539.jpg| 4| People wandering around an outdoor area .
4857763702.jpg| 1| A man stands near a bicycle taxi while many people wander the city streets .
4877551358.jpg| 4| People wandering through a market shopping .
4968285215.jpg| 1| Some people wander past a wall covered in graffiti .
5921995766.jpg| 4| A little boy wandering through a forest .
6108282669.jpg| 4| People wander through a flea market .
