image_name| comment_number| comment
1266116986.jpg| 3| A little girl with a bindi laughs as she stirs a pot in the kitchen .
2045336190.jpg| 1| A group of women are looking through binders and playing tambourines .
2296139788.jpg| 1| Thin woman with bindi , black hair and a gold watch holding a steering wheel in a blue vehicle .
2473018628.jpg| 3| Three people gathering and binding sticks or brush .
2725951714.jpg| 1| A group of women with black binders stand in front of a group of people .
3139289763.jpg| 0| A blond girl with a ponytail and white sweater is sitting at a desk with a laptop , while looking down at the black binder on her lap .
3576186562.jpg| 3| Women sitting in chairs look through a binder .
3587666993.jpg| 2| A white-haired man in a white shirt looks at information in an orange-red binder .
3834121899.jpg| 3| A man is holding a binder and is standing between a middle-aged woman and a middle-aged man .
3856149623.jpg| 3| Two ladies are reading through binders .
3952790386.jpg| 2| A man wearing a suit sits cross-legged in front of a door , looking at a binder of music .
4401293680.jpg| 1| An elderly woman with a taupe color coat is sitting at a desk with her binder open while writing on a piece of paper .
4563111678.jpg| 2| Woman with brown hair is sitting behind a desk that has binders stacked on it .
4589627804.jpg| 0| A woman wearing a black shirt and green jacket is holding a green binder as she stands in front of a man wearing a black shirt on a street .
4645721437.jpg| 0| A man dressed in a vest is holding a binder and walking across the street .
4830965524.jpg| 0| A man wearing a black shirt is looking at a binder on a music stand while playing a guitar .
51900750.jpg| 3| A man in black shirt is binding wheat .
536147209.jpg| 0| A woman in a white dress is sitting on a swing and reading from a black binder .
6337872636.jpg| 2| Nine females are standing in a semi-circle with black binders in their hands .
