image_name| comment_number| comment
1000919630.jpg| 0| A man sits in a chair while holding a large stuffed animal of a lion .
1078621572.jpg| 2| A rickety old truck , stuffed to overflowing with men , is traveling down a country road on the left hand side .
1096305461.jpg| 1| A young boy is inside a couch cushion with stuffing hanging out .
1164765687.jpg| 0| A man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals .
116626604.jpg| 0| A boy in a blue shirt smiles as he sits with his red stuffed animal .
1278818225.jpg| 4| The man on the beach looking for stuff with metal detector .
1356543628.jpg| 0| Little girl in rural area , carrying bags and stuffed animal .
1390654687.jpg| 0| An older gentleman dressed completely in white is eating from a white bowl while sitting in a large overstuffed chair .
1394368714.jpg| 3| A dog waits as his owner rummages through a collection of stuff .
1445123245.jpg| 1| A short long-haired dog plays with a multicolored stuffed toy centipede .
1558277287.jpg| 0| A young boy in overalls is sleeping while holding a brown stuffed animal .
1817746886.jpg| 0| A woman sits on a bed with a stuffed camel in her lap while putting her hands over her face .
2058124718.jpg| 0| Brown dog barks at another brown dog with a stuffed duck in mouth .
2071309418.jpg| 0| A white dog wearing a christmas reindeer headband plays with a brown dog in the grass among some stuffed animals .
2115525592.jpg| 0| A small child hugging a stuffed animal by a black luggage back in front of two people wearing pink clothing .
2137836768.jpg| 4| A man holds a stuff sloth .
214165084.jpg| 2| A girl is holding a beer and a stuffed animal .
214166720.jpg| 1| A boy in an olive shirt is showing the bottom side of a blue stuffed animal .
214167512.jpg| 0| A young smiling girl is holding a stuffed animal in one hand and a candy apple in the other .
2179759270.jpg| 0| A middle-aged woman in a black dress stands facing a little girl who is holding a stuffed animal in blue hat .
2183967273.jpg| 0| A dog in a living room laying on a stuffed animal with a television in the background .
218854747.jpg| 0| A girl with a purple stuffed animal and a boy wearing a necklace are walking down a street .
2224541007.jpg| 4| A woman holding a stuffed gorilla is smiling at the camera .
228879479.jpg| 0| Two men with red shirts and yellow aprons stand in front of a wall of colorful stuffed animals while two women pause at the table in front of it .
2293149170.jpg| 0| A boy wearing a black shirt and khaki pants is laying down , and is surrounded by stuffed animals .
"230819485.jpg| 0| A man prepares to throw a blue ball at a stack of blocks in a carnival game ; a display with the word "" Blockbuster "" is visible behind the game ", as well as a variety of stuffed animals .
2353088412.jpg| 2| A black dog running with a stuffed bird in its mouth and another dog chasing it .
2372820502.jpg| 3| people , outside , throwing stuff over the top of them .
23925202.jpg| 0| A laughing man is sitting in a camp chair with his arms outstretched , while a man in a black shirt next to him is stuffing his face .
2428797297.jpg| 3| Two dogs fight over a green stuffed toy .
2455300855.jpg| 3| Some guy stuffing his face at a get together .
2502079538.jpg| 4| a camel carries two peoples stuff .
2506892928.jpg| 0| Three children , one with a stuffed kitten , in a field of flowers .
2508019949.jpg| 0| A person dressed in a dress with flowers and a stuffed bee attached to it , is pushing a baby stroller down the street .
2531794051.jpg| 0| A man in sunglasses sits in a chair holding a metal pan , surrounded by a lot of stuff .
2649056692.jpg| 0| A white male toddler wearing a blue top sitting in a cream colored chair with a large stuffed SpongeBob .
269898428.jpg| 0| A man has put a stuffed animal on an electric screwdriver and is spinning it .
2701228560.jpg| 0| This crib contains a baby , stuffed animals , a box of matches , a cordless drill , a paperback novel , and a blanket .
2706068775.jpg| 0| A group of children gathered in front of a carnival game booth with stuffed animals hanging overhead .
2745086720.jpg| 1| Person carrying a bunch stuff in a shoulder sac walking along a sidewalk .
2750832671.jpg| 0| A black dog plays with a white and blue colored stuffed animal .
