image_name| comment_number| comment
1014785440.jpg| 0| Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood .
1018148011.jpg| 1| Men are standing on and about a truck carrying a white substance .
1021332107.jpg| 4| A man with beard carrying a cabinet .
1026685415.jpg| 1| A wet black dog is carrying a green toy through the grass .
104669470.jpg| 1| A dark woman carrying a large bowl of pineapples , bananas and papayas on her head .
1054620089.jpg| 0| A woman in jeans and a red coat and carrying a multicolored handbag spreads put her arms while leaping up from a cobblestone street .
1104133405.jpg| 4| A boy carrying a soccer ball .
110590591.jpg| 2| A parade of people walk the street carrying the American flag .
112220869.jpg| 0| Blond girl in a yellow-belt martial arts uniform standing in front of a door and carrying a large trophy .
1126450961.jpg| 0| A man in a business suit talking on the phone and carrying a briefcase walking by a mirrored building .
1130369873.jpg| 2| A brown dog is running through neck-deep water carrying a tennis ball .
113291048.jpg| 1| A man carrying an electric saw and a square board inside of a shop .
1146938063.jpg| 3| Two men carrying books , walking and talking in a field .
115767961.jpg| 1| A man in an pilot uniform is walking down the sidewalk carrying luggage .
1184340890.jpg| 4| A group of people walks home carrying plastic shopping bags .
1187593464.jpg| 3| The dog carrying a long stick in its mouth .
1196746186.jpg| 3| A woman carrying shoes is walking barefoot on the beach .
121861208.jpg| 1| Two people walking down a dirt trail with backpacks on looking at items they are carrying .
1239873050.jpg| 0| Three people in a group of cars in what appears to be a city scene ; two of them carrying a large bottle and one is a female dressed in high heels .
1267711451.jpg| 2| A black and white dog is carrying a stick in its mouth .
1271960365.jpg| 0| A black dog runs after another black dog who is carrying a ball .
1278579569.jpg| 0| A man and a lady , carrying a gray bag on her shoulder , are walking among a crowd at a gathering .
1278818225.jpg| 3| A person carrying a metal-detector , walking down a busy , sandy beach .
1287704027.jpg| 0| A woman wearing a short-sleeved striped shirt and carrying a green shopping bag examines fish in an open air market while a vendor in a white apron over a gray t-shirt hands her an empty plastic bag .
129528391.jpg| 0| A man carrying a musical instrument and wearing a gray jacket , purple hat and purple scarf examines some money as he stands near a worn utility pole .
129599450.jpg| 3| A hiker carrying an American flag .
1301532463.jpg| 0| a transportation vehicle is carrying a crowd of people who are sitting and standing .
1307094208.jpg| 0| A person wearing a hat and carrying a knapsack walks uphill on a sand dune under a dark , cloudy sky and leaves the only visible footprints behind .
1318903794.jpg| 1| Africans walk down a road carrying their belongings .
132056499.jpg| 1| A man is carrying a trash barrel past a statue of an angel .
132421833.jpg| 0| A bald man in an orange shirt and jeans is vacuuming an office carpet with a carry-along canister vacuum .
1336100240.jpg| 2| A blond little girl wearing pink shorts is carrying a stick .
1336391319.jpg| 1| A person reaches for a fallen item while holding a rolling cart carrying Dole crates .
134829866.jpg| 2| A man in white and red with sunglasses carrying and blowing a very large horn .
1352231156.jpg| 0| Three teenagers are carrying wood down a street while one of the teenagers is smiling at the camera .
1356543628.jpg| 0| Little girl in rural area , carrying bags and stuffed animal .
1358892595.jpg| 0| A yellow dog running through a grassy area carrying something small in its mouth .
1363843090.jpg| 0| A dog walking through a stream carrying a white towel in its mouth
1369506388.jpg| 1| Woman walking with face painted children while carrying a screaming child .
1387785218.jpg| 2| a young child carrying a doll in a stroller
1392272228.jpg| 2| A black dog carrying some seaweed out of the water .
1394276597.jpg| 0| These are women members of a musical symphony dressed in black and carrying red flags outside an ornate building .
1394396709.jpg| 0| The dog is running through the water carrying a black and yellow object in its mouth .
1408554531.jpg| 1| A woman wearing rolled up jeans and a black shirt is walking past a bus carrying a shopping bag .
1420185620.jpg| 2| A girl in a striped shirt is carrying luggage .
1423126855.jpg| 2| A man carrying a backpack on his back walks in a large field of grass .
1434005938.jpg| 1| A man is carrying a large backpack and looking over some green fields .
1434607942.jpg| 1| A white man with carrying hair and a beard with a child on his shoulders .
1435194718.jpg| 0| Two men carrying a briefcase talk to another man in a white t-shirt on a porch .
1468182643.jpg| 1| Women carrying items on their heads walk down a dirt path with greenery on each side .
1470536919.jpg| 0| A small black dog is running along side a bigger tri-colored dog that is carrying a rope toy in its mouth .
1471163137.jpg| 1| A man in a suit carrying a briefcase walks on a sidewalk , near a puddle reflecting the image of a building .
1475046848.jpg| 0| A woman in blue shorts is carrying her shoes whilst walking on the beach next to the ocean .
1479857177.jpg| 0| A yellow gloved diver with a snorkel and mask swims underwater carrying a box with a handle .
1482960952.jpg| 0| Three elderly women wearing coats and carrying purses are walking with their back to the camera .
1489471156.jpg| 0| A group of nicely dressed young women in New York City are walking down the street through the rain while carrying black umbrellas and are approaching an intersection .
1505686764.jpg| 0| a man in red shorts is walking along rocks by a river carrying a stick .
150598969.jpg| 1| A woman riding a horse in a dirt arena , carrying an American flag .
1577632685.jpg| 4| A man walking down the street carrying a shopping bag .
160210791.jpg| 0| A man wearing blue jeans is standing outside carrying a wide assortment of items and has a large dish on his head .
1605250088.jpg| 0| A man in a trench coat walks down a boardwalk carrying a guitar in its case .
1615608252.jpg| 4| A woman carrying a bag is smoking .
1624481.jpg| 2| Soldiers march in their olive drab uniforms carrying weapons from the WWII era .
164622257.jpg| 0| A man in a black jacket and blue jeans carrying a camera walking up to the front of a cave that has the front of it blocked off by bars .
1659337157.jpg| 3| A woman is carrying a basket on her head away from the water .
1688699579.jpg| 1| The little white dog is trying to bite onto the stick that the black dog is carrying .
169959689.jpg| 2| A long line of camels , each carrying people pass a sign in a desert area .
170405864.jpg| 2| A woman in a dress carrying a child in her arms .
170704395.jpg| 0| A smiling man carrying a toddler squats down in front of a train .
171614657.jpg| 0| Barefooted children walk on a dirt road while carrying plastic bags of produce .
1720835468.jpg| 0| The man in a peach-colored shirt is carrying items on a huge cart .
172327171.jpg| 0| A girl stands next to a bike parked in front of a building while two men , one carrying a guitar , walk by .
1748132477.jpg| 0| Two people are carrying a large bag filled with a red substance down a ally as a figure in red walks behind them .
1764955991.jpg| 4| A brown dog is carrying a ball up the road .
176673870.jpg| 3| An older woman in a bathing suit carrying a sign about immigration .
1780790804.jpg| 0| Two jacketed men with double-barreled shotguns carry home prey that they have shot on a hunting trip on a muddy country road .
180506881.jpg| 0| two people wearing white shirts and jeans each carrying a skateboard
180753784.jpg| 1| A group of men are dressed in old military costumes , carrying instruments as if in a parade .
181616579.jpg| 2| three white males are walking down the street carrying veterans flags .
181989658.jpg| 0| A woman carrying a mannequin is walking down the sidewalk and talking on a mobile phone .
181989740.jpg| 0| A girl , perhaps around five , wearing white shorts , red and white top and carrying a red balloon , is standing outside of a wooden building , looking inside .
182246705.jpg| 1| A child , carrying a closed blue umbrella , is walking with another child who is under a yellow umbrella , on a muddy path .
182825639.jpg| 4| A man walking through town carrying his goods .
183018056.jpg| 2| Multiple people carry a sesame street float through the streets for a parade .
1835319755.jpg| 1| A man in a brown coat is wearing a helmet and riding a bicycle while carrying two plastic bags .
185368429.jpg| 1| Two shirtless boys on a beach carry another boy in a white shirt by the feet and hands .
