ID,Sentence,Verb,Lemma,PropBank Role (n),q1,q2,q3,q4
1,several men in hard hats are operating a giant pulley system .,operate-01,operate,N/A,outdoors,man-made,work_education,NA
2,workers look down from up above on a piece of equipment .,look-01,look,N/A,outdoors,man-made,work_education,NA
6,a man with black hair sits in a restaurant with a glass of beer .,sit-01,sit,N/A,indoors,man-made,restaurant,NA
7,a man is sitting at a table with a drink .,sit-01,sit,2,indoors,man-made,restaurant,NA
8,a man is sitting at a table with a beer .,sit-01,sit,2,indoors,man-made,restaurant,NA
9,a dark-haired man sitting drinking .,sit-01,sit,2,indoors,man-made,restaurant,NA
10,a old man having a beer alone .,have-03,have,N/A,indoors,man-made,restaurant,NA
12,a asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement .,use-01,use,N/A,outdoors,man-made,transportation_urban,NA
13,a man in a white and blue kimono is using a broom to sweep pavement .,use-01,use,N/A,outdoors,man-made,transportation_urban,NA
14,man sweeping the street outside .,sweep-01,sweep,N/A,outdoors,man-made,transportation_urban,NA
15,asian man sweeping the walkway .,sweep-01,sweep,N/A,outdoors,man-made,transportation_urban,NA
16,a person in tan pants is inside a silver mobile object while people watch .,be-located-at-91,be,N/A,outdoors,man-made,transportation_urban,NA
17,people are watching a person in a weird vehicle in a plaza .,watch-01,watch,N/A,outdoors,man-made,transportation_urban,NA
18,a man in a blue shirt driving a segway type vehicle .,drive-01,drive,N/A,outdoors,man-made,transportation_urban,NA
19,a showing of product to advertise,show-01,show,N/A,outdoors,man-made,transportation_urban,NA
21,"a man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier .",contrast-01,contrast,N/A,outdoors,man-made,transportation_urban,NA
22,a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,drive-01,drive,N/A,outdoors,man-made,transportation_urban,NA
23,a person riding in a futuristic single-person vehicle .,ride-01,ride,N/A,outdoors,man-made,transportation_urban,NA
24,man walking up to silver 4-wheeled chair,walk-01,walk,2,outdoors,man-made,transportation_urban,NA
25,a man walks by a silver vehicle .,walk-01,walk,2,outdoors,man-made,transportation_urban,NA
26,white dog with brown ears standing near water with head turned to one side .,stand-01,stand,2,outdoors,natural,NA,body_of_water
27,"dog with orange ball at feet , stands on shore shaking off water",stand-01,stand,2,outdoors,natural,NA,body_of_water
28,a white dog shakes on the edge of a beach with an orange ball .,shake-01,shake,N/A,outdoors,natural,NA,body_of_water
29,white dog playing with a red ball on the shore near the water .,play-01,play,N/A,outdoors,natural,NA,body_of_water
33,a boy jumps over three other students in a martial arts demonstration .,jump-03,jump,N/A,indoors,man-made,recreation,NA
34,a crowd is watching a group of five martial artists perform .,watch-01,watch,N/A,indoors,man-made,recreation,NA
35,a crowd of people watch a martial arts demonstration .,watch-01,watch,N/A,indoors,man-made,recreation,NA
37,a gray dog is leaping over a fallen tree .,leap-01,leap,N/A,outdoors,natural,NA,field_forest
38,a large black dog leaps a fallen log .,leap-01,leap,N/A,outdoors,natural,NA,field_forest
39,the black dog jumped the tree stump .,jump-03,jump,N/A,outdoors,natural,NA,field_forest
40,a black dog leaps over a log .,leap-01,leap,N/A,outdoors,natural,NA,field_forest
41,man on scooter attracts attention from some of those in large crowd .,attract-01,attract,N/A,outdoors,man-made,transportation_urban,NA
46,a group of people stand in the back of a truck filled with cotton .,stand-01,stand,2,outdoors,man-made,work_education,NA
48,a group of people are standing on a pile of wool in a truck .,stand-01,stand,2,outdoors,man-made,work_education,NA
49,a group of men are loading cotton onto a truck,load-01,load,N/A,outdoors,man-made,work_education,NA
50,workers load sheared wool onto a truck .,load-01,load,N/A,outdoors,man-made,work_education,NA
51,large brown dog running away from the sprinkler in the grass .,run-02,run,N/A,outdoors,natural,NA,field_forest
52,a brown dog chases the water from a sprinkler on a lawn .,chase-01,chase,N/A,outdoors,natural,NA,field_forest
53,a brown dog running on a lawn near a garden hose,run-02,run,N/A,outdoors,natural,NA,field_forest
54,a brown dog plays with the hose .,play-01,play,N/A,outdoors,natural,NA,field_forest
55,a dog is playing with a hose .,play-01,play,N/A,outdoors,natural,NA,field_forest
56,a man and a little girl happily posing in front of their cart in a supermarket .,pose-01,pose,N/A,indoors,man-made,work_education,NA
57,a man sitting with his daughter in his daughter 's pink car in a grocery store .,sit-01,sit,2,indoors,man-made,work_education,NA
58,a man is sitting on a pink cart with a little girl in the grocery store .,sit-01,sit,2,indoors,man-made,work_education,NA
60,the little girl and the man are smiling .,smile-01,smile,N/A,indoors,man-made,work_education,NA
61,two young men and a young lady walk through a field near the water .,walk-01,walk,2,outdoors,natural,NA,field_forest
62,three people walking through a beautiful meadow towards the ocean .,walk-01,walk,2,outdoors,natural,NA,field_forest
63,two men and a woman are walking through a field .,walk-01,walk,2,outdoors,natural,NA,field_forest
64,two males and one female walking on a path .,walk-01,walk,2,outdoors,natural,NA,field_forest
65,three people walking on a path in a meadow .,walk-01,walk,2,outdoors,natural,NA,field_forest
