image_name| comment_number| comment
1021293940.jpg| 0| Two men are hiking in a forest where snow is partially covering the ground .
1312440023.jpg| 0| Young men and women sit at a wooden table on which several partially-drunk beverages have been placed ; the picture is interrupted by an outstretched hand , colored green in the odd light of the wood-paneled interior .
1433397131.jpg| 1| A young child partially concealed by a pile of colored balls .
1449370354.jpg| 0| Two boys , one wearing glasses , run across grass . Third child partially in shot .
1463072715.jpg| 0| A young boy is looking at a checkers board with one fist leaning against his head as a partially visible adult sits across the table from him , in a room full of people sitting in chairs around tables .
160585932.jpg| 0| A black station wagon with its lights on , partially submerged in water with a wooded area behind it .
1944997202.jpg| 0| Two asian women are holding up a partially filled trash bag , smiling .
194935702.jpg| 1| A partially submerged man covers his mouth with both hands .
2042159643.jpg| 1| A partially-furled flag is carried through an atrium filled with people .
2050742372.jpg| 1| A young man in camouflage pants and a red shirt does a partial split as part of a dance performance .
211981411.jpg| 2| An old jeep partially submerged in water
2159526836.jpg| 0| A person in a hooded sweatshirt is embracing a man on the couch while partially covered by an off-white comforter .
2173828253.jpg| 0| A figure in green and black clothes poses for the camera while hoisting a sword-like object and camera , partially obscured by weeds in a snowy , outdoor , rural setting .
219123214.jpg| 0| A person covered partially with a pink blanket sleeps as a gray and white cat sleeps on the floor nearby .
2227179257.jpg| 0| A child poses in the snow holding a partially formed piece of snow .
2319808437.jpg| 2| Three young men standing on partially snow-covered ground
2387900324.jpg| 0| A gray-haired man wearing a dark gray suit and blue tie partially extends his arms in front of his body .
2445442929.jpg| 1| A man sitting at a picnic table with a tray and partially consumed beer in front of him .
2592485728.jpg| 0| There is a person in a swimming cap , and swimming goggles that is swimming in the water with their head partially submerged .
2594698744.jpg| 0| Two women , dressed in light clothing and both wearing sunglasses , walk in a partially shaded area .
265265586.jpg| 0| A brunette artist wearing a respirator is carving a sad looking knight into a brick structure that is only partially visible but appears to perhaps be part of a modern castle of some kind .
276431387.jpg| 2| Two men talking with each other while sitting at a table , and one is holding a partially-opened book .
296820758.jpg| 1| A woman is sitting and holding a partially woven basket .
301908754.jpg| 2| A small child with brown hair is partially enclosed in dead leaves .
3182570190.jpg| 2| People walk by a large advertisement of partially naked man .
3328324395.jpg| 3| A worker stands by a partially completed structure .
33382940.jpg| 2| A man is walking on a downed tree that is partially submerged in water .
3370085095.jpg| 0| A man with a white beard , a partially bald man and a woman with short hair posing for a picture
3376942201.jpg| 1| Two dogs begging a partially seen person for food at a kitchen table .
3378553508.jpg| 1| several workers standing in a partially constructed building behind street sign
3443161359.jpg| 2| A man partially silhouetted on top of a large rock .
3522000960.jpg| 0| Surfer partially visible through crashing wave , shore in background .
3593206558.jpg| 3| A man is walking on a rooftop on a clear partially sunny day .
3601533527.jpg| 0| A man is partially silhouetted and leaning against a dark object .
3646814919.jpg| 3| Man on top of a partially completed roof getting ready to lay down more shingles .
3665987581.jpg| 0| Brown and white dog , running on sand with livestock animals partially out of frame .
3716462559.jpg| 1| An asian man is smiling while playing pool , and another person is partially included in the photo .
3843254402.jpg| 1| A man in a striped shirt standing next to partial brick walls while using a garden hose to spray the ground .
3973858553.jpg| 2| A drunk woman holding a Bud Light is partially dressed .
408573233.jpg| 0| A black and brown dog in a grassy , well-lit area with his mouth partially open .
4100572429.jpg| 0| A ceremony with one man speaking and another man adjusting the robes on other person whose faces is partially covered being held in a mosque with many observers .
4146540950.jpg| 3| A man stands near a pool with his gray shirt partially pulled over his head .
4161829222.jpg| 2| The partially obscured car is visible to the man in uniform .
4239856300.jpg| 0| Four young children sit on the ground outside , some on a blanket , some in the dirt , two have their eyes closed and one is only partially visible on the left side of the picture .
424047148.jpg| 0| A woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror .
4268485193.jpg| 3| A couple of boys are in a gym with partially assembled bicycles .
4361912325.jpg| 0| Three people in jackets and gloves walk on a rocky path partially covered with snow .
4433206636.jpg| 0| A man with long hair is vacuuming a carpet that is laid over a wood floor and is partially rolled up .
445348023.jpg| 2| A man hanging off a partially framed roof .
4516215051.jpg| 0| A young girl is lifted by a red-haired woman in glasses partially up a playground pole as the girl looks skyward with a large smile on her face .
4555514125.jpg| 2| A partially balding man pushes a blue easy-chair down the sidewalk .
4609086520.jpg| 0| Three people playing foosball near a partially drank beer .
4610461009.jpg| 2| A woman dressed in a partial costume while selling her wares .
4622334438.jpg| 0| A man in a turban that partially covers his face wearing a blue and light brown robe over a his clothes shows a slight smile as he gazes over to the right .
463439358.jpg| 0| A fisherman skins his most recently caught trout fish from the rocky banks of Lake Eerie on a beautiful partially sunny day , with a breeze blowing and the water moving as the fish swim .
4688989316.jpg| 0| Gowned medical professionals observe surgery on a partially-draped patient .
4798841068.jpg| 2| A blue road sign is partially concealed by a nearby foliage .
4831015865.jpg| 1| Three hikers are standing near and on a wooden structure made partially of logs .
4843861820.jpg| 0| A very tan elderly couple sits partially naked on a park bench while a woman in a wedding dress , a man in a suit and a photographer walk down a trail in the background .
4873901110.jpg| 0| A man walking along a road in the foreground of a mountain range , partially obstructed by sheep .
4926723.jpg| 0| A man whose face is only partially seen is sitting down and writing something with a pen on paper with a cup in front of him with Disney characters .
4951686898.jpg| 0| A woman with tattoos and a black t-shirt smiles and talks to a man with a partially shaved head wearing shirt with the words ' hippie killer ' in white letters on it .
507035997.jpg| 0| A partially bald and overweight man dressed in a lime green t-shirt is seasoning the skewers that are cooking on the barbecue pit .
522700240.jpg| 0| A dog lays on a bed with a blue sheet while also partially covered with a blue sheet .
52510204.jpg| 0| A young thin man holds a partially eaten sandwich with his left hand while typing on a computer with his right hand .
5349069500.jpg| 2| Two men are studying plans over a partially built reed aircraft mounted on sawhorses .
5430568615.jpg| 2| A group of people watches the partially inflated hot air balloons .
5632141892.jpg| 1| A group of indian women sit by a riverbank while partially submerged in the water .
5710857189.jpg| 0| People wearing orange safety vests are standing around a beautiful lake that is partially frozen in front of a snowcapped mountain range .
5744253993.jpg| 0| A man wearing a black t-shirt , with a black bandanna on his head , dark glasses and a beard is playing an electric guitar outdoors with a microphone in front of him , while another man in a gray hat and purple shirt is behind him along with a drum set , and two other guitar players are partially visible on either side .
594582753.jpg| 0| A partially bald man wearing jeans , a t-shirt and sunglasses is raking up debris off the ground next to a set of stairs among three other person , from what appears to be the aftermath of a natural disaster .
6082212650.jpg| 0| A man in a hat leans on a partially constructed wooden structure .
6147066205.jpg| 0| A sitting man is holding a partially carved stone in front a partially painted wall .
6206358780.jpg| 0| Four young people , including a very young child are smiling as they are squeezed inside a partially open big ball .
6633366731.jpg| 0| A hockey player in a white jersey shoves a player in a red jersey on the ice rink with a partial Verizon logo and spectators in the background .
6716993355.jpg| 0| A woman wearing a dark blue outfit covered in paint stands in front of a window , on which there is a partially-painted cartoon woman saying something in French .
6939695046.jpg| 1| A man sits outside in the partial shade in a hammock reading something .
7003917150.jpg| 1| A bald man wearing a white top stands on the beach with a knife while looking down at a partially peeled coconut .
