image_name| comment_number| comment
1335617803.jpg| 0| Two boys wearing matching blue polo shirts strike a goofy pose .
1420060020.jpg| 2| A boy wears a ninja suit and strikes a pose .
1432196901.jpg| 0| Two female beach volleyball players , facing each other , prepare to strike the ball .
1463732807.jpg| 2| A boy on a playground swing strikes a medatative pose .
1625306051.jpg| 1| Two men in hiking boots strike martial arts poses .
21164875.jpg| 4| A performer strikes an odd pose while on stage .
2151230100.jpg| 0| A woman in a very light sundress strikes an open-armed , high-legged dance pose in a wide open space surrounded by mountains .
2288988751.jpg| 1| Two men strike a serious pose while listening to some live music being performed behind them .
23012542.jpg| 3| A female tennis player about to strike the ball .
23012796.jpg| 0| A tennis player wearing a black and white top and black pants strikes the tennis ball .
2557801204.jpg| 2| A boy is swinging a strike during a baseball game .
2699983419.jpg| 2| A catcher tries to strike a runner out as he slides into base during a baseball game .
2724069562.jpg| 1| A tennis player in a red shirt strikes a dynamic pose .
2724074148.jpg| 3| A man in red and black about to strike a tennis ball .
2763691073.jpg| 4| A man in action strikes a tennis ball .
2856252334.jpg| 4| A boy in his boxers strikes a powerful pose .
30193039.jpg| 0| A man wearing swim trunks strikes a pose while running on the sand as a man wearing a white shirt in the background watches .
3094737154.jpg| 4| A solemn group is on strike .
3148098037.jpg| 0| A young woman with blond-hair in a white shirt and black shorts is about to strike a volleyball .
3193029429.jpg| 1| A dancer wearing a red ballroom dancing competition outfit strikes a pose .
3208747984.jpg| 1| A man wearing a gray shirt and a woman wearing a tight teal dress strike a pose on a black background .
3234157487.jpg| 0| A man with a sledgehammer about to strike at wood , another man seems to be trying to get away on the side .
3268443910.jpg| 0| A tennis player in an orange shirt is lining up his racquet to strike the ball .
3400245808.jpg| 0| Nine young people wearing jeans strike poses on the front steps and porch of a 3-level clapboard house , as a child observes from the second-floor balcony .
3474137759.jpg| 3| A volleyball player is swinging to strike the ball .
3484832904.jpg| 4| A girl playing softball takes a strike .
3585598356.jpg| 0| Two girls dressed in costume with purple flowers in their hair strike a pose for the camera .
367248403.jpg| 0| Two friends await their demise as a man with a giant snowball held above his head waits for the perfect time to strike
390899859.jpg| 2| A man and woman strike a funny pose in front of a sound system .
3925231794.jpg| 0| A man with a beer and hammer in his hands strikes something on a round platform in front of him .
3933863527.jpg| 1| A ballerina wearing pink shoes , black tights and a gray dress strikes a pose in front of a building with large columns .
3992000353.jpg| 2| Three young women in the window strike campy poses for the amused onlookers .
3994222806.jpg| 2| A volleyball player is jumping to strike the ball .
437549483.jpg| 0| Dark-skinned female dressed in white and black martial arts uniform strikes a lunge pose .
4468542868.jpg| 2| Two Asian people strike a graceful pose .
4525101035.jpg| 1| A young black man wearing a thick brown coat and a ear plugs strikes a pose behind a blue rail .
4707314246.jpg| 4| A woman is on strike by a street .
4824563064.jpg| 1| A game similar to baseball is being played as a ball closes in on the player who is ready to strike .
4866182412.jpg| 0| Two belly dancing women in black frilly outfits strike a pose next to a brick wall .
4928912973.jpg| 0| A bicycle wielding youth strikes a pose for the camera .
4954628750.jpg| 2| A man bowling with an orange ball , hoping to get the next strike .
4979481707.jpg| 0| A soccer player in white is about to strike the ball in front of a large crowd as an opponent in red tries to make a play on him .
5080041741.jpg| 0| A barefooted woman , near a body of water , strikes a martial arts move , in the autumn .
511921542.jpg| 1| Roger Federer strikes a tennis ball with a forehand swing on a tennis court .
5278211707.jpg| 0| A female ballerina wearing a white tutu , stockings and ballerina shoes , holding christmas lights strikes a pose in a photo studio with a blue background .
533044058.jpg| 0| A shirtless white male with a hat is using a hammer to strike rocks in the wilderness .
5370581509.jpg| 4| A young lady and her dog strike a pose at their farm .
5454221964.jpg| 1| A dancer in a pink tutu strikes a pose outside of a building that is covered with graffiti .
5726018984.jpg| 2| A woman in a black leotard strikes a dramatic pose .
60347149.jpg| 0| Two men are practicing martial arts while wearing black robes with red stripes ;the man on the left is bald and is using a stick to block the strike thrown by the dark-haired man on the right .
6039213023.jpg| 3| A man strikes a pose on a dock with a cruise ship in the background .
6234467033.jpg| 1| Two boxers , one in red and one in blue , strike each other in the face with their left hands .
6318408733.jpg| 0| A tennis player in white clothes finishing a strike on a tennis ball .
6435744771.jpg| 2| Three young children strike poses wearing Santa-hats in front of a Christmas tree .
6502487823.jpg| 1| Two boxers dueling in the arena , one boxer takes the first strike by kicking .
6716053167.jpg| 1| The player carefully throws the ball wishing to do a strike in a bowling game .
6759026091.jpg| 1| A figure skater in a pale blue costume strikes a pose on the ice .
6910820943.jpg| 4| Messi prepares to strike the football amidst anxious defenders .
69397865.jpg| 2| Two men in green jackets strike up a conversation on the sidewalk outside .
7058943627.jpg| 4| A woman prepares to strike a volleyball .
7139378209.jpg| 2| A man in a cap instructs a bald man with a pool cue how to strike the ball .
7162734265.jpg| 0| Two men do karate - one strikes sideways with his arm , while the other kicks straight out in front of him .
7468663062.jpg| 4| A tennis player strikes the ball .
75553415.jpg| 3| Young woman celebrates getting a strike during a bowling game .
7760161706.jpg| 0| A male field hockey player goes airborne as he presumably just strikes the puck in front of two opposing players .
78308403.jpg| 0| A female in a pink costume strikes a martial arts pose for an audience .
7981321611.jpg| 3| A man is swinging a strike in a baseball game .
8205105666.jpg| 1| An esteemed martial artist strikes a pose in his black gi .
9950913.jpg| 0| A group of people are wearing signs that say on strike while someone is speaking at a booth with the Presidential seal .
