image_name| comment_number| comment
109982467.jpg| 0| A mother and three children collecting garbage from a blue and white garbage can on the street .
115275691.jpg| 2| a groundskeeper has collected a bucket full of sticks .
128452798.jpg| 4| A group of people collect around a man in a suit and a little boy .
1394368714.jpg| 3| A dog waits as his owner rummages through a collection of stuff .
1433262517.jpg| 3| A man in black sits in front of a collection of bottles .
1465666502.jpg| 0| The black dog emerges from the water having collected an object in his teeth .
1877995954.jpg| 3| A woman sits next to a bucket of collected clams .
2052102628.jpg| 2| A man observes collected belongings that are scattered about the beach .
2057306459.jpg| 4| People collecting a parachute after landing on the ground .
2069887.jpg| 1| A statue of an old , bearded beggar wearing a pointed hat and holding an ornate stick with a collection box in front of him .
2092291476.jpg| 0| A collection of individuals stand in the woods with four motorcycles in a parking lot .
2214383094.jpg| 2| A young girl is donating money to a Salvation Army collection woman .
224657109.jpg| 0| Three people in red overalls collect by a door with is being refinished .
23015660.jpg| 3| A tennis player collecting tennis balls in a tennis court .
2319954644.jpg| 0| A man wearing black sits in the snow playing buckets as drums in order to collect donations .
238967220.jpg| 1| A small girl with dark hair standing on a lawn collecting dandelions .
247341893.jpg| 2| A man collecting wood in two baskets on a stick hung over his shoulders .
2491572971.jpg| 0| A trash collector is walking down the sidewalk while carrying a large bag of trash and cleaning supplies .
2497934789.jpg| 2| Three men manually collect hay in a field .
2533076864.jpg| 3| An elderly woman collects recyclable trash .
2534655741.jpg| 0| A man wearing a gray tank top is collecting a red rose from a woman who is wearing a white dress
2570026554.jpg| 3| Many people collect in an alley to buy goods .
2600950267.jpg| 1| A collection of string musicians prepare to play a song as the conductor steps to the podium .
2610183526.jpg| 1| A bride and groom look out over a bay , across which can be seen a collection of buildings .
2644348489.jpg| 2| Four people making music with a collection of pokemon in the background .
2739180469.jpg| 2| A person stands with a net over the pools of water that have collected on the rocks .
2746839158.jpg| 0| Two young boys play in the water that has collected on the street .
276058751.jpg| 2| A man has stopped to collect his thoughts in the metro stairwell .
2834032170.jpg| 3| Third world country workers bring collections of bananas and other supplies .
2952839389.jpg| 2| group of people are wearing white T-Shirt are doing a collective work
2953680766.jpg| 2| people at beach wearing gloves collecting trash
2953684252.jpg| 3| Two ladies collecting garbage in the dunes .
2970367040.jpg| 3| A man wearing a colorful suit sits on a sidewalk playing a basset horn to collect money .
3025265622.jpg| 4| A few women and children are collecting items from rocks .
3037377051.jpg| 0| A group of boaters in a village fish in collection of meat to feast a large group festival which will take place in the middle of these beautiful green mountains , along side of this lake .
3060664765.jpg| 2| A shop is closed and a girl is peeking through it looking at lingerie collection .
