image_name| comment_number| comment
1095109931.jpg| 2| A girl working at a farm market selling peppers .
1100708949.jpg| 4| Two people hugging with cow in background at farm .
116382784.jpg| 0| Two Asian women and an Asian girl are sitting at a farmers market and are selling produce including yams .
12335073.jpg| 1| A gray-haired woman in a yellow jacket looks at vegetable produce at a farmer 's market stall .
13327175.jpg| 3| A farmer walks his pet pig down the dirt road .
136310496.jpg| 2| A black person tends to the farmland with animals to sow seeds .
144844274.jpg| 1| A woman swings on a rope overlooking a red farmhouse and gated pastures and tall trees .
1501811302.jpg| 0| A black and white dog runs around a farm animal inside a fenced yard .
165173293.jpg| 2| Two people seem to be planting seeds on a farm .
1689283621.jpg| 3| A man in a green shirt has his hand on some tomatoes at a farmers market .
1874520584.jpg| 0| A farmer on his tractor harvesting crops behind a low concrete fence .
19719902.jpg| 3| A gang fight on a farm in a movie scene .
209080235.jpg| 1| This farmer cuts into his harvested fruit with a machete to sell in the market .
210765316.jpg| 0| People shop in a farmers market that 's decorated for Christmas .
2109479807.jpg| 1| Four girls ride sit on a riding tractor on a farm .
211402278.jpg| 0| Sheep farmers are crouching and preparing to feed their animals as the sheepdog watches closely by .
2169986652.jpg| 4| A group of people doing farm work in an arid region .
2186139563.jpg| 3| Little dog chases ball at farm
220747961.jpg| 0| Two young men similarly attired walk leisurely through a farmer 's market shortly before 2 o'clock in the afternoon , drinking a beverage , possibly tea .
2251277216.jpg| 2| People running and walking in and out of a small farm town .
2264439641.jpg| 2| A woman in pink is posing with a small girl and a farm animal overlooking a grassy scenic hilltop .
2275372714.jpg| 2| A man , adolescent and two boys are mixing a bucket with liquid on a farm .
2428094795.jpg| 0| A little girl with purple hat is riding a tricycle along paved road by some farmland .
2429212017.jpg| 1| Two children playing in a fenced in grassy area with farm animals .
252578659.jpg| 3| A dog is near three farm animals with horns outside .
2557998845.jpg| 2| A woman buys fresh food from a stand at a farmer 's market .
256063.jpg| 3| Vendors sell products at a farmers market .
2590318805.jpg| 2| A european farmer is putting hay down to keep the river from eroding .
2629027962.jpg| 2| A young girl is putting her face in a cow cut-out at a farm .
2631576413.jpg| 4| A cow farm at the base of a mountain near a lake .
2776334619.jpg| 0| A group of farmhands are picking vegetables up off the ground and putting them on a machine that organizes and helps transport these vegetables .
2794586343.jpg| 1| A small group of people are looking over vegetables at a farmer 's market .
2799589359.jpg| 0| Two black guys , with hoes , are working a field , preparing it for farming or gardening .
2848418175.jpg| 2| A farmer fertilizing his garden with manure with a horse and wagon .
2928152792.jpg| 0| A boy in a green soccer uniform hangs upside down from a farm vehicle .
2929188436.jpg| 1| Woman in ethnic dress sorting lettuce at a farmer 's market .
2981475527.jpg| 1| Women in the fields working in a farm planting rice seeds .
2989386106.jpg| 0| A farmer in a blue jacket and boots is gathering stacks of hay into bundles .
3008370541.jpg| 2| A black lab runs headlong into a lake surrounded by farmland .
3083913737.jpg| 1| Three farmers harvest rice out in a rice field .
3096163135.jpg| 4| A man in a statefarm.com hat and sunglasses .
3124677720.jpg| 2| Young boy wheeling his take from the Pumpkin farm .
3171402701.jpg| 4| People at a farmer 's market .
319379660.jpg| 1| A woman s sitting in front of a bunch of vegetable in a dress while at a farmers market .
3223459435.jpg| 2| A blond woman is sitting under a turkey farm canopy .
3265209567.jpg| 0| A dog is running past a farm animal nearby a fence diving tall and short grass .
