image_name| comment_number| comment
10404007.jpg| 0| Young white boy on a grassy area with a sad expression on his face .
1093807815.jpg| 0| A group of African American children with their arms above their heads and happy expressions on their faces .
1149097018.jpg| 3| An infant in a green outfit is expressing emotion .
116664780.jpg| 1| A small boy is brushing a baby 's hair who has a blank facial expression .
127489408.jpg| 0| A woman in a blue shirt and pink sweater , with a slightly goofy expression , is sitting at a table where a game with miniature players and dice is being played .
1429714512.jpg| 0| A young man , wearing a red baseball cap backwards with a pen hanging from it , looks ahead with a candid expression .
1521623639.jpg| 1| A man is sitting on a couch under an expressway ledge .
167285940.jpg| 2| A man with an angry expression is drinking a large glass of beer .
1682079482.jpg| 0| A young girl making a wide mouthed expression while swinging .
176527896.jpg| 3| A man in a purple jacket has an expression on his face .
1805628702.jpg| 2| Man getting his haircut while looking with a strange expression at a blow drier .
1857479783.jpg| 0| A man dressed in all black with blond-hair sitting next to a woman in a dark green jacket , both have unpleasant expressions upon their faces .
1921102799.jpg| 3| A child expresses emotion on the soccer field .
210839948.jpg| 0| A young girl with a determined expression climbing a cliff edge .
2173362914.jpg| 0| Three people take a lift up the mountain in the ski resort of Adirondack express .
2175631995.jpg| 2| Two young girls with exaggerated expressions on their faces
2238237729.jpg| 3| A local artist expresses herself on a wall at the side of a street .
2242347403.jpg| 2| A young man with a happy expression is tossing bits of colored paper into the air .
2414325960.jpg| 1| A man raising both arms while standing next to a tour bus , as two other men stand with less expression .
2416964653.jpg| 1| Two little girls with no facial expressions stand close to each other in a city .
2446928343.jpg| 0| A woman in a black and white shirt is sitting in a chair with an animated expression on her face .
2526412711.jpg| 0| An attractive young woman dressed in blue jean shorts and a gray patterned shirt sits on a railing along side a sidewalk with a pensive expression on her face .
2546149002.jpg| 0| A white female , wearing a microphone from her ear to her mouth and using a facial expression for a performance , she is dressed is a red costume with a red turban .
2618538137.jpg| 0| A bare chested man with a fierce expression on his face squats on a skateboard beside a furry dog .
2622971954.jpg| 4| A man in a crowd is expressing his opinion .
2699075714.jpg| 0| A man makes a facial expression while holding a baby against his chest .
294839797.jpg| 2| A man with a funny facial expression is kicking a large red ball .
3004287781.jpg| 2| a group of people making excited expressions with their hands
3021953768.jpg| 1| A man with short dreads , and solemn expression , playing guitar .
3025740991.jpg| 0| A man wearing a U.S. Navy uniform and a woman in a uniform are watching an even with worried expressions on their faces .
3027206488.jpg| 0| An Asian woman in a pink dress standing in the middle of a calm street with a somewhat melancholic expression on her face .
3090923153.jpg| 1| A man plays the drums with a serious expression .
3139803996.jpg| 2| A woman with a vacant expression throws a football as a man in a gray shirt looks at his phone .
319847643.jpg| 0| One boy who has a funny expression on his face has his hands up by his head and is looking through a hole .
3252050544.jpg| 0| A weird-looking blue mascot with a big smile , sunglasses , and a Hawaiian flower shirt is among people at a sporting event who all have weird expressions on their faces .
3296124052.jpg| 1| A pan on the stove in flames , a cook with an intense expression on his face .
3311659972.jpg| 0| Male wearing brown shirt holding a microphone with an expression of singing .
3358558292.jpg| 0| Three boy teenagers and two female teenagers are making excited facial expressions .
3372251830.jpg| 4| A woman standing expressionless .
3399616238.jpg| 2| A man with a bowtie looks at the camera with no expression .
3433526767.jpg| 0| Asian men sit with neutral expressions as though waiting for something , one man is talking on his cellphone .
3501868312.jpg| 0| a kid that is wearing a mickey mouse shirt is jumping with his arms extended to the sides and a happy expression on his face
3532205154.jpg| 0| A man with a shocked expression on his face is holding a beaded necklace that is around a woman 's neck .
3585598356.jpg| 1| two woman are showing different facial expressions and wearing gold and purple costumes .
3604384157.jpg| 0| Two men are wearing caps are looking at the ground with surprised expressions on their faces .
3613585080.jpg| 0| A woman with scarves in her head sits with 3 others staring at the camera with no expression .
3701226275.jpg| 0| A young man holds a hammer shaped object in the air with one hand and a similar shaped object in the other while making a funny expression .
3792020604.jpg| 0| The older man in a tan and white striped shirt is expressing his opinions to the two men wearing dark shirts as others look on .
3855557050.jpg| 0| A girl in a blue skirt and black top has a unique expression on her face down a nature trail .
3901773161.jpg| 0| A woman dressed in blue hits a tennis ball with an intense expression on her face .
3914720167.jpg| 1| A young girl in a black dress is holding a red flag and covering a happy expression .
3970114165.jpg| 0| Two people with their hands expressively out towards a sporting event 's field .
398662202.jpg| 0| Two children have expressions of happiness as they reach for something out of sight .
4093896865.jpg| 1| A couple in black coats is looking at the camera with pleasant expressions on their faces .
4241997277.jpg| 0| There is a man dressed in black and a woman wearing a colorful floral dress holding hands and expressing happiness at a party .
4300735716.jpg| 0| A female soccer player is lying on the field with a painful expression on her face .
4430003521.jpg| 0| A man in a green hat with a red and yellow star looks to the left with a serious expression .
"4452186556.jpg| 0| A strange "" cafe express "" sign on a brick wall with a man walking in the background ."
4514304589.jpg| 0| Two women are standing outside looking at something with funny expressions on their faces while the other people around them do n't seem to notice .
4525821347.jpg| 1| An African American man surrounded by empty overturned white buckets and dark colored crates expresses himself through a message handwritten on cardboard .
4559652229.jpg| 0| Young man in crouch like position riding a noticeable wave on his surfboard with both arms stretched out wide and has a facial expression of satisfaction .
4603099757.jpg| 2| A woman in a yellow shirt is making a disgusted facial expression .
4621700753.jpg| 1| A man stands on a stage with a guitar and a glass in his hand and a sour expression on his face .
4650040688.jpg| 1| A religious protester expresses his displeasure over political violence in Taiwan .
4712369861.jpg| 3| A woman with a very serious expression swiftly walks down a sidewalk .
476112515.jpg| 0| Seven people of Asian descent are expressing happiness standing in front of a stone dragon statue in a park in winter time .
4781165032.jpg| 0| A crazy guys dressed like a devil posing a weird expression which scares lot of people .
4782298436.jpg| 0| A crowd of people walks down the street and one of them has red paint on his face and a scary expression .
4801764348.jpg| 1| Four people sit in an airport terminal with bored expressions on their faces .
4838312099.jpg| 1| A woman and a man sit on a bench against a wall with somber expressions .
4838314321.jpg| 2| A woman sings expressively while a man plays guitar in the background .
4915367481.jpg| 2| Soccer players express concern for an injured player lying on the field .
4956409145.jpg| 0| A blond woman in sunglasses and a surprised expression talks on a cellphone while another woman walks past in the foreground .
4970780316.jpg| 1| Woman in tan dress gazes into the distance with curious expression .
5267607278.jpg| 0| A man is holding a bottle of Mountain Dew to his mouth in a comical expression as a toy spider sits on his keyboard .
5436553157.jpg| 0| A person is sledding down a hill of snow , with an expression of excitement on their face .
5447755663.jpg| 0| A bearded man standing across two ladders in an attic access door has a horrified expression on his face .
5468293105.jpg| 2| One boxer attempts to punch his defensive opponent with a fierce expression on his face .
5870433117.jpg| 1| A woman with a pink shirt and dark brown hair is holding up and pointing at a rod of pink cotton candy as she wears an excited expression upon her face .
5922747284.jpg| 0| A female fan dancer wearing a top , a skirt with beats , and carrying a fan in each hand , with a bemused expression on her face as she looks to her left , performs in front of a guitarist and a drummer .
623408115.jpg| 0| A man in a black shirt is standing outside the Museum Campus with an excited expression on his face .
6335241.jpg| 2| A man with a gawking expression is putting his paints on .
653210730.jpg| 3| Three girls jump into the air with expressions of excitement .
6532234215.jpg| 2| Woman expressively playing an electric guitar in front of a microphone .
6756678811.jpg| 1| Man in a red shirt looks down with a labored expression as he is climbing up a rock wall .
6788339456.jpg| 0| A group of young men on stage sing together with looks of passionate expression on their faces .
6959556104.jpg| 1| Two men having a conversation about the topic of crime expressing their views to each other .
6973013506.jpg| 4| A young girl expresses her support for Ron Paul with a hand made sign .
7024967087.jpg| 0| A man is running through mud with a determined expression , with other runners behind him .
7027910155.jpg| 1| A girl is working on some sort of lab experiment while another girl watches with a bored expression .
7156247619.jpg| 1| While standing in a group of men , two men are sharing joint attention on a small electronic device and expressing happy emotions .
7186551316.jpg| 0| A young dark-haired woman wearing a polka-dot top , glasses with brown frames , and wearing a happy expression on her face .
7847188944.jpg| 0| Usain Bolt slows just crossed the finish line in first place with a relaxed expression , while two other racers get to the line after him .
8221794333.jpg| 0| A young boy in a Cookie Monster t-shirt sits on the ground on a fall day , holding a fallen leaf in his hand as an expression of joy lights up on his face .
