image_name| comment_number| comment
120778976.jpg| 1| Two people dressed in battle gear , are practicing sparring in a gymnasium .
2338197287.jpg| 4| Two teams battle it out for the win !
2579625460.jpg| 3| Two men in full battle dress , one on top and the other one inside of a jeep
26172759.jpg| 3| A kayaker battles the waves in his blue craft .
2676537026.jpg| 1| A young woman , dressed in casual , black clothing , is holding a sword , in battle stance .
2794605643.jpg| 1| Several men and women are having a water battle with water bottles and squirt guns .
2838535875.jpg| 2| A child prepares to do battle with a carnival attraction .
2895966469.jpg| 4| A kayaker battles the rapids .
2960133289.jpg| 1| Sporting a motorcycle helmet and boxing glove on a stick , a man on a bike prepares for battle .
2987121689.jpg| 3| Two soccer players battle for the ball during an intense match .
3205889772.jpg| 2| A redhead holding up a battle axe in a snowy field .
3207264553.jpg| 3| Rafters in a blue raft battle the river-rapids
3319712233.jpg| 2| Two hockey players , one in red and black , the other in white and black , battle it out on the ice .
3397633339.jpg| 0| A man battles the waves as his yellow kayak goes perpendicular in the water .
3461105176.jpg| 0| You have two guys in a breakdance battle and one of them is doing a move called the hollow back .
3483071906.jpg| 3| Children fight to win a tug-of-war battle .
3544793763.jpg| 4| Two men battle it out in a boxing match with white gloves .
3649307685.jpg| 2| Two players battle for the ball in field hockey .
3695517194.jpg| 1| A man in purple bumps the soccer ball with his head while a man in white battles with him .
4431313468.jpg| 0| People gathered around a ring where they are having robot battles .
4468388551.jpg| 0| A man dressed up in costume as a soldier getting prepared for battle .
4511704373.jpg| 1| Two young lacrosse players battle for possession of the ball .
4606346038.jpg| 1| One girl and one boy playing field hockey at night battle for control of the ball .
482088914.jpg| 0| A person in a blue kayak battles the waves .
4853383129.jpg| 0| Two young blond women wearing summer dresses talk to a young blond man wearing a dress navy uniform , in front of a battleship .
495033548.jpg| 0| Two men fall as they battle for a soccer ball .
5075624295.jpg| 0| Two children soccer players battle over a ball , one wears white with red stripes and is black , the other , number 11 is an unknown race and wears yellow and black a , numbers 11 's teammate is blurred near the goal post .
5149869859.jpg| 0| Young athletes in either blue or white and black uniforms battle on the basketball court .
540436324.jpg| 0| A group of men are re-enacting a battle and have a woman as their prisoner .
5779172980.jpg| 0| Two people acting out a Pokemon battle , the older woman on the right is the trainer , and the woman on the left is the Pokemon .
5954497151.jpg| 4| Three boys in the middle of a squirt gun battle .
6113672400.jpg| 2| Race car driver celebrates after wining race with a battle of wine .
61209225.jpg| 4| A recreation of some battle .
6156416718.jpg| 2| Two soccer players , one in red and the other in yellow , battle for a soccer ball .
6178585333.jpg| 2| A audience watches from the stands as opposing soccer players battle for airborne soccer ball .
6192034820.jpg| 3| The warrior is set for practicing battle with his opponent .
6282161290.jpg| 3| RollerSkaters battle it out on the concrete .
6338544926.jpg| 0| Two college football players battle it out outdoors on the field during game day , where one is the quarterback trying to throw the ball , and the other player is in action about to sack the quarterback .
6556867543.jpg| 2| Number 8 goes down on one knee as they battle over the hockey puck .
6910899095.jpg| 2| Four soccer players , two in blue and red and two in white and black , battle for control of airborne soccer ball .
6984208731.jpg| 1| A man has just won from a karate battle with his opponent and his nose is bleeding .
7014591581.jpg| 1| Two hockey teams are about to battle each other .
7036939605.jpg| 3| Two hockey players battle against each other for the win .
7099370205.jpg| 2| Two kids on the orange team battle over the soccer ball against the kid on the yellow team .
7194592318.jpg| 1| Two competitors , one with number thirteen on his headgear , are at battle in a large swimming pool .
7339914832.jpg| 4| Two female kickboxers , one with a purple sports bra , battle it out in an arena .
7353914844.jpg| 3| Three men in kayaks battle in the rough water .
8025717431.jpg| 2| Two young girls battle for the ball in a game of soccer .
8084763287.jpg| 0| Two older men and a bunch of kids stepping military style in a mock battle engagement .
8140263558.jpg| 2| Number 14 and 15 battle it out in a game of water polo .
98756067.jpg| 2| One man violently defeating another man in a matrix style battle .
