image_name| comment_number| comment
1000268201.jpg| 0| A child in a pink dress is climbing up a set of stairs in an entry way .
1001465944.jpg| 2| A young woman walks past two young people dressed in hip black outfits .
1001633352.jpg| 1| Four casually dressed guys jumping down a stairway outdoors with a stone wall behind them .
100716317.jpg| 1| A person dressed in a blue coat is standing in on a busy sidewalk , studying painting of a street scene .
"101001624.jpg| 0| The "" white out "" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood ."
1010031975.jpg| 0| Five men , uniformly dressed in white shirts , tie and black slacks converse at the back of an open van .
1010087623.jpg| 0| A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor .
101559400.jpg| 2| A man in a suit is running past two other gentleman , also dressed in a suit .
102851549.jpg| 2| A woman in a dark dress smiles while a woman across from her and a child sit in chairs .
1030041880.jpg| 0| Woman in a green dress with a white top and red-hair singing in a room with a blue roof while band equipment is being prepared .
103306033.jpg| 0| A woman wearing a brown dress with a matching turban is pushing a toddler through a park in his stroller .
1039637574.jpg| 0| A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants .
104285082.jpg| 2| Gray-haired man in dress shirt plays the bassoon while reading sheet music from a stand
1043819504.jpg| 1| A group of people wearing snowshoes , and dressed for winter hiking , is standing in front of a building that looks like it 's made of blocks of ice .
104816788.jpg| 0| This little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .
104824673.jpg| 0| An African individual is looking into the camera while dressed in varying beads and decorations that have a cultural relevance .
104835889.jpg| 0| A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat .
1051205546.jpg| 0| Two women in colorful dresses are sweeping water out of the street while a man watches .
1051953669.jpg| 1| A little girl wearing a dress walks across a green lawn on a summer day with a home and trees in the background .
1056338697.jpg| 1| The woman in the blue dress is holding out her arm at oncoming traffic .
108149945.jpg| 0| Two men shoveling snow off a railroad track dressed in bright orange snowsuits .
1081595465.jpg| 0| A group of construction workers dressed in orange safety vest sit on the ground assembling a railroad track .
1088767354.jpg| 1| Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress .
108970557.jpg| 0| Woman sitting in a red chair with a dressy purple dress on and a book sitting on the arm rest .
109202756.jpg| 0| A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .
1093737381.jpg| 0| A woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk .
109656696.jpg| 0| A girl in a polka dotted blue jean dress walks barefoot on a balance beam .
1097710887.jpg| 2| A small girl in a dress blows bubbles in a grassy field .
109823397.jpg| 0| A person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .
1106644976.jpg| 1| Teens dressed as Native Americans sit in the park with their school bags on the ground .
1107716222.jpg| 0| A woman scantily dressed in handsome homemade-looking clothing sits on a wooden step and reads Brazilian author Coelho .
11079715.jpg| 3| A man dressed in a funky outfit is playing guitar .
110983128.jpg| 0| Grocery store employee , dressed in a red apron & a baseball cap , sits on a ledge in front of the store .
11131022.jpg| 0| Older man in a hat , yellow shirt and dress slacks playing in the sand with a young boy .
11205420.jpg| 0| A man dressed in white walks a yellow rope on the ground that is attached to the handlebars of a bicycle .
1122944218.jpg| 0| A little toddler dressed in white is smiling while a lady helps him wave a flag .
11245644.jpg| 1| Many people , including a couple in a wedding dress and suit , are walking or standing around a building with lots of stairs .
1126403094.jpg| 4| A woman and two girls dressed in pink .
113032513.jpg| 4| Young boy is dressed for cold weather .
1139029795.jpg| 1| A group of cheerleaders cheering on the street , dressed in red and white .
114051287.jpg| 2| A boy dressed in soccer attire and holding his shoes getting out of a car .
1141644104.jpg| 0| A woman in a white and tan striped dress sits in the lap of a man with a tan collared shirt .
1142283988.jpg| 2| A smiling woman holds a person dressed in a pig costume .
1142916102.jpg| 0| A little girl , with long blond-hair and wearing a dress , looking at her refection in a puddle .
1149097018.jpg| 0| A little baby dressed in green and yellow wearing a bib cries .
11533606.jpg| 2| A male mannequin dressed as a train conductor , standing on a black train car .
1155138244.jpg| 0| Woman dressed in a green hat and apron is holding a tray full of drink samples .
115903799.jpg| 1| A little girl dressed in a princess costume , asleep on a wood floor .
1163282319.jpg| 1| A girl dressed in a red top , a red cap , and light colored shorts , sits on a rock outside .
1170586898.jpg| 2| Several men dressed in white and red and building sand castles at the beach .
1179086155.jpg| 0| A man , a woman and a little girl stand on the beach by the water 's edge dressed in formal attire suitable for a wedding .
118187095.jpg| 0| Twin toddlers dressed alike being pushed in plastic car strollers in a parade
1184910489.jpg| 3| A woman in a dress with two children .
1186603607.jpg| 2| A group of people dressed casually are walking in the woods .
118708295.jpg| 2| Three construction workers dressed in bright orange are working on a road .
1196602179.jpg| 3| A woman in a green dress holding a toy dinosaur .
1196886054.jpg| 4| A wedding day with the bride in a bright white beautiful dress
1199847613.jpg| 0| Three people dressed in white clothing in caps giving three other people dressed in white clothing and caps a piggyback ride .
120778976.jpg| 1| Two people dressed in battle gear , are practicing sparring in a gymnasium .
1211015912.jpg| 0| a girl in yellow dress is standing with her eyes closed in a busy park .
1218456659.jpg| 0| Small children with dark hair , dressed in brown smocks with sandals make faces as they dance .
1222063706.jpg| 3| A woman in a brown dress is sitting on a bench .
1224851143.jpg| 2| A small child dressed in green is eating with a spoon .
1229536824.jpg| 0| Native Americans are dressed up in native clothing and are participating in an activity together .
123346365.jpg| 0| A group of African American people dressed up have their hands together as if in prayer .
1234206849.jpg| 2| Two well-dressed , elderly ladies wearing extravagant hats .
1237985362.jpg| 0| A young woman in a blue shirt stands , holding a young girl in a denim dress .
12393804.jpg| 1| Men dressed in either theatrical or historical attire riding horses .
1239873050.jpg| 0| Three people in a group of cars in what appears to be a city scene ; two of them carrying a large bottle and one is a female dressed in high heels .
124145159.jpg| 0| Two men , one looking at a screen with a drum next to him , while the other is a man dressed in a white shirt is talking into a microphone .
1243756.jpg| 2| A very unusually dressed man sitting beside an ice cream cooler .
1246237064.jpg| 1| A man dressed as a cook enjoys a meal and bottle of wine in an empty restaurant .
1247484195.jpg| 0| A little girl wearing a yellow dress moves frantically in front of a crowded baseball stadium .
1248953128.jpg| 0| A little girl in a colorful dress is playing with a blue and red soccer ball .
125382282.jpg| 1| A man dressed in black is attaching a tow-bar to a dark blue , wrecked SUV .
1259627071.jpg| 1| A man in a blue coat addresses a group of at least sixteen men and women in a field .
126238618.jpg| 0| Man dressed in coat , scarf , and hat painting a picture of a building on an easel in the streets .
126824259.jpg| 2| A woman dressed in blue clasps her hands together .
1271579512.jpg| 0| A casually dressed man has several flutes into which he is pouring champagne .
1274416519.jpg| 0| A young child dressed in a yellow plaid shirt and a blue hat , sits and stares out at the water .
127644661.jpg| 3| A woman in a red dress covers another woman 's eyes .
1277743944.jpg| 0| A boy dressed in khaki shorts and a red shirt runs on a beach with green , white and blue structures and a half moon behind him .
1278589645.jpg| 0| A man in traditional orthodox Jewish dress is seen alone from behind .
128396150.jpg| 0| A bike riding couple dressed in bike gear and helmets take a minute to site on a bench to talk and park their bikes .
128404184.jpg| 3| Two young boys dressed in shorts are looking for something .
128452798.jpg| 1| A large crowd of people encircles a child wearing a hat and a man in a dress suit .
1285874746.jpg| 1| A dark-skinned woman in a blue dress is standing near a crowd .
128706819.jpg| 0| A woman is serving a dish to another woman in a red and white dress .
128755800.jpg| 0| A skinny person wearing and Mondesi jacket and jeans dress shoes is walking down the cemented bridge
1290285741.jpg| 0| Three young women in white dresses perform a twirling dance in front of a crowd .
1294431829.jpg| 0| A man dressed in white overalls with a red cap , juggling a green ball and flaming torch , in front of a crowd of onlookers .
1295669416.jpg| 2| A girl dressed in a red and black top with black pants is sitting on a wall .
130211457.jpg| 1| A man with a backpack and cap posing with two girls dressed in tight uniforms .
1303727828.jpg| 0| A woman in a floral print dress and a shaved head at a store .
13051044.jpg| 1| A man dressed in a burgundy shirt and black pants maneuvering a puppet which is holding a musical instrument .
130792536.jpg| 0| A young man and woman dressed in play chef 's hats are eating food at a table .
1312269513.jpg| 0| A woman in a colorful dress drives a motorized chair past a corner on a city sidewalk , while a man in a long white t-shirt walks towards the road .
1312954382.jpg| 0| A little girl on the street in a yellowish green and orange dress is holding a Hello Kitty balloon with her right hand .
1313987366.jpg| 0| A woman in a dress is holding a camera next to another woman who is laughing .
1316458112.jpg| 2| A man in a dark jacket stands next to a man dressed in brown reaching down into a bag .
131840964.jpg| 1| A boy dressed in all black sits on his bike .
1321651400.jpg| 0| A blond woman in a white dress sits in a flowering tree while holding a white bird .
1323858296.jpg| 0| Someone wearing a large hat is sitting on colorful blankets working a loom with a pair of men 's dress shoes in front of him .
1328411383.jpg| 3| a man and a woman walk in the park dressed for hot weather .
1328655944.jpg| 0| The man is dancing with a doll wearing a red dress and heels .
132955537.jpg| 1| A young boy , dressed in a karate gee and wearing a yellow belt , stands ready to defend himself inside a gym .
133010954.jpg| 3| A man in dressy clothes instructed a captain near a large truck .
133243755.jpg| 0| A group of students are dressed in white and blue while marching down the street .
