image_name| comment_number| comment
1022454332.jpg| 1| A young boy waves his hand at the duck in the water surrounded by a green park .
1082250005.jpg| 0| A woman wearing a pink shirt and red apron stands in her restaurant holding food and surrounded by bagged breads , a microwave and the chalkboard menu up on the wall .
10957138.jpg| 0| A girl in a floral bathing suit jumping on the beach in front of the waves .
110964272.jpg| 0| A small child and an adult walk on the beach in front of ocean waves .
1122944218.jpg| 0| A little toddler dressed in white is smiling while a lady helps him wave a flag .
1131155939.jpg| 4| A dog is running in the waves at the beach .
1151466868.jpg| 1| A small girl spins in the waves in the bright sun .
1174525839.jpg| 0| A girl in blue is jumping on the shore as small waves approach her .
1304961697.jpg| 4| Two children on surfboards wave to each other .
1349095760.jpg| 0| A young boy wearing a bathing suit and rash guard runs into the ocean as the waves bubble up on the shore .
1363343745.jpg| 1| Three adults and a child inspect a wave rider at the water 's edge .
1408958345.jpg| 0| A little girl in a flower swimsuit running across the beach with waves in the background .
141126420.jpg| 0| Guy in black wetsuit is riding a wave with a white surfboard .
145721496.jpg| 0| A long-necked bird standing on a rock with waves crashing in the background .
145721498.jpg| 2| A man in a blue canoe battling through rough waves
146577645.jpg| 0| A kayaker goes through the waves holding his paddle .
146577646.jpg| 0| A kayaker is battling waves in a purple boat while wearing rain gear .
1477476722.jpg| 1| A surfboarder emerging from the ocean with his board , as the waves crash ashore behind him .
170717653.jpg| 2| A woman waves out the window of a train while a child peers out the window .
172092461.jpg| 1| A man wearing a red life vest waves as he waterskiis .
1782543772.jpg| 3| The man waves to his family from atop the bridge .
1789111454.jpg| 1| A man in a black helmet and white jersey is paddling along high waves .
1799165532.jpg| 3| A woman waves her hand in front of a blond baby .
182013889.jpg| 1| A man driving down the street in an old fashioned fire engine waves at onlookers during a parade .
191652362.jpg| 1| Two women , wearing white shirts , colorful scarfs , white gloves , dark sunglasses and hats , wave to others .
1998457059.jpg| 0| a body boarder is being dumped on the beach by a wave whilst other surfers are standing around in the water .
2097398349.jpg| 0| A hiker waves to the camera as he standing in front of snowcapped mountains .
2097489021.jpg| 0| The tiny girl dressed in a butterfly ballet costume , waves her wand near a nutcracker statue .
2101756743.jpg| 2| Young children wave and watch something out of sight .
2102835360.jpg| 1| A large group , wearing pink shirts , waves to onlookers .
2119044348.jpg| 0| Two people sit in beach chairs with their child in front of them as waves come crashing in on a very sandy beach .
2121234287.jpg| 1| Little kid running and playing with the waves at the beach
213836461.jpg| 1| Cowboy turns back to wave out of the corral at a rodeo .
2148013097.jpg| 2| Two kids and a woman wave enthusiastically from behind a window .
215123993.jpg| 0| A surfer wearing a wetsuit rides a wave on a bright day .
2171576939.jpg| 0| A smiling boy in winter clothes waves his mittened hands outside a building in the snow .
2189627515.jpg| 2| A man is giving a young man a piggyback ride while looking out towards the ocean waves .
2196846255.jpg| 0| A dog standing in the shallow part of the ocean while the waves splash around .
220513228.jpg| 2| A surfing teenager riding a wave on a white surfboard .
2221349444.jpg| 2| Young men wave flags in a crowd outside of a glassy building .
222369445.jpg| 4| Two surfers walk along a rock wall to reach the waves .
2238019823.jpg| 2| A surfer rides a wave under a red bridge .
2244594614.jpg| 3| A beautiful day to lay by the Ocean , waiting for the waves .
2258662398.jpg| 0| A child in a black wetsuit is in the waves on a surfboard .
2280354512.jpg| 2| A dog is being hit by a small wave in the ocean .
228822815.jpg| 1| Five adults and a child run opposite of the waves on the beach .
23016091.jpg| 4| A female athlete waves to the crowd .
2311624099.jpg| 2| A man and woman stand on a rocky shore gazing at the waves .
2323096887.jpg| 1| This man in a wetsuit rides the wave of the ocean on his surfboard .
2333288869.jpg| 0| A toppless woman holds hr naked child 's hand while they stand in the ocean waves .
236518934.jpg| 3| A dog jumps out of the waves at the beach .
2390551509.jpg| 2| A man in a white shirt waves his hand under a white and blue umbrella .
2396025708.jpg| 0| A person parasails on the crest of a wave .
2409771090.jpg| 4| A man on stage as people watch him and wave arms .
241346215.jpg| 1| A mascot at a sporting event waves to the crowd .
2417745327.jpg| 0| The brown dog is running parallel to the waves in the water .
244774022.jpg| 0| A man in black on a surfboard riding a wave .
2473689180.jpg| 2| A wakeboarder is jumping a huge wave .
2480820830.jpg| 0| Two black dogs run into the white waves on a beach .
251308607.jpg| 0| People at a concert wave their hands in the air as they watch the singer and guitarist perform .
2520799246.jpg| 2| A boy dressed all in blue waves a flag and skips away .
2541485875.jpg| 2| Workers in blue jumpsuits wave to the camera outside their place of work .
2555622234.jpg| 0| A wet German Shepherd runs along the waves on a beach .
2573667207.jpg| 1| A man is standing on some rocks while waves lap around him .
2596100297.jpg| 0| Two kids play in shallow waves against a brilliant blue sky .
2597071945.jpg| 0| A male surfer , wearing a blue and black wetsuit , it laying down on his surfboard while riding a large wave in the middle of the ocean .
2599957174.jpg| 0| A blond woman in a bikini is standing in shallow water as a wave passes .
2600386812.jpg| 0| A brown dog steadies himself on the rocky shore of the ocean , with several waves coming in .
2604357479.jpg| 0| A man in a t-shirt is stirring something in a pot which is on a counter near a microwave oven .
26172759.jpg| 3| A kayaker battles the waves in his blue craft .
2639718164.jpg| 1| Two older women hold hands as they cross the street while one waves at someone
2667126590.jpg| 2| A girl in a bikini on a beach holding a flag with small waves in the background .
2693425189.jpg| 1| A boy holding a large foam wand waves it near a swimming pool .
269444846.jpg| 1| A group of people sit on the beach , beyond a sign warning of rogue waves .
2708686056.jpg| 3| A woman walking into the waves .
2726262796.jpg| 0| A young girl wearing a blue bathing suit plays in the waves at the beach .
2747436384.jpg| 0| Four young men are sitting on the beach under a crashing wave .
2747640247.jpg| 1| A girl swinging from a tree on a rope over crashing waves .
2766765386.jpg| 0| A surfer in a black wetsuit surfs on a medium wave .
2788652511.jpg| 0| The child is on a boogie board , with waves splashing around .
2799938764.jpg| 1| Cultural festival with flag being waved in front of singing crowd .
2800004913.jpg| 0| A little girl is jumping into a breaking wave on the beach .
2803058589.jpg| 4| Boy in red shorts playing in waves at beach .
2803895304.jpg| 1| Three children in bathing suits stand next a sand castle with water and waves in the background .
280896856.jpg| 0| A middle-aged woman waves to someone from a window in a building .
2825540754.jpg| 1| A boy in a yellow tank top runs away from a crashing wave .
2827108217.jpg| 2| Two construction workers sitting on some pipes while one waves , obscuring his face .
2837777441.jpg| 0| A man with a tribal wave tattoo smiles at the camera while holding a baby wearing blue and white on his shoulders .
2837808847.jpg| 0| A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background .
2842439618.jpg| 0| A surfer in a black wetsuit catching a wave while another one tries to catch up with him .
2845080955.jpg| 0| A man in a yellow raincoat waves the chinese flag during a rainy event .
2847541837.jpg| 0| Five children playing on the beach as waves are rolling in , getting their feet wet .
2892989340.jpg| 1| A young man jumps with a surfboard over the waves .
2894576909.jpg| 2| A kayaker crashes against the force of the wave .
2901880865.jpg| 0| a lone surfboarder on a white surfboard flying through the air over a wave
2914737181.jpg| 0| A man parasails on the choppy sea , with a board on his feet to catch the waves .
2922504002.jpg| 0| Two men and three children on the beach getting splashed with waves of water .
2929669711.jpg| 0| a surfer is doing an airborne stunt whilst riding waves .
2930514856.jpg| 0| A man surfing a small wave and another man on a surfboard paddling toward it .
2937697444.jpg| 1| a waterskier flying slighty in the air over a wave
2946464027.jpg| 0| A young family enjoys feeling ocean waves lap at their feet .
2949337912.jpg| 0| A surfer rides out the green and white waves .
2967630001.jpg| 2| A dog walks along a beach with breaking waves .
2969134945.jpg| 0| A woman wearing a black apron , waves toward the street with one hand while a yellow car drives by .
2976946039.jpg| 0| People surfing and attempting to surf in the ocean on a big wave .
297725738.jpg| 0| A person in a large pink triangle-shaped costume waves as a man and a woman dressed in matching brightly-colored striped and polka-dotted outfits smile back .
2978409165.jpg| 0| A man in a blue wetsuit rides a wave on a white surfboard .
2978810122.jpg| 0| The surfer rides a blue board on a bright blue wave .
2984174290.jpg| 0| A surfer on a blue surfboard is falling off of it as he hits a wave .
3000428313.jpg| 0| A boy rides a surfboard over a small wave in bright blue water .
300314926.jpg| 1| The man on the board uses the wave to jump high into the air .
300501052.jpg| 3| One girl holding a violin with another dancing on a beach with waves rolling in .
3018304737.jpg| 0| a lone surfboarder surfing a wave riding a white surfboard .
3022505829.jpg| 1| Two people standing by a small cart and a bucket on the beach , while waves roll in , and seagulls look on .
3024022266.jpg| 1| a young surfer surfs the large blue wave .
3025513877.jpg| 2| A person in a red hat stand watches the onrushing waves .
3027581993.jpg| 4| The man on the side of the road in his black jacket waves as we pass .
3027850131.jpg| 0| Distant surfer rides wave toward shore , two other surfers in background .
3029463004.jpg| 0| Person riding wave on stomach on a blue surfboard .
3040575300.jpg| 0| One man riding a surfboard and one man laying on a surfboard on light waves .
3044536048.jpg| 1| A person on a surfboard in the waves , holding onto a tether .
3046190891.jpg| 1| A person riding a surfboard comes up over a large wave .
3047749814.jpg| 0| A woman on a harness hanging from a rope waves at the camera .
3050114829.jpg| 0| a lone surfer surfing a large collapsing wave in the ocean .
3051125715.jpg| 0| Birds are fleeing a rock that has recently been splashed by heavy waves .
3053791069.jpg| 3| A man watches the waves from the ship deck as he ties a rope .
3058627443.jpg| 3| A man falling off his surfboard on the top of a wave .
3064383768.jpg| 0| The man turns with the wave on his surfboard .
3071676551.jpg| 1| A person rides the waves on a surfboard .
3072611047.jpg| 0| Two young boys diving headfirst into water with small waves on it .
3073535022.jpg| 1| A surfer in a yellow shirt riding a wave on a white surfboard
3084380974.jpg| 2| A man on surfboard dives over a large wave .
3085667767.jpg| 1| The surfer does a flip off of a wave .
3085667865.jpg| 0| a lone surfboarder jumping a wave on a white surfboard .
3093971101.jpg| 0| It looks like the surfer is riding a big wave .
3094317837.jpg| 0| A person wearing a black wetsuit jumps high above a wave with a surfboard .
