image_name| comment_number| comment
1629549272.jpg| 0| A young woman leads a group of French youth in a protest chant against Sarkozy
2195316844.jpg| 1| A man in a white and gray striped t-shirt leans over a bike in order to view a street merchant 's wares .
2405740253.jpg| 3| A man chanting with a raised fist wearing a hat and jeans .
2549228224.jpg| 1| A group of Native Americans sit in a circle chanting and beating a drum .
2834103050.jpg| 1| A woman with a green sunshade is passing a sales merchant on the beach .
3123651135.jpg| 4| Asian merchant wearing a straw hat .
3171402701.jpg| 0| A woman with gray hair picks up a tomato and tests for ripeness in an outdoor market as the merchant looks on .
3463067753.jpg| 2| A merchant in a brown jacket selling poultry .
3545361993.jpg| 3| A man peeking out a window of a merchant building .
360275648.jpg| 1| A street with several people and several merchant booths along both sides .
3820465361.jpg| 4| A woman chanting at a rally .
3831874776.jpg| 3| A merchant is rearranging her items for sale .
396154083.jpg| 2| A group of merchants hawk there produce to the public .
4031513473.jpg| 4| Merchants and customers at a market .
464998457.jpg| 3| A merchant sells various food items from his shop .
4694375611.jpg| 3| A merchant in a red shirt sells produce at a farmers market in a park .
4766767528.jpg| 2| A street merchant selling goods from underneath an umbrella .
4776108587.jpg| 1| Two women in long dresses and head coverings are buying from a merchant .
4810076865.jpg| 4| A merchant sells his goods on the street .
4939482606.jpg| 2| A woman in a blue robed garment talking to a merchant sitting under an umbrella near a fruit stand .
4941755026.jpg| 0| A man wearing glasses and a black shirt with the number four on it is walking by a merchants table while people behind him are looking at the items on the table .
4941930778.jpg| 0| A man in jean shorts and a dark shirt is sitting with a red backpack beside him in a wooded area possibly chanting .
5218695756.jpg| 1| The merchant prepares his booth with tasty ethnic foods to be sold at the open air market that day .
5561301943.jpg| 4| A merchant is posing in a butcher 's shop .
57264404.jpg| 1| A couple of merchants in a park outside a cinema sell blankets .
83457315.jpg| 3| A Middle Eastern street merchant displays his food for sale .
86343902.jpg| 2| A group of African merchants sell a variety of vegetables in a market .
