image_name| comment_number| comment
109260218.jpg| 0| Spelunkers pose inside a rock cavern while bathed in sunlight from the surface .
190965502.jpg| 2| White lounge chairs are lined up at a resort for sunbathers .
197924859.jpg| 1| a person bathes in a homemade shower with a green watering can
2414035800.jpg| 1| A newly bathed dog is wrapped in a blanket by a caring woman .
254484670.jpg| 4| Surfers and bathers on the beach .
2578577049.jpg| 4| A woman sub bathes by the bay .
2663794355.jpg| 1| Two women sunbathe on a concrete terrace .
2716680617.jpg| 1| Indian man wearing white cloth around waist bathes out of an orange bucket .
276589119.jpg| 3| A band plays bathed in stage lights .
2793597468.jpg| 3| A man bathes in a waterfall as another man looks on .
299309703.jpg| 1| A woman giving a baby a bath in a specialized baby bather .
317943067.jpg| 0| A young infant is bathed in a small tub filled with sudsy water while the hands of its parents gently wash it .
3204081508.jpg| 0| A group of sunbathers gather near some kayaks at the beach .
3376809186.jpg| 4| Several people bathe in a lake .
3410899419.jpg| 1| Naked children bathe outside under a stream of water .
3435911654.jpg| 0| A large cruise ship passes by a beach where sunbathers recline under yellow umbrellas .
3475969992.jpg| 1| A woman is bathed in red light on stage .
3538363430.jpg| 2| An elderly man sunbathes on a beach with many people around .
36995794.jpg| 1| A man with a guitar grabs a microphone while bathed in dark orange light .
3711352975.jpg| 4| A baby being bathed in a plastic tub .
383051932.jpg| 0| A woman plays a violin , bathed in a reddish light projected through a mesh .
4506480563.jpg| 3| sunbathers on benches on boardwalk at the beach .
4542018647.jpg| 1| Two sunbathers in skimpy blue bathing suits lie on the graffiti covered pavement .
4625272395.jpg| 1| Three women are dancing on a stage bathed in red light .
4658316753.jpg| 3| A young woman smiles at the camera as she sunbathes in the ocean .
4690454050.jpg| 3| Women in their swimsuits sunbathe on the sand .
4739481821.jpg| 4| A woman in a bikini sunbathes on a dock .
4763795859.jpg| 2| A dark-haired woman in a striped bikini sunbathes on a blanket .
4808328732.jpg| 2| Young people sit or sunbathe on a park meadow .
4814933116.jpg| 2| A woman in a purple bikini sunbathes on a towel beside water .
4857560023.jpg| 0| A small baby , possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves .
4857561027.jpg| 0| A woman with white rubber gloves on bathes a crying infant in a gray plastic tub .
4905392047.jpg| 4| A woman sunbathes on a rooftop while reading a book .
4919196839.jpg| 1| A man and a woman gets ready to sunbathe at the beach .
4936359688.jpg| 1| Yellow light bathes several diners sitting outside of a small French restaurant .
5632141892.jpg| 4| A group of women in saris sit , talk and bathe together .
6155718367.jpg| 1| At the beach , a man is laying on his stomach and reading a book while a woman in a polka-dot bikini sunbathes .
620595746.jpg| 1| A black lady in traditional dress with a basket balanced on her head walking down a beach crowded with sunbathers .
985982384.jpg| 2| A group of sunbathers lies on the rocks on towels and blankets .
