image_name| comment_number| comment
1001896054.jpg| 0| A man with reflective safety clothes and ear protection drives a John Deere tractor on a road .
100652400.jpg| 0| A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .
102520526.jpg| 0| A man in black attire shovels snow into the street , disregarding all public safety .
106300392.jpg| 3| Men wearing hard hats and safety vests are working .
1071201387.jpg| 1| Man in bright yellow vest displays bicycle safety information on street .
1081595465.jpg| 0| A group of construction workers dressed in orange safety vest sit on the ground assembling a railroad track .
1082478946.jpg| 4| Men in safety vests are working on a track .
1084104085.jpg| 0| a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .
109260216.jpg| 0| A person climbs a tall , flat mountain while holding onto a safety rope .
1101207553.jpg| 2| Two men in orange and blue safety gear stand on the dock guiding a boat inward .
110820212.jpg| 3| A technician is figuring out the best way to open a huge safe .
11214205.jpg| 0| Men with reflective safety jackets on are working on a street intersection with many orange reflective cones .
11214370.jpg| 0| A man in jeans and a yellow safety jacket is working on bricks in the ground .
116450583.jpg| 0| A man in an orange safety vest kneels on a train track while repairing a passenger train .
116457850.jpg| 2| Workers in yellow safety vests plant a tree in a city walkway .
122190424.jpg| 0| Three men with reflective safety jackets are watching two men in reflective jackets put rocks into a hole in the road .
126514207.jpg| 0| A child is rock climbing while wearing a white safety helmet , white shirt , blue jacket , blue jeans and white sneakers .
126772535.jpg| 1| A man is a white lab coat with safety glass pouring liquid from one glass to another while a woman looks on .
128396110.jpg| 0| A couple enjoy a beautiful day bicycling on a bike trail wearing bicycling safety helmets and gloves .
1283974580.jpg| 0| A child with a blue safety helmet is standing near a blue bicycle .
1335519498.jpg| 0| A child in a yellow plastic safety swing is laughing as a dark-haired woman in pink and coral pants stands behind her .
1355450069.jpg| 1| a shirtless man climbing up the rock wall with rope safety lines
140774394.jpg| 0| A man wearing a green shirt and an orange safety hat works on mechanical equipment inside a fenced area , while a group of people walk on a lawn behind him .
143149186.jpg| 2| A man wearing a yellow safety vest and hard hat is driving a tractor .
145097595.jpg| 0| Two workers are on a cherry-picker , one leaning out with a safety harness and the other smiling at the camera .
1466307485.jpg| 4| A person in a safety vest pushing a truck .
1466307489.jpg| 4| Men in orange safety vests pulling vehicle out of a ditch .
1468429623.jpg| 1| The man is wearing safety gear while he is training the black dog .
1478268555.jpg| 0| A bare backed climber is attached to the rock face on a pink safety rope .
1488937076.jpg| 0| The Irish setter with the safety vest is running ahead of the Rottwieler and the Dalmation .
15085612.jpg| 3| A man being airlifted to safety after being in danger .
1538278785.jpg| 4| Two men work on the side of a building and wear safety gear .
153963868.jpg| 1| A man wearing an orange safety vest and a hard hat is operating construction equipment .
155221027.jpg| 0| A skydiver safely lands while another watches from the ground .
162060045.jpg| 0| A man in a safety vest and black hat wearing rubber gloves is crouched down on a corner of an intersection , doing something with a stick .
164428441.jpg| 2| A man in an orange safety vest helps a child and a woman onto the front of a train .
1674159861.jpg| 1| Four men in safety gear , one holding a camera , are standing on a platform .
171397599.jpg| 3| People hang onto safety rails on a very crowded bus .
1749235955.jpg| 0| A man in yellow construction safety gear is working on a large piece of metal .
18498385.jpg| 1| Visitors travel along a mountain path as they walk along a safety fence .
1873655403.jpg| 0| 3 safety jacket clad Construction workers appear to be poking something interesting with their shovels .
1873666741.jpg| 0| A man who is smoking , wearing a yellow safety vest , is doing landscape work .
1873704867.jpg| 1| Three men in safety vests work along a roadside .
1874497944.jpg| 4| Two men in safety vests walk down the road .
1874530310.jpg| 1| Three men wearing safety vests and doing yard work in a field .
189038731.jpg| 1| Two workers in their hard hats and safety vests stand near a yellow block of concrete .
189740668.jpg| 0| A man climbs up a cliff face with no safety equipment .
196521598.jpg| 1| A man in an orange safety vest is using a piece of machinery .
2039175551.jpg| 2| Man in red safety jacket working on storage containers on a ladder .
2056377805.jpg| 0| this group of people are practicing water safety by wearing preservers while in a raft on the river
2101741007.jpg| 0| Four men working outdoors squat over a long , thin , white line on the ground , on a surface resembling a tennis court , with one of the men to the left wearing an orange safety vest .
2112072519.jpg| 0| Facing downhill in a city street scene , a worker in kneeling on the ground adjusting something in front of several orange safety cones and a white drop-cloth .
2112624980.jpg| 0| A man in a white safety hat and a yellow jacket is standing on the edge of a concrete structure and pulling in an orange safety vest from the water bellow him .
213583123.jpg| 0| A young man in a yellow safety vest asleep with his head back over a chair .
2137836768.jpg| 0| A smiling bearded man wearing safety goggles and a brown checked shirt is holding a brown toy lemur which has a white face .
2183123018.jpg| 0| Three men are wearing safety yellow jackets and hard hats on the sight of a construction project ; one is in a hole and the other two are looking at the man standing in the hole .
219843859.jpg| 0| A man climbs a steep rock wall using safety ropes .
2201050079.jpg| 2| A person in safety orange clothing is lying atop an open manhole .
2224790243.jpg| 0| Three construction workers work along side the street , with one man in a blue jacket and orange safety vest shoveling , and two others holding a pole .
2224995194.jpg| 2| Two people hang from safety ropes over a giant cliff .
2227599410.jpg| 0| A group of parents and children strapped in safety helmets ride their bikes down a path .
2245551446.jpg| 0| Two men in safety hats and masks sorting through soiled rags at a factory .
2275214054.jpg| 1| A man in a green hard hat and yellow safety vest frowns .
2292621342.jpg| 0| Workers in safety vest patrol the streets on large horses .
2311412902.jpg| 0| A person in a safety vest inspecting rook shingles .
2331539071.jpg| 0| A young man in a hard hat and safety vest sitting in a pickup while another man holds on in the passenger seat .
2331539171.jpg| 0| Two men wearing are standing over a sewer access point while wearing safety hat , ear protection and vests .
2343886894.jpg| 1| A man without safety equipment rides a snowboard across an elevated , curved surface
2355819665.jpg| 1| Boy wearing safety gear rides green bike through suburban streets .
2362918118.jpg| 4| An older man holding a green bag waits until safe to cross the street .
2394857899.jpg| 4| A man in an orange safety suit spraying water .
2402762193.jpg| 0| Dancers practice dance positions with each other , with some using a safety rail for assistance .
24187380.jpg| 1| Construction workers in safety vests work on the light rail tracks .
2442648194.jpg| 4| A man with safety ear covers working on wood .
2487069642.jpg| 0| A flight attendant showing passengers how to use the airplane safety vest .
2496713113.jpg| 1| A man in a safety vest sweeping up garbage at an outside venue .
2521062020.jpg| 1| A man prepares a safety harness for a boy standing before a rock climbing wall .
2525716531.jpg| 2| A man in a safety suit training a police German Shepherd .
2536787269.jpg| 0| Two men wearing orange safety jackets working on repairing electrical lines in the tunnel underground .
