image_name| comment_number| comment
11214370.jpg| 4| A man grinding stones with a tool .
161542404.jpg| 1| A man in a striped shirt is sharpening a tool on a grinding mill .
1749235955.jpg| 1| A construction worker does some grinding on a piece of iron .
2183967273.jpg| 4| A small dog grinding against a stuffed animal .
2237436639.jpg| 1| Group of men grinding stone in poor conditions .
2343886894.jpg| 4| An extreme sports skier grinding on top of a curved structure
2654943319.jpg| 4| A person grinding a ledge on a skateboard .
2678343915.jpg| 0| A metal worker , wearing a leather apron , red gloves , and a face mask , is grinding a weld flat .
2696636252.jpg| 2| A rollerblader grinding a rail and grabbing one foot .
2759652248.jpg| 4| A snowboarder uses a ramp to grind a rail .
2795866891.jpg| 2| A skateboard is grinding on a curb with his skateboard .
2796801478.jpg| 4| A skateboarder grinding a lip .
2846785268.jpg| 2| Rollerblader grinding a yellow road barrier
2877088081.jpg| 1| The teenage boy is grinding a skateboard on a steep rail .
2891961886.jpg| 1| A man on rollerblades grinds a wall .
2902661518.jpg| 3| Skateboarder grinds a concrete railing .
2902844125.jpg| 1| A teenage boy grinds across a bar on his skateboard .
2911107495.jpg| 3| a rollerblader grinds a rail .
2918653119.jpg| 1| A male rollerblader wearing a green shirt and hat grinding down a green rail .
2920969723.jpg| 1| A skateboarder grinds along a pipe beneath a fire escape .
2968693931.jpg| 4| An inline skater is grinding down a long rail .
2991771557.jpg| 3| A snowboarder grinding down a side rail .
2992658871.jpg| 0| A man in a white helmet and green shirt grinds on his rollerblades .
3069514336.jpg| 1| A black male uses a metal edge grinder to grind down a metal rod , creating sparks .
3094629328.jpg| 3| Someone grinding stones with a pestle .
3098336319.jpg| 3| A snowboarder is grinding down a long concrete rail .
311403792.jpg| 1| A brown-haired man with safety glasses and a green shirt grinding something with a machine
3124964754.jpg| 4| Skateboarder grinding a barrel .
3165826902.jpg| 0| A rollerblader grinding down a narrow platform at an indoor skate park .
3187395715.jpg| 3| Teen grinding a bench on a skateboard
3198962089.jpg| 0| A snowboarder grinds a wooden box over a melted patch of snow .
3215238223.jpg| 2| A guy is grinding on a window ledge in a city .
3229730008.jpg| 1| Teenager grinding skateboard down a railing while other teenagers watch .
3240090389.jpg| 2| A teenage male grinds on his skateboard .
3264350290.jpg| 4| A boy grinds a ledge on his skateboard .
3270047169.jpg| 1| A male youth is grinding a rail on his skateboard .
3272541970.jpg| 3| A boy is grinding a skateboard down a concrete wall .
3287549827.jpg| 0| The snowboarder is grinding on a silver rail in the nighttime snow .
3309230607.jpg| 0| Young male in a black t-shirt and jeans grinding on a skateboard along a low graffitied wall .
3329793486.jpg| 3| A man on a snowboard is grinding a ramp .
3342309960.jpg| 4| a skateboarder grinds the rail .
3346289227.jpg| 4| An in-line skater grinding on a rail .
3348385580.jpg| 0| A snowboarder in green grinds along the edge of a rail at night .
3366904106.jpg| 3| A boy in an orange shirt grinds a skateboard ramp .
3394750987.jpg| 3| A boy on a skateboard grinding down a handrail .
3453284877.jpg| 2| A guy is grinding a rail over a tree on his snowboard .
