image_name| comment_number| comment
1007129816.jpg| 0| The man with pierced ears is wearing glasses and an orange hat .
1429714512.jpg| 2| A man with pierced ears has a pen sticking out from under his red hat .
1765164972.jpg| 0| A profile of a young person with a punk hairstyle and pierced ear and nose in a cowboy shirt .
2695085862.jpg| 0| A man with a hankerchief on his next and pierced ears looks off into the distance .
279550225.jpg| 4| Man with a pierced tongue next to a woman .
3364140217.jpg| 0| A woman with pink-striped hair is about to bite a piece of food as another woman with a pierced lip and short , spiky hair watches .
4409805003.jpg| 1| A man with a pierced eyebrow is looking at a laptop screen , while a cat is in the background .
4503699216.jpg| 0| A woman with a pierced nose is underneath a blue umbrella .
5170278756.jpg| 1| This female with tattoos is sticking her pierced tongue out , while holding a can of beer .
534669139.jpg| 0| The girls with a pierced lip and cap is standing next to a man with a beard and a black cap .
7916394844.jpg| 0| Two men in a school gym setting wearing fencing gear and one lunging deeply at the other to pierce him in the left flank .
