image_name| comment_number| comment
11391827.jpg| 3| A delivery man exiting the back of a truck .
148284.jpg| 2| A man selling or delivering newspapers stands in front of a Spanish-language information sign .
1538589805.jpg| 0| Someone is looking out their window watching the mailman deliver their mail and drive on to the next house .
1732567333.jpg| 0| A man wearing a uniform is standing just inside the back of a delivery truck , while two other men are standing on the ground near the truck .
1829597760.jpg| 2| A martial arts student attempts to deliver a kick to his sparring partner as fellow students look on .
18638574.jpg| 2| Two little boys , from the waist up , in a martial arts match , one delivering a punch and the other blocking .
2217258342.jpg| 4| Guy delivering a item with his bicycle .
2434440948.jpg| 2| An elderly gentleman is delivering a talk to an audience .
2437766095.jpg| 3| A kickboxer delivers a side kick to a heavy bag in a gym .
2455528149.jpg| 1| A delivery man is passing by two people at an art gallery .
25534384.jpg| 1| A man with a navy blue hat and plaid shirt delivers a file cabinet to a classroom
2572815587.jpg| 2| President Bush delivers a speech to a large audience .
2631392326.jpg| 4| In this photo , a man is delivering something on his bike .
263237638.jpg| 0| A line of men wearing white in a martial arts class in the middle of delivering a kick .
274917606.jpg| 0| A man is sitting in the back of his delivery truck with a giant umbrella that says New Amsterdam .
279153587.jpg| 2| A newborn baby has just been delivered .
290764663.jpg| 3| A grizzly postman carries a flower and mail to deliver .
3277532608.jpg| 1| A blue delivery truck is parked in front of a white building on a street corner .
3384702365.jpg| 1| Asian woman in postal delivery uniform is pushing a large pile of packages .
3397433780.jpg| 2| Two martial artist in a competition with a small crowd and a judge watching as one delivers a kick .
3397434332.jpg| 2| One martial arts black belt delivers a kick to another in front of an audience .
3437758644.jpg| 4| A tanker truck making a delivery to a market .
3512780285.jpg| 2| Two workers in orange vests walk by delivery truck and hazard cones .
3527320221.jpg| 4| One fighter delivers a hard blow to the face of another fighter .
356242936.jpg| 3| Young boy delivers a jumping martial arts kick .
365099444.jpg| 4| The people are delivering goods by boat
3668118382.jpg| 4| A tennis player delivering his serve .
3704836369.jpg| 0| Two UFC fighters are fighting in a ring , the opponent on top has flames on his shorts and is about to deliver a punch to his opponent whom he has pinned .
375489940.jpg| 0| One woman delivers a lecture with a powerpoint to a large group of woman , with predominantly black hair .
3796631367.jpg| 1| A woman in a red shirt poised to deliver a speech .
387963391.jpg| 0| A adult man negotiates a city lane on a three wheel bicycle which is carrying a large blue plastic drum used to hold water which he might use or be delivering
3938498023.jpg| 1| A man in an orange shirt is loading or unloading a large amount of pretzels from a delivery truck .
4156088769.jpg| 2| The three people outside are waiting for a delivery .
4223855717.jpg| 2| A man in a red delivery truck is talking to someone is a black coat .
4507050262.jpg| 0| Asian male uses a hand truck to deliver a stack of produce filled boxes .
4508482982.jpg| 2| A woman delivery truck driver is reaching for a box .
458735196.jpg| 0| This is a strange sight , a dog delivering a cookie .
4634534829.jpg| 3| A young woman is delivering alcoholic drinks .
4669745123.jpg| 3| The delivery boy waits to unload in front of the pizza parlor .
4736208356.jpg| 3| A man wearing a gray suit is delivering a speech .
4804569802.jpg| 0| A newspaper delivery man smiles as he walks down a sidewalk holding his papers on top of his head .
4858043205.jpg| 0| A delivery driver sits in a truck sprayed with graffiti outside a Chinese supermarket .
4914567687.jpg| 2| Eden Farm Groceries offers free delivery .
4959831832.jpg| 3| A coke truck is on it 's way to make the next delivery .
4982224135.jpg| 2| A Coca-Cola delivery man driving down the road to make a delivery .
5384744603.jpg| 0| Here is a mail carrier delivering mail on a brick sidewalk , it seems as though someone asked him to smile for a picture !
559944506.jpg| 4| A priest delivering mass in a church .
561906323.jpg| 0| A woman gives the finger to a man about to deliver a shipment of plants and a passerby looks on .
5691273322.jpg| 2| Some men are talking at the back of a delivery truck .
6835586066.jpg| 0| A pitcher , wearing a dark green jersey and a green and yellow cap , is delivering a pitch and is pictured in his follow through motion .
7380095188.jpg| 2| A Cleveland Indians pitcher is delivering the pitch .
7690697658.jpg| 2| A speaker at the 55th annual Delwood Neighborhood July Celebration delivers a message from the stage as others look on .
