image_name| comment_number| comment
1000366164.jpg| 1| Two guy cooking and joking around with the camera .
102998070.jpg| 1| Three older men stare into the pan of a street vendor who is cooking fish .
1040426962.jpg| 0| A man is cooking what appears to be green beans in a grill basket on a grill with a yellow lab standing by him while someone takes a picture from above .
1079013716.jpg| 1| The cooks are preparing hamburgers for the customers .
1088385559.jpg| 1| An Indian woman in traditional clothing cooks vegetables on her stove .
1099434461.jpg| 0| A man is cooking a square pancake : he lifts it with his fingers and a spatula to check to see if it is done .
1112334131.jpg| 1| A woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face .
114954667.jpg| 3| An old man is cooking his food .
11536856.jpg| 0| Two ladies are cooking & talking and two gentlemen are talking in the opposite site of the kitchen .
1162606352.jpg| 2| Two girls with pots show off their cooking .
116337803.jpg| 2| A young boy in a flowered apron is helping his mother cook .
118897631.jpg| 0| A woman cooks on the stove in her kitchen as her dog begs below .
121551810.jpg| 0| Two men , in the woods , cook something in a can over an open fire .
12252043.jpg| 1| Group of Asian boys wait for meat to cook over barbecue .
123501647.jpg| 0| There are items hanging up in the background and then there are picnic tables made of wood and two big grills where people are cooking and a man watching .
12379850.jpg| 3| People cooking food over a fire .
1246237064.jpg| 1| A man dressed as a cook enjoys a meal and bottle of wine in an empty restaurant .
1246863003.jpg| 4| Three men are cooking in a large kitchen .
126823727.jpg| 4| A man is a kitchen cooking .
127480623.jpg| 2| There is a restaurant with a waiter and some cooks .
128706819.jpg| 4| A woman is cooking food in the street .
1296144016.jpg| 1| A man cooking something in an old fire burning oven with a apron on .
1296395998.jpg| 4| These people are cooking lots of food .
1303157527.jpg| 1| A man with a red apron and a white cook 's hat is standing in front of his food cart .
1306106329.jpg| 0| A young Asian boy is standing between to women while they cook meat on sticks .
130792536.jpg| 1| People are learning to cook and enjoying the results of what they have done .
132523566.jpg| 0| A woman in a white shirt and blue checker pants is cooking waffles in the kitchen .
1327485320.jpg| 1| A woman cooks a variety of meets on a grill while others stand in the background .
1330981138.jpg| 0| A young man in a red t-shirt is cooking with a skillet .
1336772621.jpg| 2| Island woman cooking outside with pineapples and fruit .
133767049.jpg| 4| A man in blue overalls cooks barbecue .
1346095724.jpg| 0| A man preparing to cook fish for his visitors during a local town event organized by nike company .
134653574.jpg| 0| Three women dressed in plain clothes are cooking a meal in their kitchen .
1356627150.jpg| 0| A man wearing a green cap , green shirt and khaki pants is cooking over a fire in the forest
136581487.jpg| 2| A toddler is cooking with another person .
1368082221.jpg| 0| A man wearing a black sweater cooks food in a pan while standing in a cluttered kitchen .
1370293802.jpg| 0| A chef with glasses cooks french bread in a giant oven .
