image_name| comment_number| comment
1319788022.jpg| 0| A baby wearing a white shirt is crawling on the ground next to a table .
1362794608.jpg| 0| A man crawls through a playground plastic tube towards a little girl with red-hair .
1390436676.jpg| 0| A young girl looks in awe at a praying mantis crawling slowly up her right arm .
1428681303.jpg| 0| Two little kids crawl up to a large statue outdoors .
1478268555.jpg| 3| A man is rock crawling up a rock wall
155560281.jpg| 2| A young boy crawling under a police barrier .
1580172290.jpg| 1| two young babies crawling on a wood floor
17484203.jpg| 2| A man in a blue shirt sits on a blue blanket with a snake crawling under his leg .
2059842472.jpg| 0| A little toddler in blue pants is crawling on the road .
2212472643.jpg| 0| A baby in campflauge crawls on a clean hardwood floor .
2214847438.jpg| 4| Baby crawling inside a toy .
2289283018.jpg| 1| A child crawls on the floor looking at a pigeon .
2294913223.jpg| 1| A man in a black shirt and blue jeans crawls on a table .
2460804866.jpg| 0| A little boy crawls along the surface of a big rock .
2510020918.jpg| 0| A young boy dressed in a black hoodie crawling through a large , white tube .
2511787709.jpg| 2| A woman helps a little girl scrawl something on a heavily-marked banner .
2573138540.jpg| 4| A child is crawling on the floor .
2591455200.jpg| 0| A little girl wearing an orange halloween shirt with long blond-hair and blue eyes crawls through a tunnel .
260850192.jpg| 4| Someone is crawling under a large rock .
2667549961.jpg| 0| An infant is crawling on a wood floor , with a water bottle laying nearby .
2667783499.jpg| 1| Little boy with blue shirt crawls across vents near large glass windows .
2702506716.jpg| 1| Dog crawling in between steps from behind the steps
2759089516.jpg| 0| A child wearing gray shorts and pink-bottomed sneakers crawls through a window .
2815755985.jpg| 0| A little blond girl crawling into a blue inflatable bouncy house .
2878041967.jpg| 1| Children , including one with a painted face , pet tiny turtles that are crawling in the green grass .
2966901532.jpg| 0| A man wearing swim goggles is doing the crawl in a lane in a swimming pool .
3021616312.jpg| 0| A toddler in overalls has a face of determination as he prepares to crawl in the grass at a park .
307834554.jpg| 1| Two little boys are in zipped bags , trying to crawl out of them .
3119875880.jpg| 0| A boy crawls through a rock tunnel with his brother and father behind him .
31940658.jpg| 2| An infant with green swimming goggles on , crawling on the ground .
3243233886.jpg| 0| Blond child wearing a red jacket and crawling on playground equipment .
3387630781.jpg| 0| A baby in a baseball shirt crawls through a tube .
3484393667.jpg| 0| A man is in shallow water with a horse at the beach while a nude boy crawls nearby .
3502343542.jpg| 3| People rock crawl up a steep obstacle .
3562302012.jpg| 3| A boy crawls under a house outside .
4912348669.jpg| 1| A man uses his cellphone besides a fountain with some philosophy scrawled on its steps .
578996360.jpg| 0| A man wearing brown shorts and a tan shirt stands in the grass holding 2 nerf jousting toys watching his son crawl in the grass toward another nerf joust toy .
6142467963.jpg| 3| Two people crawl around in large plastic balls .
6155571589.jpg| 0| The runner clearly is determined as he crawls to the finish-line while onlookers attempt to help him .
6878990168.jpg| 1| Two men , one with a mohawk and sunglasses crawl through the mud , as others look on .
822836318.jpg| 3| A person crawls through a snow tunnel .
