image_name| comment_number| comment
1000268201.jpg| 2| A little girl climbing the stairs to her playhouse .
1000523639.jpg| 0| Two people in the photo are playing the guitar and the other is poking at him .
1001773457.jpg| 1| A black dog and a tri-colored dog playing with each other on the road .
1002674143.jpg| 0| A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
1003420127.jpg| 0| A group of adults , inside a home , sitting on chairs arranged in a circle , playing a type of musical instruments .
1003428081.jpg| 0| Two women , both wearing glasses , are playing clarinets and an elderly woman is playing a stringed instrument .
1006452823.jpg| 3| 2 kids playing on a seesaw
1007320043.jpg| 0| A small child grips onto the red ropes at the playground .
1010673430.jpg| 1| Two young children eating a snack and playing in the grass .
1012150929.jpg| 0| A little boy plays with a Nintendo GameCube controller inside a McDonald 's .
1012212859.jpg| 3| White dog playing with a red ball on the shore near the water .
1012328893.jpg| 0| A group of people picnicking at picnic tables in front of a playground .
101669240.jpg| 1| A man in a hat is displaying pictures next to a skier in a blue hat .
1019077836.jpg| 3| a brown dog plays with the hose .
1020651753.jpg| 1| The white dog is playing in a green field with a yellow toy .
1024138940.jpg| 0| Two different breeds of brown and white dogs play on the beach .
1027149103.jpg| 0| A band is playing in front of an audience and the singer is wearing an orange shirt and has tattoos on his arm .
1030985833.jpg| 2| A black dog and a brown dog play with a red toy on a courtyard .
103106960.jpg| 1| A child in a red jacket playing street hockey guarding a goal .
1031973097.jpg| 4| Little boy wanting to play outside of fence .
1032122270.jpg| 2| Three dogs are playing on grassy hill with a blue sky .
1034985636.jpg| 0| A man with wild hair rocks a show playing a guitar center stage .
1035019794.jpg| 1| A girl playing softball hits the ball almost directly downwards
1035392784.jpg| 0| A man in black with long hair playing a guitar with stickers on it .
104285082.jpg| 0| A man with glasses is sitting a chair playing the oboe while a man in a purple shirt plays percussion and spectators look on .
1043910339.jpg| 0| A baseball player in red leaps into the air to avoid a player in blue , who is shortly behind him as he catches the ball , while other blue team members look on in the background .
1045124251.jpg| 3| A 30 somethings man playing with his phone on a subway train .
104763189.jpg| 3| Four children are smiling and playing on a bike
105223874.jpg| 0| A young child wearing a blue shirt and sandals playing with a red toy while sitting on the floor .
1053804096.jpg| 0| a girl with pigtails is playing in the ocean by the beach .
105493628.jpg| 0| White wine and appetizers on are displayed in an upscale restaurant .
1055623002.jpg| 1| A group of young children playing pillow fight on a bed .
1056198351.jpg| 1| Young boy with blond-hair playing with a mixer .
1056249424.jpg| 0| Two boys , one with a yellow and orange ball , play in some water in front of a field .
1056873310.jpg| 4| Two dogs playing on a beach .
10602072.jpg| 0| Two young girls are playing in the forest ; the younger one is climbing a short tree and is about 2 feet off the ground .
106490881.jpg| 1| The boy is playing on the shore of an ocean .
1066252238.jpg| 1| Three boys playing and biking with a pile of sand in the middle
1071201387.jpg| 1| Man in bright yellow vest displays bicycle safety information on street .
1072439304.jpg| 2| A boy playing for the Giants baseball team swinging at a baseball .
1075867198.jpg| 0| A man in a brown shirt and dark shorts plays on the beach with his two black dogs .
1080230428.jpg| 0| A male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .
1087168168.jpg| 2| Two young kids are playing in the water on an inflated toy .
1087539207.jpg| 0| Several children playing on a Polaris vehicle outdoors .
109083036.jpg| 0| Six males playing a game in the sand with wooden paddles .
1091942526.jpg| 0| A woman is laughing as two small boys play around her and a small girl climbs up her back .
1093737381.jpg| 1| A woman in a blue dress stands with a chalk portrait of two children playing by a stream .
109380144.jpg| 2| A man sitting on the ground is playfully kicked by a young woman , while a man in the back observes .
1094462889.jpg| 0| A brown dog plays in a deep pile of snow .
