group_number,sentence,group_variance
1,several men in hard hats are operating a giant pulley system .,0.7541399127532813
1,workers look down from up above on a piece of equipment .,0.7541399127532813
1,two men working on a machine wearing hard hats .,0.7541399127532813
1,four men on top of a tall structure .,0.7541399127532813
1,three men on a large rig .,0.7541399127532813
2,a man with black hair sits in a restaurant with a glass of beer .,0.547860851507183
2,a man is sitting at a table with a drink .,0.547860851507183
2,a man is sitting at a table with a beer .,0.547860851507183
2,a dark-haired man sitting drinking .,0.547860851507183
2,a old man having a beer alone .,0.547860851507183
3,"man wearing a blue and white outfit , holding a broom , with a traditional asian architecture in the background .",0.49514867119987294
3,a asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement .,0.49514867119987294
3,a man in a white and blue kimono is using a broom to sweep pavement .,0.49514867119987294
3,man sweeping the street outside .,0.49514867119987294
3,asian man sweeping the walkway .,0.49514867119987294
4,a person in tan pants is inside a silver mobile object while people watch .,0.9163511735868601
4,people are watching a person in a weird vehicle in a plaza .,0.9163511735868601
4,a man in a blue shirt driving a segway type vehicle .,0.9163511735868601
4,a showing of product to advertise,0.9163511735868601
4,a crowd admiring modern art ?,0.9163511735868601
5,"a man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier .",0.7968448864955109
5,a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,0.7968448864955109
5,a person riding in a futuristic single-person vehicle .,0.7968448864955109
5,man walking up to silver 4-wheeled chair,0.7968448864955109
5,a man walks by a silver vehicle .,0.7968448864955109
6,white dog with brown ears standing near water with head turned to one side .,0.44166397574468874
6,"dog with orange ball at feet , stands on shore shaking off water",0.44166397574468874
6,a white dog shakes on the edge of a beach with an orange ball .,0.44166397574468874
6,white dog playing with a red ball on the shore near the water .,0.44166397574468874
6,"a dog shakes its head near the shore , a red ball next to it .",0.44166397574468874
7,two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat .,0.5832146151349793
7,a boy jump kicking over three kids kicking wood during a tae kwon do competition .,0.5832146151349793
7,a boy jumps over three other students in a martial arts demonstration .,0.5832146151349793
7,a crowd is watching a group of five martial artists perform .,0.5832146151349793
7,a crowd of people watch a martial arts demonstration .,0.5832146151349793
8,a mottled black and gray dog in a blue collar jumping over a fallen tree .,0.42508641670869296
8,a gray dog is leaping over a fallen tree .,0.42508641670869296
8,a large black dog leaps a fallen log .,0.42508641670869296
8,the black dog jumped the tree stump .,0.42508641670869296
8,a black dog leaps over a log .,0.42508641670869296
9,man on scooter attracts attention from some of those in large crowd .,0.7774919928687005
9,a crowd is standing and waiting for the green light .,0.7774919928687005
9,people stop and look at an older woman outside .,0.7774919928687005
9,a crowd of people waiting to cross a street .,0.7774919928687005
9,a crowd of people waiting for the light .,0.7774919928687005
10,a group of people stand in the back of a truck filled with cotton .,0.5533686350114291
10,men are standing on and about a truck carrying a white substance .,0.5533686350114291
10,a group of people are standing on a pile of wool in a truck .,0.5533686350114291
10,a group of men are loading cotton onto a truck,0.5533686350114291
10,workers load sheared wool onto a truck .,0.5533686350114291
11,large brown dog running away from the sprinkler in the grass .,0.4700497716426435
11,a brown dog chases the water from a sprinkler on a lawn .,0.4700497716426435
