image_name| comment_number| comment
1000919630.jpg| 2| A man completes the finishing touches on a stuffed lion .
1013536888.jpg| 1| An elderly woman is eating a burger while the man next to her touching his hat .
1136497229.jpg| 4| A woman touching her child 's shoulder .
118897631.jpg| 1| A woman touching a pot on a stove while a dog looks up at her .
121197973.jpg| 2| A man in a black and white shirt is touching his glasses and laughing .
123728333.jpg| 0| An older man finishes the last touch up on his sculpture .
1262808368.jpg| 1| A woman in blue wearing flip-flops touches a passing car while walking beside a young man in a green striped shirt .
1265343716.jpg| 2| Asian girl on the street touches chest with left hand .
1283974580.jpg| 3| A young boy is looking and touching a bike
1289352588.jpg| 0| A man and a woman are at a beach with other people nearby , and the woman is touching the man 's face .
1315402173.jpg| 2| One child wearing a flannel , is touching a pumpkin in a pumpkin field .
1402859872.jpg| 2| A yellow robot and young girl touch each other 's hands .
1417941060.jpg| 0| An infant sitting on a cot reaching over to touch the face of an older boy .
1425485485.jpg| 0| Little girl laughing and touching a boy 's face as they lean toward each other .
1438632858.jpg| 0| A man in shorts and a tank-top shirt tries to touch his foot while jumping , located on the shore of a large body of water .
1453251773.jpg| 2| A smiling Asian girl dressed in a wide-brimmed hat , red jacket , and white gloves is sitting by and touching round orange produce .
1463946109.jpg| 0| A man touches his sideburns with his left hand while looking into the camera .
146479462.jpg| 1| An African dressmaker puts the finishing touches on a garment while two women watch .
156249400.jpg| 2| Two soldiers are playing baseball and touching the base .
156642718.jpg| 2| Toddler sits on carpet in living room touching guitar .
157557961.jpg| 4| A man touching a giant BlackBerry .
1678345419.jpg| 3| A woman touching a man 's face on a wall after they took a break from riding motorcycles .
1693733107.jpg| 0| Two people sit in handicapped seats , one touching her ear while the other touches her eyes .
183998963.jpg| 4| A man touches a painting on a wall .
189244453.jpg| 0| A man is touching the hand of another man at what appears to be a produce store .
2022443431.jpg| 1| Someone is parachuting down and almost touching the ground .
2042009399.jpg| 3| Young boys play touch football .
2097489021.jpg| 3| A girl in a ballet fairy costume is touched by a wand .
2125074196.jpg| 4| Artist putting the finishing touches on wall mirage .
2169067981.jpg| 0| Two boys in blue clothing are pulling on a rope while one boy is touching a brown chair .
217571210.jpg| 1| A man and a woman are laughing with their foreheads touching .
2210070009.jpg| 4| A tour of a untouched garden .
2221241506.jpg| 3| A man is touching a large metal structure .
2245618207.jpg| 1| A child touching a red plastic object , with a crowd behind him .
2247645547.jpg| 2| Women in dresses touch up their makeup in front of mirrors in a dressing room .
2276436566.jpg| 0| A young man in a dark shit is standing in front of a touch screen ATM machine .
2310336052.jpg| 1| Two guys are in he air with neither foot touching the ground .
2311412902.jpg| 4| Man on roof touching a shingle .
2311690895.jpg| 3| A person touches a dog 's tooth .
2324749825.jpg| 1| Young Indian children in an old stone building watching an elephant who his touching one child on the head .
2371201464.jpg| 0| A girl in a red shirt and plaid hat , and a boy in a black sweatshirt and hat are in a playground , touching a blue seahorse .
2374523052.jpg| 0| A guy with afro hair , gray sweater and jeans , skating on a skating ramp high up on the side touching grass .
241345446.jpg| 0| a man wearing a white shirt is carrying a headset communications device along the touchline in a sports stadium .
2427393337.jpg| 3| An older man in a suit is using a touch screen mobile device .
245307666.jpg| 0| A shirtless man with tattoos , glasses and a baseball hat , touching a spotlight that is on .
2494520404.jpg| 1| A young woman in a red shirt touches an object on a table while two women look on .
2498019634.jpg| 0| A child wearing a red eye covering is reaching out to touch a very large bubble .
2500785647.jpg| 1| A hot air balloon touching down with a man 's shadow in the background .
2538423833.jpg| 1| A small child bends down to touch a white dog .
2544426580.jpg| 0| The little boy with the big brown eyes is touching the little car .
2555545571.jpg| 0| A man with an afro is bending down on a stage to touch someone 's hand in the audience .
2591573567.jpg| 0| A young swimmer with a yellow hairnet touching the wall .
2635509973.jpg| 0| A young boy wearing a red shirt with yellow writing on it and a red sports cap is squatted in shallow water and touching a yellow pail filled with sand .
2647424395.jpg| 1| A young girl in a pink shirt stretching to touch a green balloon .
2667947118.jpg| 2| A boy with a red hat is about to touch a wooden box .
2679494234.jpg| 0| A young girl in a bikini top is touching a young boy in swimming trunks while getting splashed by water .
268044066.jpg| 3| A man touches a tall tree stump while a woman watches .
2725655872.jpg| 3| A little girl touches and looks at plant leaves .
2743945813.jpg| 0| A girl with long pigtails and a barbie bag touching the orange poles along with other little girls wearing a white shirt and blue shorts .
2752265504.jpg| 0| As the little boy fishes for magnetic fish in the pond , his father reaches down to touch the live fish that are swimming around .
2756765580.jpg| 0| A boy in brown nearly touches his feet with his hands in the air .
2770438285.jpg| 3| A boy wearing a blue shirt is touching the trunk of a tree with his finger .
2827589184.jpg| 0| The blue-uniformed softball player is blocking the bag and trying to prevent the opposing player from touching the base .
2830073704.jpg| 4| A street artist touching up some of his work .
2880874989.jpg| 3| A toddler is reaching up to touch a stove .
288508162.jpg| 2| The black puppy is being touched by a foot .
2940831473.jpg| 2| A man with a blue jacket touching his hand to his forehead .
2944952557.jpg| 2| A girl is catching a baseball before an opponent touches base .
2949497756.jpg| 2| Two dogs touching noses near another dog .
2967116678.jpg| 2| A child is touching dough on a cutting board .
2971211296.jpg| 0| The boy is clutching the football and making a run for a touchdown while looking behind him .
2973272684.jpg| 0| A football player in a purple jersey is running the ball in for a touchdown .
2991375936.jpg| 0| A young girl with a worried look on her face touching a woman 's face who 's keeling down .
2996302825.jpg| 4| The man touches the woman driver through the window .
2996430347.jpg| 1| A man in a blue shirt touches the face of a woman in a red skirt , while a man dressed in black looks on .
3097776588.jpg| 2| Two men touch their heads together and smile .
3122888809.jpg| 1| A black dog and a brown dog touching noses in a grassy field .
31326591.jpg| 0| A man in a blue shirt touches his head while talking to two women outdoors .
3143980056.jpg| 3| A baby touching a woman 's face .
3154107557.jpg| 0| Man dressed all in black wearing work boots and baseball hat , jumps , spreading legs straight out to either side , touching them with his hands , in front of a valley view .
3163281186.jpg| 0| A man is riding an elephant while another person is touching the elephant 's head .
3168326177.jpg| 2| A young boy touches the snow on the ground .
317571482.jpg| 1| A person has a cigarette in their left hand and their hand is touching their head .
3184112120.jpg| 0| Girl touches young man 's face as young man in pink shirt observes , leafy background .
3203872773.jpg| 2| A bearded man with glasses does a toe-touch .
3205214191.jpg| 0| A person in a red vest is touching the blue ice skates on another person .
3245545529.jpg| 0| A man in red shorts is about to land in a body of water , he has one hand touching the water .
3273403495.jpg| 1| A skier traveling downhill through mostly untouched snow .
3274866788.jpg| 2| A person in red leaping from a ledge trying to touch the suspended red ball .
3329224794.jpg| 1| A man kneeling on a roof touching a piece of plywood wearing sunglasses .
3347701468.jpg| 0| A soccer team with blue jerseys is huddled together with their hands touching above their heads .
3352791995.jpg| 2| A young boy is touching the stomach of a pregnant woman .
3358682439.jpg| 2| Two women bend over to touch a small kangaroo .
3367204560.jpg| 1| A baseball player reaches the base without being touched by the opposing player .
3369909499.jpg| 1| Two men are sitting at a desk and one man is touching the jacket of one of the first men .
3380643902.jpg| 0| A skateboarding boy touches his hands to the ground with a long hill in the background .
3414043795.jpg| 0| A girl with her leg is touching the back of her head , who is hula hooping with her neck .
3437654963.jpg| 2| Two brown bears touching , face to face , with mouths open .
3440724965.jpg| 0| A man in a suit touches his head while another speaks at a microphone .
3442844140.jpg| 0| Two young boys touching glass where they can see a seal swimming by .
3472331684.jpg| 3| A child is outside touching a yellow paper lantern .
3472540184.jpg| 0| Two boys are running ; one 's smiling and being touched by the other .
3484841598.jpg| 1| The first baseman diving to catch a throw , while the runner touches first base in a softball game
3500147750.jpg| 2| A little girl is touching a man 's face while riding on his shoulders .
3516677529.jpg| 1| A young boy on a skateboard is crying while an adult touches his shoulder .
351765604.jpg| 0| A woman wearing a ball cap squats down to touch the cracked earth .
3536361671.jpg| 0| A blond woman touches a sewing machine while a child in a green hat looks on .
3549222244.jpg| 1| Two asian men are leading a group of children in a game that involves touching your head .
3550255426.jpg| 3| A girl is jumping a hurdle and about to touch ground .
3564148252.jpg| 0| A man on a motorcycle touches his knee to the ground during a sharp turn .
3574522127.jpg| 1| A baseman catches a baseball while a runner slides to touch the base during a game of baseball .
3577928139.jpg| 0| infant boy with blond-hair in blue clog sandals , blue jumper , touching an orange traffic cone .
358607894.jpg| 1| A man in a black hat touches a cardboard box .
3602437310.jpg| 3| A kid touching a baseball base and wearing a blue helmet .
3612485097.jpg| 0| A man in midair with his back touching that of another man hunched over
3624246111.jpg| 0| A man in a striped shirt standing in front of a projection screen leans over a desk and touches the keyboard on a laptop .
3639363462.jpg| 0| Two women , one with a camera , reach out and touch a mirrored ball .
3662711241.jpg| 4| A man doing a high toe touch is smiling .
3663793993.jpg| 1| A little girl is outside putting her hand out to touch the water from the sprinkle .
3667788497.jpg| 0| Under a blue sky with white clouds , a child reaches up to touch the propeller of a plane standing parked on a field of grass .
3694528441.jpg| 0| A group of girls playing touch tag , one team dressed in blue and another in dark green , are running to help two injured players .
3716277216.jpg| 3| Three women wearing traditional apparel make the final touches on their clothing .
3721404396.jpg| 1| Little girl in a bicycle helmet touching a large brown horse .
3730431218.jpg| 1| a man trying to touch a dolphin or whale or some kind of marine animal
374103776.jpg| 2| A woman points at something while another woman touches her hand at a bar .
3751534238.jpg| 0| A man with red shades on is holding a blowtorch while touching some type of sculpture with two onlookers .
3773376608.jpg| 0| A woman holding a magazine , is touching the outside of a wooden window frame .
3787061402.jpg| 0| A boy sits behind two children in a grassy park and touches another boys ears .
3797595159.jpg| 1| A young girl uses a touch screen computer while an older girl looks on .
3859014834.jpg| 2| Six people on a hill side after just touching down from parachuting .
391579205.jpg| 2| A dog jumping up to touch a woman 's hand .
3932198441.jpg| 3| Man in a harness walks towards a parachute that has touched the ground .
3932691940.jpg| 0| A woman is smiling as she shows a young boy an accordion and allows him to touch the instrument .
399246804.jpg| 1| A white dog with a sweater on and a black and brown dog touching noses .
4015422919.jpg| 0| Cute girl at a children 's beauty shop sitting on a toy car having her hair blow-dried , while stylist is smiling and gentleman 's arm is touching the car .
4022062487.jpg| 2| A woman checks the soil while also touching a line of string .
4022274513.jpg| 3| An odd looking boy is enjoying himself by touching hay .
4138543712.jpg| 0| A young child in violet clothes arches her back and touches the ground with her hands so that she is looking outward and upside down .
4242573381.jpg| 1| A group of people in the snow , one is bending over to touch a snowshoe on his foot .
424830334.jpg| 1| A mother and her baby are at a park with both of them touching a part of an apparatus .
424869823.jpg| 2| The young girl bent down to touch the rainbow .
4283472819.jpg| 0| A man in a two-toned gray jacket and blue jeans is touching his skis against the top corner of a building in a midair maneuver .
4297543039.jpg| 1| Man posing with his computer while touching the keyboard .
4327162496.jpg| 0| An unhappy child with his eyes closed is touching the back of someones pants .
4349523799.jpg| 2| Woman wearing a red vest is touching a pile of stuffed shark plushies .
4379493825.jpg| 0| A female ice skater is lifting her leg and nearly touching her skate with her hand .
4397975773.jpg| 0| a little girl in a white dress walking along side a small stream while touching her foot to a rock and holding her hair out of her face .
4435816665.jpg| 0| It is an aerial picture of two men standing next to each other , one man is touching the other 's shoulder .
4483161364.jpg| 3| A boy wearing a red shirt and jeans tried to touch the chainsaw .
4483576244.jpg| 2| Two African American women are touching the Naked Cowboys buttocks while posing for a picture .
4511684396.jpg| 2| A painter puts finishing touches on an image .
4555536027.jpg| 0| A man in a black shirt , white belt , and a pair of jeans standing on a crowded sidewalk smiling , 1 finger pointing to the sky and one hand touching the word Main Entrance on a sign right beside him .
4559151126.jpg| 2| An Asian man is standing on the sidewalk holding a bag and touching his head .
4562512283.jpg| 2| A man touches his back pocket as a blond woman behind the counter of a convenience store looks at him .
459560694.jpg| 0| A person is reaching up to touch the middle light fixture hanging from a ceiling .
461139067.jpg| 1| A man reaches out to touch a decorative wall light .
4614813437.jpg| 1| Two men are touching hands while holding guitars on stage .
4634560309.jpg| 0| A man in a blue plaid shirt is touching a lady who is smiling with blond-hair and a brown plaid scarf around her neck .
4642208620.jpg| 3| A man in a black jacket is touching a grill .
4652284040.jpg| 1| A man in a red shirt and a blue hat is sitting on a sidewalk and touching drinking glasses .
4652941241.jpg| 1| woman , outside , wearing a blue shirt , touching her forehead .
4653330656.jpg| 2| A man puts the finishing touches on his graffiti artwork .
4653630277.jpg| 2| A cook puts finishing touches on a plate of food .
4668692006.jpg| 0| Two weary looking men in a boxing match both have one glove under their chin and the other touching the other man 's head .
4696281191.jpg| 4| A woman in a white dress touches her foot .
4729527033.jpg| 0| A little girl , dressed in pink and white with flowers in her hair , is standing outside touching her chest .
4758565051.jpg| 4| In the field , an elderly man is touching a model airplane .
4769117130.jpg| 0| A black and white spaniel gently mouths the face of a toddler-aged girl wearing a red shirt , khaki skirt and black shoes while the girl looks somewhat amused and somewhat disgusted by the dog 's touch .
4794461173.jpg| 1| A girl in a blue shirt with red trim touching her forehead .
4799506211.jpg| 4| Kids out on a river touch the ends of their oars .
4804001379.jpg| 4| A woman is touching her ear .
4814925108.jpg| 0| A female with brown hair , purple shirt and purple flip-flops touching the bottom left of a sign .
4816829778.jpg| 0| The man in the brown shirt is touching the machine on the desk .
4833088018.jpg| 3| A bald Asian man is touching the molding on a window .
4851276955.jpg| 0| A man in a white cotton shirt holds a lit blue candle and stands while touching his forehead to the foot of a statue on top of a pillar .
4858186528.jpg| 0| A person touches a baby , wrapped up in a blanket , with several pieces of medical equipment attached to its head
4859789355.jpg| 1| A group of young people stand in front of and touch a black , rusting metal structure .
4870323823.jpg| 3| A man is touching a pig being held upside down .
4886223475.jpg| 0| A man in a one piece tunic is riding a bike in front of a sandstone wall while touching his nose .
4892334228.jpg| 0| This woman in touching her hair while standing in front of some red and white background .
489448114.jpg| 1| A boy in his blue t-shirt with a red helmet makes faces to another boy sitting next to him as another boy touches his helmet .
4899608444.jpg| 2| A girl in jean shorts and a yellow shirt is touching her sunglasses .
4901078902.jpg| 3| Children play with touch screen TVs .
490390951.jpg| 0| A person wearing gray converse shoes took a picture of the water barely touching their shoes .
4929237993.jpg| 0| Two sandy blond women embrace an African American bare chested male by touching the top of his head .
4963075437.jpg| 1| A woman in a white tank top and sunglasses on her head is touching something .
4985722941.jpg| 3| A man touching fruit from a street fruit vendor .
5023361024.jpg| 1| A man in sunglasses with a blue windbreaker and black baseball cap holds a hand up to the sea with his fingers touching tips .
503872649.jpg| 0| Adult woman wearing a white wedding dress is standing close to a woman wearing a dark purple suit coat , white blouse and a dark dress talking on her cellphone and touching a basket holding a bouquet of flowers .
5135670352.jpg| 0| A very fair-skinned girl wearing a red and black plaid shirt , blue jeans and boots attempts leans backwards so far that her long blond-hair touches the ground .
5194652258.jpg| 0| A man is standing next to a hairy farm animal of some kind with their faces touching each other .
531119327.jpg| 1| The little girl in yellow is touching the dad who has shaving cream on his face .
5377361.jpg| 0| A little boy in a gray sweatsuit is crouched on one knee and touching a DVD boxed set that 's sitting on the floor .
54242432.jpg| 2| A boy is hanging on a light pole while opening his mouth and touching the light .
5519356022.jpg| 0| Two children dressed as medical professionals touch a baby , while a television is on in the background .
556601134.jpg| 0| An elderly woman in front of a fruit stand touching a package of strawberries .
5608502395.jpg| 1| A man and a boy touching one another 's hands with two other people in the background .
5676123641.jpg| 0| A snowboarder leans his board far to the left and touches the snow as he winds his board down the mountain .
5823026973.jpg| 2| A tattooed man in construction equipment and a harness touches the ground .
5823151095.jpg| 2| A little girl in a pink jacket , touching a sign next to the street .
5896923627.jpg| 1| A little boy sits on an orange chair while touching a computer mouse and looking at a computer screen .
6158752589.jpg| 0| A small boy in a red coat and black snow pants outside of a dinosaur park touching the left leg of a T-Rex statue .
6181621171.jpg| 0| Five Women , wearing beautiful , colorful saris , in a circle , dancing with their hands raised and touching .
