image_name| comment_number| comment
"137422713.jpg| 1| A large group of protesters sitting in front of a sign reading "" We are demanding "" ."
137431253.jpg| 1| A protester holds up a green handwritten sign denouncing the use of children as soldiers .
1419394636.jpg| 2| People are gathered outside for a protest , and one woman in the front is smiling at the camera .
"158857536.jpg| 3| A professed "" Naked Cowboy "" protests outside of the Bank of America building ."
1616086463.jpg| 3| A group of people protesting by selling humans .
1629549272.jpg| 0| A young woman leads a group of French youth in a protest chant against Sarkozy
176673870.jpg| 2| An older woman in a one-piece swimsuit is protesting in the street .
195140746.jpg| 3| A man in a suit is protesting and holding a sign on the sidewalk .
212155635.jpg| 0| Young protesters standing on a street corner standing against exploitation of young people 's rights .
2221349444.jpg| 1| A group of young people waving flags in some sort of protest .
2398919704.jpg| 1| A crowd in which some masked men are holding an apparent protest .
2398922618.jpg| 2| A group of police officers surround peaceful protesters .
2405740253.jpg| 4| A man is protesting in a hard hat .
242338466.jpg| 0| a young boy in an olive green shirt and dark green pants holds up a photo during a peace protest .
2437266971.jpg| 1| Man in business attire with Guy Fawkes mask holding paper at protest .
2467362256.jpg| 2| A young group of people are protesting a sign to protect African Americans from death , or being killed while under custody of the United States Government .
2473188198.jpg| 0| A man and a woman stand in front of Stonehurst Elementary School holding signs which protest against ICE raids in California .
2512585330.jpg| 4| There is protesting going by a group of people outside .
251958970.jpg| 1| A man in an old suit holding up a protest sign in a crowd of people .
258089565.jpg| 2| A man protesting by walking in a thong on a crowded street .
2661294481.jpg| 0| a protest march is crossing the intersection of two streets near to a building with red awnings .
2771105620.jpg| 0| Protesters wearing yellow scarves and helmets form a human wall for other protesters carrying a variety of flags .
2815256108.jpg| 1| Two men are standing in front of a protest sign resting on a red electric box .
285319526.jpg| 4| people are protesting with whistles and megaphones .
"2933516096.jpg| 0| A group of people protesting on the sidewalk holding a sign that says "" time to break the silence "" ."
2988552985.jpg| 3| A man is making an inspirational protest speech .
2993841039.jpg| 0| A large group of people are protesting something on a street-corner .
300022551.jpg| 3| A civilian protest outside guarded by police .
3039214579.jpg| 0| A man in a yellow helmet is walking with a yellow bicycle near a group of protesters .
3064436138.jpg| 0| A policeman assisting a young protester off the ground while the protester objects to his assistance .
3064437860.jpg| 0| A group of protesters in the street waving signs as well as a red flag and a white balloon .
3064443326.jpg| 4| Masked protester surrounded by the police .
3093523191.jpg| 0| A man is walking in front of a bunch of protesting signs and on the right of the photo there are protesters .
3093533301.jpg| 0| A line of protesters are walking in the street ," holding signs that say "" Our Children "," Our Future "" ."
3093715621.jpg| 0| Many people are outside walking while holding protest signs ," the most prominent sign reading "" save our schools . """
3093728951.jpg| 0| A group of protesters is gathered outside wearing coats and holding signs protesting school reform .
3093854697.jpg| 0| A large group of protesters are walking down the street with signs .
3094302882.jpg| 0| A large crowd of protester are wearing jackets and carrying signs .
3094737154.jpg| 0| A crowd of people are holding signs and protesting against school cuts .
