image_name| comment_number| comment
1060605297.jpg| 0| Firefighters converse with a man at the scene of an emergency .
1237177353.jpg| 2| Two women wearing emergency gear are standing in front of an ambulance .
1423335781.jpg| 3| Firefighters relax after responding to an emergency .
1465666502.jpg| 0| The black dog emerges from the water having collected an object in his teeth .
171134073.jpg| 2| A man in a blue shirt emerges from a doorway .
2249034258.jpg| 0| A woman talking on a cellphone and a man with a mustache emerge up the stairs from an underground subway .
2311401527.jpg| 1| An emergency exit map hangs above a doorway where a woman reaches up for something .
2350646648.jpg| 2| Poor family sitting next to the emergency window at a refugee camp .
2504704808.jpg| 0| After an auto accident between the white van and the black car emergency crews work to make sure everyone is alright .
2516266928.jpg| 1| Two emergency responders are treating a patient outdoors .
2528489543.jpg| 0| A child makes a splash in the pool as he emerges from the water chute .
2530468893.jpg| 2| A man is wearing a bright orange rubber type emergency suit and is walking down a hallway  .
2536946133.jpg| 0| Two men from the emergency response unit are trying to figure out what 's wrong with a train .
"2544192243.jpg| 2| An architect hammers a nail ; his hard hat reads "" emergency architects . """
2662816021.jpg| 3| A dog emerges form the water with a stick in its mouth .
2691966747.jpg| 0| The white dog emerges from the tunnel on the course .
2704407589.jpg| 1| Two dogs in a parked red car watch a woman with sunglasses emerge from her car .
2782480767.jpg| 2| A girl is about to emerge from a swimming pool .
2792212974.jpg| 0| A person emerges from a pool of water , the water cascading from their hair .
280706862.jpg| 0| A black dog emerges from the water onto the sand , holding a white object in its mouth .
2846724677.jpg| 1| A crowd gathers on a city street where a large number of emergency fire vehicles have responded .
286660725.jpg| 0| A burst of fire emerges from an experimenter in a darkened backyard .
2873522522.jpg| 0| A rugby player has emerged from the pack with the ball in his hands .
2973340314.jpg| 3| The pilot of a plane emerges from the cockpit .
3262845042.jpg| 1| An emergency worker directs a man pulling a sled with emergency equipment on a snowy path .
3341489212.jpg| 0| Little girl in watermelon swimsuit , emerges from pool and flips wet hair .
3401902253.jpg| 3| A wet dog emerges from deep water .
3471571540.jpg| 0| A black and white dog emerges from a yellow tunnel being coached by a man in a blue shirt at a dog show .
3494151850.jpg| 4| Three rescue workers in an orange boat racing to an emergency .
3565655045.jpg| 0| A scuba diver emerges from the water and pulls himself onto the rocks .
3873835329.jpg| 3| A fireman strings emergency crowd management tape .
390986651.jpg| 3| A woman emerges from her snow covered tent .
4157063493.jpg| 0| An orange and white emergency van is on the street in front of a building with many windows .
447510779.jpg| 0| A bicycle rider looks back at a Santa Cruz firetruck with it 's emergency lights flashing .
4644341405.jpg| 0| Red cross workers and emergency personnel stand next to a wrecked black automobile .
4658409452.jpg| 1| A man stands at the passenger door of an emergency vehicle .
4679111230.jpg| 4| Firemen emerge from a subway station .
4682168919.jpg| 2| A group of emergency workers oversee a massive deterioration on a city street .
4684538785.jpg| 1| Four people in emergency suits and helmets spray water from behind a cement wall .
4715269800.jpg| 1| An emergency worker is looking out the window of a moving vehicle .
4729408045.jpg| 0| An emergency worker uses the jaws of life to cut into an overturned vehicle .
4748815704.jpg| 0| An emergency crew caring for a man with an oxygen mask .
4751764329.jpg| 2| A scene of several emergency workers responding to an auto accident .
4759622530.jpg| 0| A group of teens are walking in front of an emergency vehicle dispatch depot .
4802006144.jpg| 0| A man in a dark shirt is in the foreground of a street with an emergency vehicle and a box truck .
4836132337.jpg| 3| A man in a doctors coat emerges from a building .
4945381466.jpg| 0| A woman sits and eats on the ground in front of the emergency door .
4966261267.jpg| 2| Firefighter and firetruck responding to emergency .
501320769.jpg| 1| A young black girl emerges from the bathroom wrapped in a bathrobe and towel .
527968666.jpg| 3| A wet black dog emerges from the water .
5390483760.jpg| 4| A car is turned upside down in a ditch with emergency workers nearby .
549948800.jpg| 1| Firetrucks and other emergency vehicles are responding to an emergency .
6177260197.jpg| 1| A swim cap-clad man emerges from the water , taking a deep breath .
745880539.jpg| 0| A little brown and white dog emerges from a yellow collapsable toy tunnel onto the lawn .
7492267690.jpg| 0| 3 emergency workers are sitting on their vehicle , while the fourth one is standing and looking intently at something .
75953797.jpg| 4| A very joyous fireman or emergency medical worker .
