image_name| comment_number| comment
11214370.jpg| 4| A man grinding stones with a tool .
1145770960.jpg| 2| A young boy picks up a paintbrush and grins .
1167669558.jpg| 0| The man in the yellow t-shirt is pulling a large grin on his face .
1389651420.jpg| 1| A little boy grinning with a go-cart in the background .
161542404.jpg| 1| A man in a striped shirt is sharpening a tool on a grinding mill .
1673433891.jpg| 0| A grinning man is just about to drill a hole into a pumpkin lying on a table .
1676898063.jpg| 0| A beautiful little toddler has a beaming grin as she is held by a smiling older female .
1680674943.jpg| 0| Two little girls are playing in their house , one is on the floor grinning evilly wearing pink pajamas and the younger one is standing over her wearing a hairnet and mask and purple pajamas .
170273913.jpg| 0| A smiling man in uniform stands on a cobblestone street , surrounded by grinning people in brightly-colored clothes .
1749235955.jpg| 1| A construction worker does some grinding on a piece of iron .
2097650932.jpg| 0| A grinning girl sits in a pink wheeled cart sliding down a green ramp .
2183967273.jpg| 4| A small dog grinding against a stuffed animal .
2202625355.jpg| 0| The boy with the red trunks kicks and grins as he falls back down after being thrown in the air by the man standing in the waist deep water .
2237436639.jpg| 1| Group of men grinding stone in poor conditions .
2343886894.jpg| 4| An extreme sports skier grinding on top of a curved structure
2387197355.jpg| 2| A lady in red and black grins at the camera at a costume party .
2439663077.jpg| 1| A man wearing a mustache and cap stands in front of shopping carts and grins .
2490179961.jpg| 2| Two little brown-haired girls are grinning and squinting their eyes .
2654943319.jpg| 4| A person grinding a ledge on a skateboard .
2678343915.jpg| 0| A metal worker , wearing a leather apron , red gloves , and a face mask , is grinding a weld flat .
2696636252.jpg| 2| A rollerblader grinding a rail and grabbing one foot .
2723043293.jpg| 0| An elderly man , with a striped shirt , grins as he sits at his workbench .
2723963432.jpg| 3| Two grinning girls in white jump on a green sofa .
2759652248.jpg| 4| A snowboarder uses a ramp to grind a rail .
2786245676.jpg| 3| A little boy wearing a red wristband grins as he holds something .
2791348768.jpg| 2| Brown-haired male with a white shirt showing off a grin with open arms .
2795866891.jpg| 2| A skateboard is grinding on a curb with his skateboard .
2796801478.jpg| 4| A skateboarder grinding a lip .
2830276969.jpg| 1| A man wearing a green shirt is grinning at the computer screen with his hand on the mouse .
2846785268.jpg| 2| Rollerblader grinding a yellow road barrier
2877088081.jpg| 1| The teenage boy is grinding a skateboard on a steep rail .
2886837407.jpg| 1| Two children grin and hug each other .
2891961886.jpg| 1| A man on rollerblades grinds a wall .
2902661518.jpg| 3| Skateboarder grinds a concrete railing .
2902844125.jpg| 1| A teenage boy grinds across a bar on his skateboard .
