image_name| comment_number| comment
1095109931.jpg| 4| Woman with a tank top buying green peppers .
1157215900.jpg| 1| A woman in a hat is either selling or buying bread that is stacked in two different woven baskets .
11610969.jpg| 1| People are gathered around and walking buy a display of clothing and other items .
116382784.jpg| 2| A young village girl is making a funny face while buying goods at a market .
118802644.jpg| 2| A man in a blue t-shirt buying something at a deli .
12335073.jpg| 2| An elderly woman buying food from a market stand .
1279461814.jpg| 3| Little girl and buy inside of a church .
1287704027.jpg| 3| The woman is at marketplace buying fish from an Arabic person .
1309153515.jpg| 0| Three people stand in line waiting to buy something to eat at a fair booth selling Martins ' Famous Louisiana Sausage 's ( sic ) .
132099100.jpg| 3| A young woman at an open air market buying bread .
15641879.jpg| 1| A man wearing an Alaska sweatshirt and a baseball cap is buying lottery tickets .
1598809111.jpg| 0| Three oriental woman and girls buying and looking at small prints in a store .
162743064.jpg| 0| A dog is backlit buy the sun as he jumps up to catch a tennis ball .
165984091.jpg| 2| Ethnic people visiting picking fresh food to buy .
189233427.jpg| 3| A black man is buying a drink from a street vendor .
197025804.jpg| 1| An elderly women buying shampoo and conditioner at a store .
2090601289.jpg| 2| A woman buys food from a street vendor in a city while others continue on their way .
210765316.jpg| 2| Customers buying produce during the holiday season .
2127166904.jpg| 3| A group of people are discussing what they need to buy from Walmart
2249094622.jpg| 3| A man selling or buying oranges on a cart in an outside supermarket .
2279380619.jpg| 4| People at a market buying and selling produce .
228280436.jpg| 1| A group of people are buying fruits and vegetables from a stand located in a street market .
2291589859.jpg| 1| Boy in orange sits with produce and waits for a buyer .
2404747797.jpg| 4| Two young kids are buying ice cream .
2534655741.jpg| 4| A man buys roses from a young woman in a white dress .
2557998845.jpg| 2| A woman buys fresh food from a stand at a farmer 's market .
2561190409.jpg| 4| Woman buying white pants in an open market .
2570026554.jpg| 3| Many people collect in an alley to buy goods .
2685727511.jpg| 2| A crowded community marketplace where many people are buying and selling products .
2700873520.jpg| 1| Two people buying a child up to his neck in sand at the beach .
274616931.jpg| 0| A man is looking at some food on a stick to buy for himself or someone else .
2749755023.jpg| 1| People in a crowded flee market searching for things to buy .
275173204.jpg| 4| A woman is buying something at the market .
2784073733.jpg| 0| A woman in a white shirt is buying pre-cut fruit from a man in a market .
2794586343.jpg| 0| Different people buying , and looking at different kinds of vegetables and flowers .
2825540754.jpg| 4| A buy with a pale on a beach .
283757164.jpg| 1| Two women buying a product that the one woman in the green toboggan is selling .
2839953744.jpg| 0| A woman is sitting on a crate as she appears to be waiting for customers to buy her clothing .
2989626215.jpg| 2| People are buying coffee out of the back of a yellow truck .
300839715.jpg| 4| Male tourist talking to a local native child and buying artwork .
3014864380.jpg| 0| A street vegetable and fruit market is lit up at night , a shopper visible toward the back , hand shopping carts at the forefront , and at the bottom left a sign showing that artichokes are on sale for special price when you buy 3 .
309059803.jpg| 1| Many people seem to be selling and buying fish in a fish market .
3135424930.jpg| 1| The lady in the red jacket is helping the other lady decide what to buy .
3165964731.jpg| 3| Men and women at an open-air market buying .
322628645.jpg| 0| An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy , while an Asian man eats a roll and prepares to take some food up with his chopsticks .
3253249189.jpg| 4| Woman in fur coat , hat , buying flowers .
3312232591.jpg| 4| Several people are gathered to buy things from a small market .
3321715926.jpg| 3| Customers buy cut raw fish at the market .
3344204646.jpg| 4| A lady buying colorful spools of yarn from another lady .
3361630301.jpg| 2| A woman in a mass retailer store is buying a cart full of large yellow dog food bags .
3373544964.jpg| 0| A buy with glasses petting his bulldog , on the pavement with woods in the background .
337378227.jpg| 3| A man buying pastries in a grocery store .
3441966720.jpg| 1| a store with filled with a lot of bags as someone buys
3451360781.jpg| 0| A yard laborer is cutting grass with a push lawn mower buy a busy street and a parking lot .
3461583471.jpg| 2| A buy is grinding a rail on a snowboard .
3487533923.jpg| 0| A barefoot woman in a white skirt and purple shirt is buying something from a cart vendor .
3504379205.jpg| 1| Two women looking at a food vendor , considering if they want to buy something .
352008012.jpg| 2| A woman decides which tasty snack to buy from a vending machine .
3532476966.jpg| 0| At an outdoor market , a small group of people stoop to buy potatoes from a street vendor , who has his goods laid out on the ground .
3564548129.jpg| 0| A group of people are standing before a food truck and buying something .
3576741633.jpg| 4| A buy skateboarding at a skate park .
3611603026.jpg| 4| A woman with a silver bag buying food .
3652094744.jpg| 4| A small buy waters a plant with a watering can .
3671957239.jpg| 2| A man in a blue shirt buying an item from a woman in a white shirt at a farmers market .
368332373.jpg| 4| A man wearing a black jacket buying fish .
370614351.jpg| 2| Punk rocker buys computer ink in the big-box store .
3735413775.jpg| 3| A chef buying fresh produce for the restaurant .
3805877081.jpg| 4| A person getting ready to buy merchandise .
3816130053.jpg| 1| People buy fruits from a stand carrying melons , apples , and other fruits .
3829614604.jpg| 3| People buying and selling fresh fish by the beach .
3831987297.jpg| 2| A group of produce buyers inspecting fresh produce .
3840834941.jpg| 4| Two ladies buying from a market .
3872838863.jpg| 3| People are buying and selling fruit in an open air market .
3881645432.jpg| 1| A woman employee at a best buy seems to be using the computer .
3916066890.jpg| 2| People are buying food from a temporary food vendor .
3937722644.jpg| 3| Asian Greyhound buy traveling somewhere .
393987665.jpg| 0| The woman in the red jacket looks as if she was buying something from the open air vendor .
3947729724.jpg| 3| A woman with sandals and a gray shopping cart buying grocery 's .
3963089141.jpg| 0| This is a very dark picture , perhaps taken at night , of three people with their backs to the camera buying goods from two men at a booth .
3979490668.jpg| 0| An elderly woman is buying toilet paper , milk , and other groceries in a store .
3989068834.jpg| 0| An older Indian lady buys herbs from an outdoor market .
4016499639.jpg| 1| A girl with a pink handbag buying a hotdog at a hotdog cart .
4024855306.jpg| 4| A peoples buy any vegetables
402668805.jpg| 3| A young buy kicking in his karate gi next to another child .
4059413955.jpg| 0| Customers are standing in line to buy something to eat .
410604272.jpg| 3| People in a market buying fruits and vegetables
4109591035.jpg| 1| Two boys are thinking of what they want to buy and two boys picking up money they dropped .
4122709463.jpg| 0| People buying groceries after massive earthquakes had hit their hometown in recent weeks
4146150983.jpg| 3| A soldier and his daughter are buying lunch .
4156088769.jpg| 1| Several people buying empanadas from a small empanadas store .
4162939402.jpg| 2| People buying food from an outdoor seller .
4166059793.jpg| 0| A girl wears a red dress with a striped shirt as she point to a book held buy a woman in a blue sweatshirt .
4168953376.jpg| 2| Lots of people at a place buying stuff from a food car .
4183609474.jpg| 0| A young man trying to buy a car from his dealer after his old car was towed away by police .
4195925662.jpg| 2| A man with a hat and blue jacket buying something at a marketplace .
4213647132.jpg| 4| A train is being worked on buy three men .
4268234398.jpg| 1| A man in dark clothing is standing on a sidewalk near a place to buy Christmas trees .
4303786905.jpg| 1| A couple people at a museum looking in the gift shop , potentially going to buy something .
434469662.jpg| 0| A bald man in a red shirt and khaki shorts buys something from a woman wearing a visor in a store .
4415963345.jpg| 1| There are 5 women in this picture and four of them are buying some items form other women who is wearing a orange color saree .
4467431522.jpg| 1| A woman buying flowers from a man in a flower stand .
4524361920.jpg| 1| A woman wearing a long black leather coat and knee high black boots , with a big floral print diaper bag , buying a newspaper .
4546399422.jpg| 0| A man in a blue sweatshirt buys a bratwurst from a man in an orange shirt and a blue hat , the bratwurst costs one euro .
4551202777.jpg| 3| Two young Asian women buy food from a Japanese food establishment .
4562512283.jpg| 3| A clerk in a convenience store asks a customer buying alcohol for his age and identification .
4566836984.jpg| 0| Women in headscarves buy and sell food at outdoor market .
4584450444.jpg| 3| At a supermarket , people are buying their groceries .
4595115036.jpg| 4| Someone with a bike is buying produce .
4617982332.jpg| 1| One man and two women standing buy a grill eating and cooking out .
