image_name| comment_number| comment
100577935.jpg| 0| A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .
100716317.jpg| 0| A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings .
1044434135.jpg| 1| This photo takes place in a busy street in an Asian city where people are riding bikes and walking .
1096395242.jpg| 0| A young boy with his foot outstretched aims a toy at the camera in front of a fireplace .
109741554.jpg| 0| A man shovels snow off of a roof while another stands in the contraption that allowed them to reach the high place .
1101207553.jpg| 1| Two dock workers and small boat guiding a cruise ship to place to tie up on dock .
1131804997.jpg| 0| Two men with backpacks placed in front of them sitting in front of a railing .
11536856.jpg| 4| An elderly woman places carrots into a casserole .
1157215900.jpg| 0| A woman in an outdoor marketplace , wearing a large cone shaped hat , standing behind two large baskets containing loaves of bread .
1223671563.jpg| 4| A crowd watching construction work taking place .
1262808368.jpg| 3| The women with shorts has her hand placed on a white car .
1271210445.jpg| 0| A birthday celebration taking place for a girl who has reached age 5 .
1287704027.jpg| 3| The woman is at marketplace buying fish from an Arabic person .
1312440023.jpg| 0| Young men and women sit at a wooden table on which several partially-drunk beverages have been placed ; the picture is interrupted by an outstretched hand , colored green in the odd light of the wood-paneled interior .
1332790049.jpg| 3| A marketplace with rolling carts selling fruits .
1364148267.jpg| 2| A city worker places a street cone device which is verified by his colleague .
139540338.jpg| 4| A man is shining shoes in a marketplace .
1395410911.jpg| 2| Many people are walking along the sidewalk in an Asian marketplace .
1401998185.jpg| 0| A white man in South Africa with a megaphone standing near a street sign that gives directions to the AFL Premiership cup , Johannesburg and several other places .
1405665934.jpg| 1| Sitting casually in a public place , a girl reads holding the book open with her hand on which is a butterfly ring .
1423449879.jpg| 3| Many people walk around what appears to be an outdoor marketplace .
1433262517.jpg| 1| A person with scissors shapes a list to be placed in front of a bottle .
1484711469.jpg| 2| A large excavation is taking place in a city .
1491192153.jpg| 1| a young child being placed into a child swing by another adult
150650816.jpg| 0| A young girl holds a younger boy , possibly her brother , surrounded by adults , in a public place .
1510926782.jpg| 0| A woman holding a flower stands in front of a marketplace tableau of vibrant green produce , including , lettuce of various types , cactus , radishes , and various herbs .
