image_name| comment_number| comment
1000092795.jpg| 2| Two men in green shirts are standing in a yard .
1000344755.jpg| 0| Someone in a blue shirt and hat is standing on stair and leaning against a window .
1000366164.jpg| 0| Two men , one in a gray shirt , one in a black shirt , standing near a stove .
10010052.jpg| 0| A girl is on rollerskates talking on her cellphone standing in a parking lot .
1001465944.jpg| 0| An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .
100197432.jpg| 0| Some women are standing in front of a bus with buildings behind it .
100207720.jpg| 4| A standing woman holds a pan over a cake .
100444898.jpg| 0| A person in gray stands alone on a structure outdoors in the dark .
1005216151.jpg| 1| A large crowd of people stand outside in front of the entrance to a Metro station .
100652400.jpg| 0| A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .
100716317.jpg| 1| A person dressed in a blue coat is standing in on a busy sidewalk , studying painting of a street scene .
1007205537.jpg| 0| A man stands on one foot while holding on to a waste basket .
10082347.jpg| 0| Young blond man in a blue and yellow jacket smiling while standing in front of a net .
10082348.jpg| 0| A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug .
1009692167.jpg| 0| An officer in a reflective vest stands at the front of his van with his dog .
1010031975.jpg| 2| Five men in white short-sleeved shirts and ties stand in a parking lot .
1010087623.jpg| 2| A woman is sorting white tall candles as a man in a green shirt stands behind her .
1010470346.jpg| 0| two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by
1011572216.jpg| 3| A groom and bride are standing arm in arm .
1012212859.jpg| 0| White dog with brown ears standing near water with head turned to one side .
1013536888.jpg| 0| Women are seated at a picnic table eating , while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background .
1015118661.jpg| 1| A little boy is standing on the street while a man in overalls is working on a stone wall .
1016626169.jpg| 1| A crowd is standing and waiting for the green light .
1016887272.jpg| 1| Seven climbers are ascending a rock face whilst another man stands holding the rope .
1018148011.jpg| 0| A group of people stand in the back of a truck filled with cotton .
10188041.jpg| 1| A man is standing in front of a small red object that looks like a plane .
1021332107.jpg| 0| An elderly man with facial hair and glasses , standing in his living room holding a hutch cabinet with glass doors .
102268204.jpg| 0| Three men are standing at night near a black car near a shelter filled with bicycles .
102351840.jpg| 2| A person standing on a frozen lake .
102575576.jpg| 0| A couple in their wedding attire stand behind a table with a wedding cake and flowers .
102617084.jpg| 1| Five people wearing winter jackets and helmets stand in the snow , with snowmobiles in the background .
1026792563.jpg| 0| A group of woman and children are standing or sitting in front of rows of vegetables .
102851549.jpg| 3| Two people are sitting on a bench , and one women is standing by them .
10287332.jpg| 0| Two men sitting on the roof of a house while another one stands on a ladder .
103205630.jpg| 0| Two men , standing on an ice , looking into something covered with a blue tarp .
1032122270.jpg| 0| Three dogs are standing in the grass and a person is sitting next to them
1032460886.jpg| 1| Behind the man in a red shirt stands a large skyscraper .
103328091.jpg| 0| A Asian male wearing a red shirt is sitting next to a grocery stand selling fruits .
103953336.jpg| 0| Someone is standing on a long bridge with a cloudy blue sky in the background .
1039637574.jpg| 1| A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown .
10404007.jpg| 1| A baby boy crying standing on a field of grass .
1040426962.jpg| 0| A man is cooking what appears to be green beans in a grill basket on a grill with a yellow lab standing by him while someone takes a picture from above .
104285082.jpg| 2| Gray-haired man in dress shirt plays the bassoon while reading sheet music from a stand
1043819504.jpg| 0| A group of 11 people in winter wear such as beanies , skiing jackets , gloves and backpacks are standing in snow paddles outside a house made of ice blocks while a person in front of the door seems to be leading them .
1044764620.jpg| 1| A man is standing on a ladder painting bricks
1044798682.jpg| 1| A man in a white shirt stands high up on scaffolding
104700891.jpg| 0| A man wearing a gray jacket and blue work pants is standing in a hole in the ground
1047921035.jpg| 0| A man in a bandanna and a dirty t-shirt , and a woman in a graphic t-shirt , are standing next to a oblong hole with smoke coming out .
105077209.jpg| 0| A man with a badge is standing on a wood floor next to a structure .
1051953669.jpg| 3| A little girl stands in a backyard , holding a toy and looking into the camera .
1057210460.jpg| 0| A guy stands by a window taking his overshirt off .
1061467336.jpg| 0| A few firefighters , wearing black , yellow , and pink jackets , standing next to a firetruck .
106300392.jpg| 0| A man in an orange hard hat and vest looks at an object in his hand while the man next to him stands on a ladder in order to reach the ceiling .
106356264.jpg| 0| A newsstand so packed with magazines , candy and coke-a-cola products that the smiling woman working behind the counter is easy to miss .
1063866640.jpg| 0| Four men are sitting near a tree talking while another stands looking at a body of water and another is rowing a boat .
106514190.jpg| 1| A hiker standing high on a bluff overlooking the mountains below .
1066831905.jpg| 1| A man and a woman are standing behind an elderly man who is looking at a bush .
1068427675.jpg| 1| A guy wearing all black at a bowling alley standing in front of a lane with a black bowling ball in it .
1079742005.jpg| 4| A person stands by a white cross overlooking a bay .
107985741.jpg| 0| A group of people on a riverbank some sitting on the grass some standing .
10815824.jpg| 4| A girl and her horse stand by a fire .
1081595465.jpg| 1| Several workers in orange vests are repairing tram rails , as onlookers stand by .
1082250005.jpg| 0| A woman wearing a pink shirt and red apron stands in her restaurant holding food and surrounded by bagged breads , a microwave and the chalkboard menu up on the wall .
1082252566.jpg| 2| A large skinny dog stands near two smaller dogs in the dirt .
10863862.jpg| 1| A man in a yellow vest is standing on the wall above the scaffold .
108656820.jpg| 0| A group of people are either standing or sitting , some are wearing hats and scarves , while some are not .
1088767354.jpg| 0| The girl in the salmon colored bikini is standing next to two young people ; one is wearing a black outfit and the other is drinking pop .
1089755335.jpg| 0| A woman stands with children on a boardwalk at night overlooking the sea .
1092437557.jpg| 2| a smiling woman in a peach tank top stands holding a mountain bike
109260218.jpg| 3| People stand inside a rock dome .
1093737381.jpg| 1| A woman in a blue dress stands with a chalk portrait of two children playing by a stream .
1094462889.jpg| 1| A tan dog stand in the snow and looks up .
1094671386.jpg| 3| Asian girls in white t-shirts standing around a motorcycle .
1095109931.jpg| 0| A woman smiles while holding several green peppers at a grocery stand .
10956999.jpg| 2| Two men stand behind a grill near the ocean .
1095980313.jpg| 1| Little girl in blue swimsuit standing on a handrail near a beach .
109608573.jpg| 1| A man in a white t-shirt standing beside a rack of colorful hats .
109671650.jpg| 1| A boy in yellow shorts is standing on top of a cliff .
109738916.jpg| 0| Two helmeted men sit on yellow snowmobiles while another man stands behind watching .
109741554.jpg| 0| A man shovels snow off of a roof while another stands in the contraption that allowed them to reach the high place .
109982467.jpg| 2| Three young children stand around a blue and white barrel .
1101207553.jpg| 2| Two men in orange and blue safety gear stand on the dock guiding a boat inward .
110269384.jpg| 3| A lady is sitting down tending to her stand .
110590591.jpg| 0| People are standing around an American flag that is spread out , facing the wrong direction .
110613709.jpg| 2| A man in a blue button-up is standing in a room , holding his glasses .
110647073.jpg| 1| A group of workers in the desert , two with wheel barrels and two just standing around .
110671448.jpg| 0| A woman standing with 3 other people in a store with two tables , some shelves with coffee and tea for sale , and a refrigerated drink case .
110695011.jpg| 0| A man wearing a black jacket and gray slacks , stands on the sidewalk holding a sheet with something printed on it in his hand .
111061041.jpg| 0| Two men in a tennis court in a city are standing on either side of the net talking to each other .
111201721.jpg| 0| A young boy in a yellow shirt is jumping in a grassy area with a younger boy , in a white shirt , standing behind him .
