image_name| comment_number| comment
100207720.jpg| 0| A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .
100577935.jpg| 1| A man is putting a tattoo on a another 's man upper back .
101262930.jpg| 1| A man in sunglasses puts his arm around a woman in a black and white blouse .
1034276567.jpg| 0| A small boy putting something in his mouth with both hands .
1047921035.jpg| 3| Two people , one man and one women in the woods putting something in a tub .
1054620089.jpg| 0| A woman in jeans and a red coat and carrying a multicolored handbag spreads put her arms while leaping up from a cobblestone street .
1057210460.jpg| 2| The man is putting on his shirt near an elevator .
109380144.jpg| 4| A girl sitting down puts her shoe up to a guy 's face .
111285749.jpg| 4| A man is putting up a poster in front of a shop .
1122177096.jpg| 3| Tiger woods putts a golf ball toward a hole .
112604461.jpg| 3| Two men are working on putting together a wooden frame .
113637264.jpg| 3| A man is putting up a wall .
1136497229.jpg| 0| A woman wearing glasses puts her hand on the shoulder of a young child as they sit at a flat wooden surface .
11382381.jpg| 1| A woman in a green tank top puts a horseshoe on a horse .
1145145003.jpg| 0| A person trying desperately not to be photographed by putting their sweater over their head as they compute .
114949897.jpg| 4| Three people put up a batting cage .
115684808.jpg| 2| Three people in the snow put their gear in order .
116457850.jpg| 0| Four men working putting a tree into the ground , two are looking away , while the other two are shoveling the tree into the ground .
1167908324.jpg| 2| A man stands next to a bank of computer gambling machines .
117883760.jpg| 4| Group counseling session listening to computer .
118939861.jpg| 0| Two bald men in a bedroom with one man working on a desktop computer and the observing while seated on the bed next to him .
120474559.jpg| 0| A man is sitting in front of a computer monitor holding a keyboard and looking at the camera .
121197973.jpg| 0| A man in some sort of establishment , smiling while he is taking off or putting on glasses .
122190424.jpg| 0| Three men with reflective safety jackets are watching two men in reflective jackets put rocks into a hole in the road .
1225603792.jpg| 0| A man and women outside , the women is in a boat and the man is holding something in his hand putting it up to the women 's mouth while wearing sunglasses .
123628218.jpg| 2| Three people are working on computers in a crowded office .
126594141.jpg| 2| A female soccer player crouches to put on her shoes .
1269021329.jpg| 0| A woman works on a piece of computer equipment , while surrounded by a variety of mechanical and computer equipment , in what appears to be some type of laboratory workroom .
127149546.jpg| 0| A man looking at the back of a computer wires inspecting the job he has done .
127480623.jpg| 1| A man is putting in an order at the kitchen of a restaurant .
129269068.jpg| 4| A man putting spackle on the wall .
1303573561.jpg| 4| A man putting something in a boat .
1315402173.jpg| 4| A young boy puts his hands on a pumpkin in a pumpkin patch .
133031387.jpg| 1| A woman with red-hair is putting on eyeshadow in the mirror .
1362206741.jpg| 0| A woman works at her computer inside a large office housing several rows of desks .
1377428277.jpg| 4| A man at a gather putting together a balloon animal .
1379026456.jpg| 0| A man with headphones on is looking at a computer screen while sitting at a table .
1403857072.jpg| 0| two guys one in red and the other in black sitting at computers
1409702228.jpg| 3| A man in a black is putting honey on something .
1409784126.jpg| 0| A group of ladies with computers sit behind a table while people on the other side purchase something .
141841337.jpg| 0| A man wearing a gray hooded sweatshirt , blue jeans , and white and gray socks is putting his foot on top of his head .
1425529973.jpg| 1| A worker wearing work boots stands on some aquariums as he puts fish on a weighing scale .
1433937960.jpg| 4| Man putting on a performance for the kids .
1454217779.jpg| 0| A young man , wearing a gray jacket , is in a museum looking at a statue of a lizard and putting his face with his tongue stuck out into the lizard 's mouth .
145558685.jpg| 4| A woman puts the firewood in order .
1464120327.jpg| 1| A little boy puts his face up to the uniquely-shaped window .
146479462.jpg| 1| An African dressmaker puts the finishing touches on a garment while two women watch .
1472653060.jpg| 2| A man is cutting up food to put in bowls of food at a food court .
1478576516.jpg| 0| A group of workers begin to put up the metal frame of a future building .
1491192153.jpg| 0| A man putting a little boy wearing orange into a child swing .
1501297480.jpg| 4| A boy tries to put a screen on a window .
1512770347.jpg| 1| A man in a collared shirt putting a framed painting on a red wall .
154656621.jpg| 2| Two boy put their hands together while another boy goes under their hands .
1571875240.jpg| 0| Two boys are helping a middle-aged man put the groceries onto the conveyor belt .
160394722.jpg| 1| A child is putting together a large world puzzle map while grownups watch .
1609454863.jpg| 1| The small boy is sitting on the floor and putting on a pair of jeans .
16158623.jpg| 1| Two guys climbing a red ladder putting letters on a brown building .
