image_name| comment_number| comment
100652400.jpg| 3| A construction worker is standing in the street and holding a red flag .
102860573.jpg| 0| A construction site on a street with three men working .
1044764620.jpg| 2| A construction site with building material .
1055753357.jpg| 0| Two construction workers are sitting up on the side of a building .
1071201387.jpg| 4| A construction worker holds a sign about bicycling .
1081595465.jpg| 0| A group of construction workers dressed in orange safety vest sit on the ground assembling a railroad track .
1082608010.jpg| 0| A construction worker in a neon vest is working with electrical equipment while sparks fly .
10863862.jpg| 0| An older , male construction worker wearing a yellow vest climbing down from the roof of a building onto scaffolding .
110647073.jpg| 0| Two men pushing wheelbarrows , two men looking at them , they are in the desert near some block construction buildings .
111811048.jpg| 0| A man is crossing the street and in the distance you can see a building under construction .
11214205.jpg| 1| Three construction workers in bright vests prepare road to be worked on .
11214470.jpg| 0| Two men in construction vests are working on the side of a street with machines .
11220707.jpg| 0| A construction worker standing on the roof of a house wearing an orange vest with a yellow hard hat .
1148889628.jpg| 0| A construction worker in jeans is standing on a scaffold holding on to a metal frame with a city backdrop .
1149286224.jpg| 0| There is a shirtless toned white man standing on a balcony of a construction site and holding some sort of tool .
116457850.jpg| 3| Five construction workers dig a hole to plant a tree .
116569046.jpg| 0| Two men in hard hats on the roof of a building that is under construction .
118707970.jpg| 0| A man in a blue workers outfit with a yellow construction hat examines the side of a brick building from the top of a ladder .
118708295.jpg| 2| Three construction workers dressed in bright orange are working on a road .
118854260.jpg| 4| A woman cutting construction paper for a detailed project .
1190951807.jpg| 0| A man wearing an orange construction hat wipes his face , while another man in an orange construction hat hoists something up on a chain pulley , while standing in front of some fire .
1191939974.jpg| 0| A man wearing a construction hat and gloves works with machinery .
1196432301.jpg| 0| A half dozen construction workers stand beside a large piece of equipment .
122188825.jpg| 0| A construction worker in a yellow vest digs in the street while a second worker looks on .
122190424.jpg| 1| A construction crew working at several spots on the road .
1223671563.jpg| 1| Several people are behind a fence , watching a nighttime construction crew working on a road .
122868800.jpg| 1| Two men take measurements of a wall at an open construction site .
123244147.jpg| 0| A constructions site on the side of the mountain with a bulldozer digging in the ground that is all dirt
1283466.jpg| 0| There is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .
1364148789.jpg| 3| A man in a blue shirt is standing close to a construction area .
13652901.jpg| 1| Two construction workers talk while looking at a Naval ship .
1424170200.jpg| 3| Firemen are lowered into a construction area .
1429383749.jpg| 0| One little boy sitting in a forklift in a construction area during something very dangerous .
143149186.jpg| 0| A man in a hard hat is driving a large piece of yellow CAT construction equipment .
143793054.jpg| 0| A man in an orange shirt and white hard hat stands in front of an orange construction vehicle as it dumps dirt into a truck .
1441148458.jpg| 1| A shirtless construction worker smiles in a half-constructed house .
1478576516.jpg| 4| Men working on construction project .
1484711469.jpg| 1| Construction workers are working on a construction project .
14919212.jpg| 4| A guy is working in construction in what looks like a swamp .
1522291943.jpg| 1| Three construction workers are working on a scaffolding .
153374075.jpg| 0| A construction worker working on a building .
153374889.jpg| 0| A group of construction workers working on a ramp that is closed .
1538278785.jpg| 2| Some construction workers are on a platform doing work to a building .
153963868.jpg| 1| A man wearing an orange safety vest and a hard hat is operating construction equipment .
1542970798.jpg| 3| A construction worker in jeans is climbing scaffolding .
161456716.jpg| 1| A construction worker holds up a stop sign to flag down traffic .
162060045.jpg| 2| A construction worker crouched and working on a busy street wearing a bright vest .
171133671.jpg| 3| An older man with a dirty shirt is working in construction .
1720431026.jpg| 0| There are construction workers on the corner of Hemlock and one is walking away .
173227546.jpg| 0| A man in a yellow construction hat with a tool bag on his back , is drilling a wall labeled superior walls .
1749201369.jpg| 1| A construction crew working on railroad tracks .
1749235955.jpg| 0| A man in yellow construction safety gear is working on a large piece of metal .
1750167036.jpg| 0| A group of six men work on a railroad track dressed in construction green jumpsuits .
180146696.jpg| 0| The man in the red , hooded sweatshirt looks back and construction is taking place on a shop with Hebrew lettering .
180150786.jpg| 0| Men stand by the road , where construction is being done on the corner in a small suburban area .
