image_name| comment_number| comment
13061918.jpg| 1| A man riding a bike is chatting to a man wearing a blue uniform .
135911244.jpg| 2| Two officers in uniform chatting in a golf cart .
135980645.jpg| 4| Woman in white top chats while slicing bread .
1399295078.jpg| 0| Two men wearing suits are chatting while one is holding a bottle of water .
1457762320.jpg| 0| A group of men chat and drink water from water bottles while standing by their bicycles .
1497927568.jpg| 3| Three ladies chat wearing silver leggings and matching wigs .
161877800.jpg| 0| People sitting at tables outside chatting while a musician gets ready to play bass .
1679732375.jpg| 1| A couple relax and chat on a park bench while enjoying a scenic fall view of the landscape , framed by the trunks of trees .
170876266.jpg| 4| Three women chat while sitting in a waiting area .
174611183.jpg| 0| The guy in the gray Wagamama t-shirt seems a little tipsy as he chats with the woman smiling wearing a brown dress and Mardi Gras necklaces holding a glass of ale .
1784309115.jpg| 0| A woman in a small pink bikini chats on a cellphone while a man looks on outside a city shop .
2038662925.jpg| 4| Two people with bicycle helmets chatting on a bench .
205635075.jpg| 0| People who work in a restaurant are out on the balcony chatting with each other , one in black is sitting on the ledge .
2057898230.jpg| 3| Three people chatting underneath an umbrella .
2225611270.jpg| 4| A group of hikers is chatting .
2256447557.jpg| 2| Young women chat after a stroll along the beach line .
2443244771.jpg| 4| Three people enjoying a chat together .
2507831979.jpg| 2| A woman is chatting as she drinks her coffee .
2517637587.jpg| 0| A man in a plaid shirt wields an accordion while chatting to a couple of friends on a busy sidewalk .
2561310673.jpg| 0| A group of men are chatting about the boat on display .
2647166526.jpg| 4| Two women in tutu 's and leg warmers stop for a chat .
2654018684.jpg| 2| Two housewives are chatting next to a small child .
265859667.jpg| 1| Two older men are sitting outside under a blue and red umbrella while chatting about the day .
2667242810.jpg| 4| The organizers of the fundraiser were chatting at registration .
271572671.jpg| 2| Two men stop on the sidewalk to chat as a third passes by .
2719557723.jpg| 0| Rays of sunlight poke through the slits of a house and illuminate a man and a woman as they chat .
2724761798.jpg| 0| Two women drink coffee and chat while sitting on a blanket near a rocky shore .
2729685399.jpg| 3| Young people chat outside near a buzy street .
2762599124.jpg| 3| A man and a woman are chatting while sitting next to a black gate .
276431387.jpg| 4| A man sits at a table chatting with a woman who is looking at a book .
2773744784.jpg| 3| Two well-dressed men chat .
284312563.jpg| 2| A man and women are out at Farmosa looking at menus as they chat .
2906759254.jpg| 0| An artist paints a picture in a outdoor public area while several men sitting on benches chat , read and eat .
2932553502.jpg| 3| Men and women chat while holding tennis rackets .
2960717658.jpg| 1| A man plays the piano while several people chat around the kitchen island .
3079917032.jpg| 3| A woman in a red sweater walks past two younger women who are chatting .
3085588890.jpg| 2| Three women and a man in office garb stand around chatting .
31326591.jpg| 1| Three friends chat in the backyard during a hot summer day .
3190172940.jpg| 2| Here are a bunch of people enjoying dinner and chatting .
3192645199.jpg| 4| Three people chat on a bus .
320779082.jpg| 1| Several people are standing and chatting in a room with many empty chairs .
3226105839.jpg| 1| A group of four men drink bear and chat at a food establishment .
3336211088.jpg| 4| A small group of people is chatting in a city plaza .
3377043632.jpg| 4| Women chatting at an event outside .
