image_name| comment_number| comment
1000344755.jpg| 0| Someone in a blue shirt and hat is standing on stair and leaning against a window .
1010470346.jpg| 1| A man leans into a car to talk to the driver , as a man on a bicycle looks on .
102520526.jpg| 3| A person is cleaning snow and ice off of a city sidewalk .
102998070.jpg| 0| A young man in a blue sweater cleaning fish while three other men watch , one a man a cigarette , or match in his month .
103625356.jpg| 0| A man in a black shirt crouches next to a dirty unfinished concrete edge while several shovels and other tools lean against a tree nearby .
1044798682.jpg| 0| A man wearing a hat and a white shirt is cleaning windows .
1051205546.jpg| 3| Two women in colorful clothing are cleaning the road .
1052358063.jpg| 1| A child is performing a skateboard trick while another child with a skateboard leans on a wall .
1075881101.jpg| 1| A person covered in soapy water is getting cleaned off .
1079742005.jpg| 1| A person overlooking the view from above , while leaning on a cross .
1082223338.jpg| 1| woman with blue gloves working on the sidewalk with some cleaner
109608573.jpg| 0| A man in a white shirt is outside leaning against a rail with hats hanging beside him .
109741554.jpg| 1| Two men cleaning snow from a roof , one 's in a lifter , while the other is actually on the roof .
11214370.jpg| 1| A man with a safety vest is kneeling down and cleaning the bricks .
112945950.jpg| 0| A couple sit on a ledge by the water , the woman leaning forward , the man looks out towards the water .
1145718750.jpg| 1| A young boy dusts and cleans bronze statues at his summer job .
1145722716.jpg| 1| Two young men clutch rags in their hands as a elderly man tells them how to clean the large cross .
1145730606.jpg| 1| A woman is holding a cleaning brush while someone is holding her up over a door frame .
1149286224.jpg| 1| A shirtless man leaning off scaffolding surrounded by hanging yellow fabric .
115275691.jpg| 1| A man doing clean up work of brush around a public area .
1158897994.jpg| 0| A man in a baseball cap cleans out a blue colored pit outside where colorful Christmas lights hang above him .
117919518.jpg| 0| A man leans against a rock pillar with his back to an ongoing parade decorated with white and pink balloon arch .
118707970.jpg| 1| A man with a yellow hard hat is standing on a ladder that is leaned up against a building .
118708295.jpg| 1| Three road workers in orange jackets and pants clean up with a wheelbarrow .
118865844.jpg| 1| A woman in a pink sweater and an apron , cleaning a table with a sponge .
120889725.jpg| 1| A large stick filled with cotton candy to sell leans up against a wall .
121971540.jpg| 0| Two people outside cleaning windows while on a ledge of a boat .
