image_name| comment_number| comment
1014609273.jpg| 1| A kid in a red sweatshirt is reaching to hand something to a man in a white shirt
1053243591.jpg| 0| Young woman holding a bottle , reaching out from a bench to shake a man 's hand .
106300392.jpg| 0| A man in an orange hard hat and vest looks at an object in his hand while the man next to him stands on a ladder in order to reach the ceiling .
109741554.jpg| 0| A man shovels snow off of a roof while another stands in the contraption that allowed them to reach the high place .
110637863.jpg| 1| A soccer player in a green uniform with a ball in is hands is being held up by some of his teammates , while an opposing player in red reaches for the ball .
11391827.jpg| 0| A man in a brown uniform reaching out from an industrial doorway , as if he is going to shut the door .
1145730606.jpg| 0| Someone is holding a young women on their shoulders for her to be able to reach the area she would like to use a wire brush to scrape off peeling paint .
118647903.jpg| 0| Two soccer players , one wearing a white uniform and the other in red , try to reach the soccer ball first .
1193116658.jpg| 1| The girl on the unicycle reaches out for the child on the scooter .
124534466.jpg| 2| A woman in blue and pink reaching out for a hug from the blond-haired boy
1271210445.jpg| 0| A birthday celebration taking place for a girl who has reached age 5 .
1287905264.jpg| 0| a child reaches up into the air as a woman stands to his left and another person is seen wearing jeans to his right
1289953720.jpg| 0| A blond lady is reaching for a light in IKEA .
1316458112.jpg| 2| A man in a dark jacket stands next to a man dressed in brown reaching down into a bag .
131890223.jpg| 0| A scuba diver who has descended to the bottom of the ocean floor reaches out to pet a large sea turtle .
1336391319.jpg| 1| A person reaches for a fallen item while holding a rolling cart carrying Dole crates .
134283905.jpg| 3| A boy reaches the top of a jungle gym .
136639119.jpg| 1| A man climbs up a cliff and reaches an overhang .
139818748.jpg| 0| A man wearing headphones and a checkered shirt with tan jacket reaches inside his jacket while crossing a busy street .
1402640441.jpg| 2| A young boy wearing a red bathing suit reaches for a soccer ball .
1408677769.jpg| 4| A blond woman is reaching to complete a dig while playing beach volleyball .
1410193619.jpg| 0| Small girl in a teal dress on the arm of a chair reaching for a floor lamp .
1417941060.jpg| 0| An infant sitting on a cot reaching over to touch the face of an older boy .
1418503947.jpg| 3| A man reaches into his pack for a cigarette .
1442562321.jpg| 2| Young children , all reaching around an unseen object .
1463638541.jpg| 0| A person is climbing and has nearly reached the sign at the top
156249400.jpg| 0| One man wearing camouflage pants and green t-shirt stands with one foot on a square while another man wearing the same type of clothing reaches out with a baseball glove on his left hand .
156642718.jpg| 3| A baby sitting on a rug reaching for a guitar .
165764051.jpg| 1| A young boy in a green and beige uniform is reaching to catch a ball in a glove .
17484203.jpg| 0| A man with bandanna hold a rattle in his left hand while reaching for a snake with his right over a blue carpet and next to a large branch .
1786425974.jpg| 1| A person reaches for a large gray dog while a black dog trails .
18111123.jpg| 1| A young girl with ponytails is reaching up to blue bars and crying .
181157221.jpg| 0| Two dogs try to reach each other as their human companions pull them in opposite directions by their leashes .
186487635.jpg| 2| A man wearing red pants about to reach the ground .
191592626.jpg| 1| A mountain climber has reached the top of a brown rock .
192309867.jpg| 0| A woman uses a ladder to reach the higher portion of the wall to paint it .
19787273.jpg| 0| A woman wearing jeans is reaching into a large box while a man wearing jeans stands beside her .
200553102.jpg| 0| A large mechanical claw reaching for something with people watching .
2045023435.jpg| 3| A brown dog reaches for a tennis ball .
2060472076.jpg| 4| An elderly male is reaching for a crate .
206373157.jpg| 0| A man in a white shirts reaches upwards in front of a group of long pipes .
2064417101.jpg| 2| Three greyhounds reach the finish line .
2106679648.jpg| 1| A man in a black jacket with glasses is reaching into a blue bucket .
2113530024.jpg| 1| Footballers are scrambling around the goal as the goal keeper reaches for the ball .
216172386.jpg| 3| The motorcyclist has reached the summit .
2164363131.jpg| 0| A person holding a Frisbee just out of reach of a white dog on a rural road
2169067981.jpg| 2| Two boys playing tug-of-war while one reaches out to chair on left
2191566772.jpg| 2| One woman looks at a camera while another reaches toward her .
2197552440.jpg| 4| Tennis player trying to reach the ball .
219843860.jpg| 1| a climber is reaching for a large crack in the rock face .
2201050079.jpg| 4| A man in orange reaching down into a sewer .
2215331791.jpg| 2| A mother is reaching down for her child on a sidewalk .
222369445.jpg| 4| Two surfers walk along a rock wall to reach the waves .
2230363312.jpg| 0| An older man wearing a brown jacket and a hat stands outside and reaches into his pocket .
2261550615.jpg| 0| A man in a cowboy hat is walking through a market and reaching into his pocket .
226607225.jpg| 2| A large fish breaching the water 's surface .
2270649560.jpg| 1| A boy in a yellow shirt and khakis is reaching into a puddle of water .
2290589734.jpg| 1| Two boys with mouthguards and one is holding a football while the other reaches for him .
2290936635.jpg| 1| A group of people walking through an abandoned lot to reach another destination .
229954873.jpg| 2| man reaching for a type of an item in a general store .
2311401527.jpg| 1| An emergency exit map hangs above a doorway where a woman reaches up for something .
2324963565.jpg| 3| A woman reaching for candy bars that are on a shelf .
2328550379.jpg| 0| A man in an orange jacket reaches under a busted up blue car on wooden supports .
2345750552.jpg| 1| A person is reaching out of a window in a high rise to pull on a rope pulley .
236730743.jpg| 1| A person in a hat reaches with a paddle while sitting in a canoe on a lake .
2385000670.jpg| 0| A man wearing a red shirt is reaching out for his hat that fell while he is walking a tightrope .
2390400553.jpg| 2| A man on a scaffold hanging by a rope reaches out to a ledge or window .
2421446839.jpg| 3| A small dog jumps by a car to reach a lady 's face while another dog watches .
243015377.jpg| 1| A pastor preaching in front of his congregation .
243162937.jpg| 4| Supporters reach towards the stage .
2436897339.jpg| 1| Two soccer players both reach to kick a ball in a stadium full of people while others watch in anticipation .
2444070322.jpg| 1| A woman in a blue dress reaches off-camera with a goblet in hand .
2457052334.jpg| 3| Man helps another person reach the top of a rock they are climbing .
247470362.jpg| 2| A man in a black shirt is reaching above his head .
2481367956.jpg| 0| Small boy reaching for blue bar in play area , another child in background .
2498019634.jpg| 0| A child wearing a red eye covering is reaching out to touch a very large bubble .
2514581496.jpg| 1| White dog with orange bows on ears leaps to reach kitchen counter .
2529205842.jpg| 2| Two high school basketball players reach to grab the ball , one falling to the floor .
2542432380.jpg| 0| A group of women sit at a park table in the shade and drink pepsi , while a man reaches to get something off the table .
2543253343.jpg| 0| Two school age boys seem to be cleaning a fish they have caught while a hand of a third youngster reaches into the foreground seeming to offer them help .
2550731326.jpg| 2| A woman in a winter coat and jeans is reaching into a kitchen cabinet .
2553131080.jpg| 0| A hand with tongs is reaching for a vegetable kabob on a grill that also has ribs and chicken kabobs .
2583217692.jpg| 4| A woman stretches to reach across water .
2597873827.jpg| 1| A boy in shorts kneeling on a tile courtyard , arms outstreached .
2605741703.jpg| 1| An infant is laying on a hammock while a hand reaches out to his right leg to prevent him from falling
2614799491.jpg| 0| A barefoot attractive woman in green shorts and a brown halter top bends over in a stream in some woods , reaching out at the water with both of her hands .
2622177159.jpg| 4| A girl reaches up to look into a pool .
2628331789.jpg| 1| While others watch , a young girl jumps into a pool as a woman reaches for her .
2632111399.jpg| 3| A child catcher reaching out his mitt to catch a ball .
2642772565.jpg| 2| A woman with long blond-hair is reaching into the backseat of her car
2643263887.jpg| 1| A child reaches the bottom of an inflatable slide .
2651080346.jpg| 0| A sculptor of a topless woman reaching upwards is attached to a flat wall of a building with a row of barred doors at the ground level .
2730819220.jpg| 0| a little girl is just reaching the bottom of a playground slide
2752265504.jpg| 0| As the little boy fishes for magnetic fish in the pond , his father reaches down to touch the live fish that are swimming around .
2754271176.jpg| 2| The man in the blue jacket is reaching into a white bag .
2788628994.jpg| 0| Tall trees reach to the horizon as a cyclist navigates the way through the tangled roots .
2795744886.jpg| 0| A woman in a black dress with a bun in her hair reaches up on the clothesline in her bathroom for an article of clothing .
2803337740.jpg| 4| A man reaching up towards hanging clothing .
28318644.jpg| 1| A small boy reaches up into a spray of water from a fountain , while a rainbow forms behind him .
2871392045.jpg| 0| While standing on a stone stairway , a woman reaches towards the pink blossoms on a nearby tree .
2880874989.jpg| 1| a toddler in stripy pants is reaching for a white stove in a red floored kitchen .
2886533440.jpg| 3| A man standing on a sand dune and reaching to the sky .
2888520501.jpg| 1| A man in blue jeans is reaching for something on a truck .
2896804690.jpg| 3| A woman and her friends reach into a basket at a bar .
2899374885.jpg| 4| A baby reaching into a water fountain .
2926595608.jpg| 2| A group of basketball players wearing yellow and green reach for a ball .
2938852531.jpg| 0| A woman in a jacket looking at her cellphone while reaching for a child .
2949014128.jpg| 0| A boy holding a ball falls down in front of another boy who has his arms reaching out while an older man in a green shirt smiles and watches .
295089051.jpg| 2| A woman is reaching out of the shot and leaning over necklaces and jewelery .
2965189317.jpg| 1| A brunette male reaching over a cubicle with a pointy stick , popping balloons .
2993822651.jpg| 2| A man reaches up to work with cables above a desk .
3014773357.jpg| 0| Two geese in dark blue water one goose has wings outstreached the other is starting a dive .
3017521547.jpg| 0| Two women are reaching with sticks for a ball during a sports game .
3065082909.jpg| 1| A man in a tan coat is one of the people reaching out to photograph the parade , which features suited men with briefcases .
3075317210.jpg| 0| A young boy wearing a blue shirt reaches towards the sign .
3126752627.jpg| 2| Two basketball players reaching for a ball .
3138399980.jpg| 4| A person in an orange shirt reaching up .
3143155555.jpg| 0| Two babies are sitting close together while reaching for something .
3143980056.jpg| 0| A toddler reaching out to a woman 's face .
3150682680.jpg| 0| A kid with blond-hair is playing in balls and reaching up to grab someone 's hand .
3155390408.jpg| 2| A dog reaches to catch a ball with its mouth .
3168326177.jpg| 0| A boy in a yellow and black coat reaches toward the snow .
3169168282.jpg| 3| A baby is playing with cards as a man reach out for the excess .
3169777863.jpg| 1| A group of men and women in a dancing studio , their arms reaching to the sky .
3182517887.jpg| 0| A small child in an orange shirt reaches her hand up to a man 's face as he holds her with his head leaned back .
3201995229.jpg| 3| A boy reaching high to hit a tennis ball .
3208227126.jpg| 0| Group of around ten men dressed in shirts and ties , reaching up and smiling .
3208987435.jpg| 0| A smiling woman dressed in white holding a baby who is reaching his hand out .
321353203.jpg| 0| A man in a bright green shirt with a baseball hat is in a high reach cutting down a tree .
3237720834.jpg| 2| A young boy is reaching into a large cluster of different balloons .
3246773992.jpg| 0| Girl in black pants and an orange top jumping with one leg outstreached and foot pointed other in background dressed the same .
325696203.jpg| 1| A woman pushes a stroller past a fence behind which some uniformed boys reach out .
3283651160.jpg| 1| A woman lying on the floor , smiling and reaching out to a young child .
