image_name| comment_number| comment
109741554.jpg| 1| Two men cleaning snow from a roof , one 's in a lifter , while the other is actually on the roof .
1099434461.jpg| 0| A man is cooking a square pancake : he lifts it with his fingers and a spatula to check to see if it is done .
110637863.jpg| 0| A rugby game being played , one man in a green jersey is being lifted up by his teammates with the ball , while a competitor in a red jersey is similarly lifted to tackle him .
114954667.jpg| 0| An Elderly man crouches to lift the covering off the grill wear several shish kabab are grilling .
1188199432.jpg| 2| Five small children are riding a ride that lifts them up and brings them down .
121178216.jpg| 0| A man on a utility lift is standing in the tree branches .
1280221720.jpg| 0| An man in khaki shorts and a white t-shirt is lifting a toddler onto the lap of a Jelly Belly .
133767049.jpg| 1| Man in blue apron lifting lid to barrel style grill while another man watches
1369162.jpg| 1| Two men are lying on a roof doing work , while two other men are assisting using a lift .
1394599090.jpg| 3| A man lifting a little boy out of the water .
"1401961581.jpg| 0| A girl sits in a harness ready to lift up into the air and behind her is a sign that says "" active . """
1402843760.jpg| 0| A white dog lifts its paw as it stands on the grass near striped poles .
1429383749.jpg| 0| One little boy sitting in a forklift in a construction area during something very dangerous .
1453423744.jpg| 0| A man driving a fork lift in a large crowd of people on the street .
15085612.jpg| 3| A man being airlifted to safety after being in danger .
1521979323.jpg| 3| Men supervise the lifting of a sign .
1533470077.jpg| 0| A man in a blue work uniform is working on a blue bus on a lift .
1553023640.jpg| 0| A young blond-haired boy wearing a striped shirt attempting to lift a large pumpkin from the pumpkin patch .
1562392511.jpg| 0| Two men lift a brown dog up so it can grab a large blue rope hanging down a black wall .
167285940.jpg| 0| A man wearing glasses and a white dress shirt looks intensely at a glass of beer as he lifts it to drink .
1716445442.jpg| 0| A person in a green jacket and black pants lifts a rock .
1800778962.jpg| 4| a couple lifting a child on busy stairs
1944949081.jpg| 3| A young man lifting the lid to a dumpster .
194704310.jpg| 1| A group of constructions workers lifting a bathtub .
1994416869.jpg| 4| A man is lifting a little girl above his head .
2015953389.jpg| 4| Workers standing on a lift .
203198713.jpg| 1| A pregnant woman wearing a pink shirt and blue jeans lifts weights in a gym .
2060472076.jpg| 0| An older man in jeans and a sweater is lifting down a box from the top of a pile .
2094810449.jpg| 4| A boy stands in the ocean lifting up his shorts .
211640856.jpg| 1| Workers stand around next to a forklift on break .
2118681002.jpg| 3| A man standing on a wooden beam watching a crane lift another beam into place .
2119206841.jpg| 2| Mother lifting her child onto a spin roll toy .
2173362914.jpg| 0| Three people take a lift up the mountain in the ski resort of Adirondack express .
2184817596.jpg| 1| A young woman in a white Dior t-shirt lifting a silverware drawer in a kitchen .
2204550058.jpg| 0| A woman tilts her face upward and lifts her white gloved hand
2214322704.jpg| 1| Arms of fans lifted to band members as they play guitars and sing in low light .
2215837479.jpg| 3| A worker in a red hat and yellow coat is on crane lift .
2257238490.jpg| 1| a girl wearing a green scarf and blue jeans is lifting her leg in the air .
229352848.jpg| 2| Three guys are being lifted up in the air .
2315593294.jpg| 2| A man as he is lifted from a rearing horse at a rodeo .
2333975414.jpg| 2| Several dancers are doing leg lifts on stage .
2372820502.jpg| 2| A large crowd has a few people lifting pillowcases over their heads .
241347214.jpg| 0| A Sooners football player in his red and white uniform being lifted by two teamates dressed the same .
2413875259.jpg| 2| A boy holding onto a balloon looks like he is about to get lifted up into the air .
24187978.jpg| 3| A construction worker sits in a green lift .
2426047791.jpg| 1| Two men lifting a basket together while other people watch them .
2428912710.jpg| 0| A male ski enthusiast dressed in black sits down under a ski lift while a younger child wearing a gray , orange and white ski jacket stand next to him .
2437798869.jpg| 3| A man in a lift bucket is trimming tree branches .
2462702522.jpg| 3| A small boy lifts a red and blue ball .
249481696.jpg| 1| Two female cheerleaders are doing a cheer while being lifted into the air by male cheerleaders .
2512450458.jpg| 0| A person in the ocean wearing a protective vest is being lifted by a helicopter as part of a rescue mission .
2521788750.jpg| 0| A saddle bronc rider gets lifted out of the saddle , but keeps his grip during his ride .
2536794507.jpg| 4| Some men are at lifting work .
2536875357.jpg| 0| Six male workers , four with safety vests , are lifting a long object .
2537586970.jpg| 4| A large crane lifting an object .
2537757752.jpg| 0| A man wearing blue with a warning vest of orange and white compositional color is looking and writing on a notebook while in a subway or train compartment with the nearby sits to him lifted up .
2537806838.jpg| 4| Construction workers on lifts working on a building .
2541939817.jpg| 1| Men gather around a basket full of fresh fish as another man lifts the largest fish in the air .
2555521861.jpg| 2| A girl wearing a harness is lifted out of the water .
2563482243.jpg| 0| A male utility worker wearing a ski mask , gloves and a yellow jacket , standing in a utility lift near the tops of trees and an electrical transformer .
257009770.jpg| 3| A man is being lifted by another man in a asian martial arts move .
2617155996.jpg| 1| Two men are lifting a sheet of glass that has a blue piece of equipment attached to it .
264483970.jpg| 2| 11 cheerleaders in yellow and white on a football field , 8 of which are doing a lift .
266464443.jpg| 0| A child in a yellow jacket gazes at something he holds in his hand , which he has lifted from among a set of boxes of items arranged on a table in front of him .
2664820158.jpg| 3| Three people sitting and one is lifting his leg .
2678747865.jpg| 2| A man is on a bicycle lifted off of the ground attached to a pole .
275909509.jpg| 0| Red shirted worker climbs ladder to peer into a container perched on a forklift .
2766325714.jpg| 4| Two girls lift a third girl .
2793886035.jpg| 2| A young child wearing green overalls and a blue shirt lifts his arms as he smiles .
2804904604.jpg| 3| A young boy is lifting up a mallet .
287373328.jpg| 3| One man on a lift and another man on the roof of the building watching .
2881644926.jpg| 2| A man standing up talking with another man in some kind of lift .
2906054175.jpg| 0| One musician is standing on a musical drum which has been lifted in the air by a few people at the concert and another musician is playing another musical instrument .
2911928620.jpg| 4| A racer on a motorcycle lifts one hand in the air .
