image_name| comment_number| comment
1019077836.jpg| 1| A brown dog chases the water from a sprinkler on a lawn .
1067790824.jpg| 4| A woolly dog chases a Doberman on a beach .
1095590286.jpg| 3| a dog chases another dog .
111796099.jpg| 1| A tennis match is in progress with ball chasers on the sidelines with an audience in the background .
118647903.jpg| 4| Two football players chase after a the ball .
1240297429.jpg| 0| A dog is wearing a red number 6 and running through a field of green grass while being chased by a bird .
1295719054.jpg| 0| A child in a black cape is being chased by other children .
1312020846.jpg| 1| Two little puppies chase each other on a stone wall .
1362794608.jpg| 1| A mother with a blue shirt , chases after her child , who is inside a red slide .
139252428.jpg| 1| A woman is being chased by a child on the beach while a man looks on .
1397887419.jpg| 1| A brown dog chases a blond one in the grass .
1409784126.jpg| 0| A group of ladies with computers sit behind a table while people on the other side purchase something .
1454678644.jpg| 0| A big black dog chases a big brown dog with a green object in his mouth while another big brown dog tags behind .
1501811302.jpg| 4| A dog chases a sheep in an enclosure .
1580920460.jpg| 2| Soap bubbles are blown in a square where people chase them
1598809111.jpg| 2| One women is paying for a purchase while two other women look at magazines .
179214616.jpg| 2| A man gets his picture snapped while explaining about his recent computer purchase .
182825639.jpg| 3| An Asian man is walking down the street with his purchases .
1919589525.jpg| 2| A young boy fights fatigue to chase down the soccer ball .
2044063458.jpg| 3| Two dogs chase a blue ball in a field .
2054869561.jpg| 3| A black and white dog chases a pink Frisbee .
2075041394.jpg| 2| A tan dog chases a white dog through the leafy grass
2125288750.jpg| 2| A guy in a blue shirt chases a guy in an orange shirt during a game of flag football .
2166120300.jpg| 0| A lady with a hurt hand is cashing out her purchases at the grocery mart by a cashier in a black and red jacket .
2170222061.jpg| 3| A small dog chases after a large brown cow .
2181117039.jpg| 3| Children in uniforms chase pigeons .
2186139563.jpg| 0| A white dog chases a red ball in the yard of a building across the way from a barn .
2189627515.jpg| 1| A frisbee rolls into the ocean as two people , one being carried by the other , chase after it .
2208250764.jpg| 0| An black female on team blue chases a basketball between one other female teammate and two female members of team white .
221973402.jpg| 3| a black dog chases a boy wearing red and blue .
2244551043.jpg| 2| Four people are lining up to purchase tickets at the theater .
2256231539.jpg| 3| The boy in blue runs with the ball whilst being chased by two boys in red .
2271890493.jpg| 2| A large dog chases a small dog on the sand .
2278110011.jpg| 1| A boy in jeans and an orange shirt chases bubbles in the air .
2279380309.jpg| 0| In a fish and produce market many people appear to purchase seafood for the day .
2281075738.jpg| 0| One black dog chases another on grass nearby a road that was recently snowed on .
2291958125.jpg| 0| Two men wearing hats and shawls ride brown horses and chase a calf in a red-white-and-blue walled arena .
2309327462.jpg| 4| a dog chases another dog .
2353088412.jpg| 0| A brown dog with a toy duck in its mouth runs through snow while a black dog chases it
2363006088.jpg| 3| A little boy chases chickens .
2368266191.jpg| 2| A dog chases another by a tree .
2383471951.jpg| 2| A woman in a black shirt chases a little boy in an orange shirt .
2383642818.jpg| 4| A child in a red jacket chases pigeons .
2386366590.jpg| 2| A shirtless got in blue pants is being chased by a girl in a black shirt .
2393298349.jpg| 4| A dog and a goat chase two kids playing soccer .
2405978603.jpg| 0| A brown dog is running into the ocean as it chases a purple Frisbee .
241345427.jpg| 2| A football player in red chases a football player in blue .
241346923.jpg| 1| A football player runs with a ball , chased by the opposing team .
2414397449.jpg| 1| A small white dogs leaps over the back of a larger dog to chase his toy .
2432038587.jpg| 4| A dog chases two geese .
2434006663.jpg| 0| A dog holding a stick running in the sand , chased by a gray dog .
2438452274.jpg| 1| Two soccer players chase after the ball ; one tries to maintain control whilst the others seeks to take it .
2442243868.jpg| 4| a dog chases a toy .
2443938628.jpg| 3| A group of children in soccer uniforms chase after a soccer ball on a grassy field .
2472634822.jpg| 3| A large dog chases a boy through a field .
2475162978.jpg| 0| A woman holding a ball chases a small boy running in the grass .
248858242.jpg| 4| A dog chases a smaller dog .
2497608431.jpg| 1| The man in the black jacket is throwing a stick for the dog to chase .
2500567791.jpg| 2| A black cow and a brown cow being chased by a dog
2507182524.jpg| 4| A dog chases a ball through dirt .
2508313118.jpg| 4| A brown dog chases a Frisbee
2513260012.jpg| 2| Two dogs chase each other across the snowy ground .
2537119659.jpg| 2| A little boy chases a little girl who is driving a red toy jeep .
2538477523.jpg| 1| A man chases a little girl in a flowery dress down a paved trail .
2547785434.jpg| 0| A small and gray dog chases a large bull who is jumping away from it .
2563766793.jpg| 1| A shopper carries a large amount of purchases out of the store .
2568347901.jpg| 3| A runner is being chased by a man in a penguin costume .
257588281.jpg| 1| A black dog chases a brown dog with a stick through the water .
2580503256.jpg| 1| A lone skater chases his shadow as he glides over a cement skating ridge , cars and houses in the background .
261490838.jpg| 1| A dog chases a deer on a field with yellow flowers .
2616561200.jpg| 0| A dog chases a tennis ball in a concrete courtyard .
2623146491.jpg| 0| A man in the store has purchased something and the cashier is handing him his bag .
2629294578.jpg| 2| Brown dog chases after yellow ball in park
2635905544.jpg| 1| Two brown dogs playfully chase a red and white soccer ball .
2658009523.jpg| 0| Two brown dogs chase and playfully fight with each other on the sandy beach .
2672354635.jpg| 4| Three brown dogs chase a tennis ball .
2696394827.jpg| 3| a dog chases a bird in the water .
2723477522.jpg| 3| A big dog chases a little dog on the grass .
2727715687.jpg| 4| Children and their guardians chase pigeons .
2749755023.jpg| 0| A crowd goes from tent to tent looking for special items to purchase .
275173204.jpg| 2| A woman purchases food from a street vendor .
278776089.jpg| 0| A bald middle man in a orange stripe shirt talking to a young Asian woman about a purchase on his meal .
2797785048.jpg| 2| A boy in an orange jersey and black shorts chases a soccer ball on a field .
279901198.jpg| 4| A brown dog being chased in a rural area
2830869109.jpg| 2| A girl with a bucket of water is being chased by a boy with a bucket of water .
2832747707.jpg| 0| A guy wearing a red coat , white jodhpurs and black boots jumps his gray horse over poles during a steeplechase competition .
2837127816.jpg| 1| A man chases a dog trying to pass the barrier to enter a play area .
2847541837.jpg| 1| Several adults and children are being chased by the incoming tide on a rocky beach .
2871962580.jpg| 1| One football player holding the ball is chased by another football player from the opposing team
2874984466.jpg| 3| a sheep chases a dog .
2878272032.jpg| 1| A dog chases a ball that has dropped in the water .
2885387575.jpg| 2| A gray dog chases a blue soccer ball on the grass .
2885912662.jpg| 3| A small girl chases a pink ball over the gravel driveway .
2917057791.jpg| 4| A boy chases after a bird on a pier .
292887910.jpg| 0| A white dog with brown markings chases an orange ball in a grassy field .
293151893.jpg| 0| Two dogs are silhouette as they chase each other along the water .
2939371251.jpg| 0| A football player runs with the ball , chased by members of the opposing team
2945036454.jpg| 1| A yellow dog chases a red Frisbee next to a black pot .
295433203.jpg| 2| Two dogs chase one another on a gravel road .
2960759328.jpg| 1| Two cowboys on horses chase a young cow with lassos ' .
2973269132.jpg| 3| A lioness chases a black animal with horns .
3030823649.jpg| 1| A tan and black dog chases a yellow ball .
303795791.jpg| 0| Two small white and brown dogs chase after each other in the grass .
3051082548.jpg| 0| A child runs with a racket and a tennis ball in a field while being chased by a golden retriever and a young boy .
3110552207.jpg| 2| A boy in a red shirt at Walmart is checking out his items for purchase .
3117562746.jpg| 3| a dog chases another dog .
3122606953.jpg| 1| A little black dog chases another little black dog through thick snow .
3128164023.jpg| 4| Dogs chase each other .
3187364311.jpg| 1| A person throws an object as a furry dog jumps to chase it .
3203878596.jpg| 1| Two brown dogs chase each other in the snow .
3204686006.jpg| 0| Four people in various stage of sledding on a snowy hill , while a dog playfully chases one of them .
3211156290.jpg| 2| An enthusiastic young man runs with an exercise ball as he 's being chased .
3224227640.jpg| 0| A big brown dog chases a smaller white dog around in the grass .
3263141261.jpg| 0| A little boy in a blue jacket is running and being chased by a woman .
327762135.jpg| 0| A woman in a black coat and a hat carrying flowers and other purchases around a market .
327955368.jpg| 2| A little boy chases ducks through the leaves .
3284887033.jpg| 1| A tan dog chases a black and white soccer ball .
3296584432.jpg| 1| A brown dog chases something a man behind him threw on the beach .
3329777647.jpg| 0| Two large dogs chase after another dog that has a ball in his mouth and runs from them .
3344204646.jpg| 0| A woman purchases a spool of yarn from another woman , who is selling on the side of the street .
3346711367.jpg| 1| A brown and white dog runs through the grass chased by a black dog .
3360178782.jpg| 0| A group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them .
3368671163.jpg| 3| a dog chases another dog with a toy in its mouth .
3375014075.jpg| 0| Outside by the trees , a woman wearing jeans and red jacket throws something for a German shepherd to chase .
3380519003.jpg| 0| A small brown and white dog chases a white ball over the grass .
339350939.jpg| 3| A black dog chases birds on the shoreline
3412036192.jpg| 2| A dog chases a tennis ball on a well manicured park lawn .
3441965806.jpg| 0| This is an Asian Woman looking at shoes to purchase at a local swap meet .
3472540184.jpg| 1| An older boy chases a laughing younger boy on the grass .
3474934013.jpg| 2| man walking away with some cheese he purchased .
3476237185.jpg| 4| a large black dog chases a small black dog .
3478176372.jpg| 3| A man chases an opposing player in a Rugby match .
3486324591.jpg| 4| A young boy chases away two Canadian geese .
3487533923.jpg| 1| a young lady is making a purchase from a man with a push cart .
3492383096.jpg| 1| Two smaller dogs chase a larger dog around a pond .
350529848.jpg| 4| Dog chases ball in water .
3515358125.jpg| 0| A dog with a red leash still attached chases over the grass toward a tennis ball .
3519942322.jpg| 0| A rather large blond dog with a black collar chases a blue and yellow toy .
3523950181.jpg| 0| A goalie is covering his net while two other hockey players chase after the hockey puck .
3532098999.jpg| 3| A little dog chases a Chihuahua .
3540416139.jpg| 1| A dog chases a toy in the grass with its owner in the background .
3540416981.jpg| 2| A white and black dog chases after a decoy-animal on a string .
3547313700.jpg| 2| Two puppies playfully nip and chase each other .
3561433412.jpg| 2| A dog chases a Nerf ball in the grass .
3564548129.jpg| 2| Some people waiting to purchase items from a street vendor .
3565840872.jpg| 4| Two Islamic women are making purchases at a large warehouse .
3582742297.jpg| 1| Three dogs chase and wrestle together on a dirt field .
3583065748.jpg| 0| A black and white dog chases a bigger dog across the grass .
3596131692.jpg| 0| Three children wearing soccer uniforms chase after a blue and gray soccer ball .
3605259195.jpg| 4| A young boy chases seagulls on a sandy beach .
3610051443.jpg| 0| A brunette is outside a fruit and vegetable shop selecting groceries to purchase .
3613027188.jpg| 3| A group of players chase a ball on a field .
3626998066.jpg| 1| A brown dog chases another brown dog who has a green ball .
3630641436.jpg| 2| Three dogs rush to chase a ball thrown into the surf .
364213568.jpg| 2| A dog runs down a beach holding a yellow toy while another chases it .
3650986674.jpg| 2| Dogs chase each other through water .
3654103642.jpg| 4| Two dogs chase along the beach .
3671957239.jpg| 0| Vendors are selling their goods , in an outdoor food market , while shoppers make purchases .
3711851074.jpg| 0| Shoppers purchase produce from a busy grocery store in Asia .
3775526174.jpg| 3| A man chases a boy down an elevated hallway .
381514859.jpg| 0| Two white dogs chase after a red ball in a yard in front of a white fence .
3872838863.jpg| 0| A young man in a yellow floral shirt ponders purchases in an outdoor market while an older man in a gray t-shirt texts on his phone in the background .
387974450.jpg| 2| A gray dog chases a bunch of crows , a river in the background .
393987665.jpg| 2| A woman makes a purchase at an outdoor vendor .
3947729724.jpg| 2| A lady in a grocery store is choosing which groceries she is going to purchase .
4002498838.jpg| 0| A barefoot man in rainbow shorts and a green shirt completes a food purchase at an outdoor concession stand .
402942802.jpg| 4| A man holding something that he has purchased .
4081678254.jpg| 2| A sidewalk flower vendor preparing to scan a customers purchase .
422756764.jpg| 3| A dog chases after a yellow ball .
4267614055.jpg| 4| A young boy chases after a bird .
4282604922.jpg| 0| People are waiting on line to purchase food and other people are waiting on line to put extras onto their purchased food .
4323764409.jpg| 0| A surfer chases his reflection at the entrance of a pipe , as swimmers look on in amazement .
433471134.jpg| 1| A man with two small boys making a purchase from a woman .
433477485.jpg| 3| Two ladies looking for bread to purchase .
4370357160.jpg| 1| A seven person called the sun chasers is playing outside with a sign asking for donations .
437636033.jpg| 0| A large group of people are waiting to taste and purchase olives at an outdoor market .
439916996.jpg| 3| A woman throws a Frisbee for her two brown dogs to chase .
446514680.jpg| 1| Two large brown short-haired dogs with collars play chase in a field .
4516267602.jpg| 0| A man in sunglasses with a brown coat is smoking a cigarette and scratches his nose as patrons purchase items from a street stand .
4521610802.jpg| 3| A pedestrian waiting for his purchase from a NYC street vendor .
452363869.jpg| 3| A black dog chases a ball in the grass .
4562512283.jpg| 4| A guy ready to make a purchase at a small shop .
457625343.jpg| 1| Two Chinese women at the cash and rap store third women counting her money for her purchase .
460326010.jpg| 2| Little boy trying to chase a black crow .
460478198.jpg| 0| Two dogs , a spaniel and a husky , chase each other across the sand by a body of water .
4668912499.jpg| 1| An older woman is paying for her purchase , while a younger woman is taking her money to complete the transaction .
4696106624.jpg| 2| A man walking his dog stops to purchase some postcards .
4705576434.jpg| 1| People are walking through a market , browsing over merchandise and making purchases .
4717472959.jpg| 2| Two elderly woman have stopped to purchase ice cream cones .
4808316455.jpg| 3| Asian people walking down the street of a market with their purchases .
4812991208.jpg| 2| A young man in a green shirt is making a purchase at a store .
481355454.jpg| 0| A line of young boys chase a soccer ball on a field .
4815043888.jpg| 1| A man with a gray collar shirt purchases ice cream from a man with an ice cram cart while a child observes .
4855463348.jpg| 2| A red bearded man purchases a bag of fruit at a fruit stand .
492493570.jpg| 2| A girl chases a bird across the sand at the edge of the ocean .
4930690081.jpg| 2| The two men are riding horses to chase a white horse .
4931227978.jpg| 1| A man on horseback chases , and attempts to lasso , a young calf .
4934611602.jpg| 0| A man is making a purchase on the street while other people wait .
496555371.jpg| 2| A black dog is being chase by two brown dogs on the beach .
4966812836.jpg| 3| A small boy purchases vegetables from an older man .
4967237955.jpg| 3| A woman in an orange shirt is ringing up a purchase .
5009047021.jpg| 0| A team in black , the Knights , chases after a member of the unnamed white team who is holding the ball ; one Knight and one other white team member is on the ground , while the other members chase the ball-bearer .
510393301.jpg| 1| Elder woman chases after her granddaughter in a restaurant .
516500358.jpg| 2| A man looking to purchase ice cream from and ice cream truck at night .
5332472316.jpg| 1| People are waiting in line to purchase something at a counter .
536721406.jpg| 1| A small black dog chases a large animal in a fenced area .
5866079837.jpg| 0| One red-haired woman is selling fruit cups , while another observes , and a third person mostly off-camera selects a cup to purchase .
6221812098.jpg| 2| A young boy chases a soccer ball that is in bouncing away from him .
6324621970.jpg| 1| A woman in blue kicks a soccer ball as her opponents in red , chase on .
6348201976.jpg| 1| There are two men falling on a soccer field as they chase down the ball .
6888161449.jpg| 2| A rugby team gives chase as the man in possession punts the ball .
6888444346.jpg| 0| Three roller hockey players chase after a ball as an excited crowd watches on .
6907789234.jpg| 3| A horse and rider on a steeplechase course .
6944127567.jpg| 0| Two steeplechase horses , running parallel , make a obstacle leap , on the course with their riders .
6995873867.jpg| 1| 1 guys running with a white ball football in sand while another chases him .
7036939605.jpg| 2| Two hockey players from different teams chase the puck in the middle of a match .
7062794595.jpg| 3| People making line to make their purchase in the antique store .
7098586179.jpg| 3| The kids chase a huge bubble around the walkway .
7196226216.jpg| 3| Two soccer players make contact as they both chase individual balls .
7197674214.jpg| 1| Two soccer players chase after a member of the opposing team who is trying to get control of the ball
