image_name| comment_number| comment
1010470346.jpg| 2| A man on a bicycle watching a row of cars waiting to go through a checkpoint .
1096395242.jpg| 3| Boy with toy gun pointed at the camera .
1118168796.jpg| 0| One gu , wearing blue gloves and a brown vest , with a large camera pointed toward a Conquest trailer with a solar cell at his feet .
1121053156.jpg| 1| A man with a bucket and a child pointing to some machinery .
121861208.jpg| 0| A young lady with brown hair is reading a compass while the man next to her points to a paper .
122958692.jpg| 4| Missed that point by a landslide .
124488273.jpg| 0| A group of people with bikes looking in the direction another young person is pointing .
1279422342.jpg| 0| A boy wearing a blue shirt is outdoors and is closely examining a found object with yellow tentacles pointing upwards .
13652901.jpg| 0| Two men in hard hats and work coveralls look at the docked ship one of them points at .
141140165.jpg| 0| A young baseball player is pointing a finger in the face of a player on the other team .
1432179046.jpg| 1| A man in the near distance is pointing to a silver sedan near him .
1469107065.jpg| 0| The tour guide wore a dark shirt and cap as he pointed out the sign listing the rules to his young passengers .
1501398164.jpg| 0| A black man is posing for a photo with two other people , showing just their hands , points guns at him .
1509786421.jpg| 0| The man in the blue shirt is looking in the direction to which the little boy is pointing .
151215569.jpg| 0| A little girl in pink is holding up her pointer finger and pinkie finger in the air while holding her sunglasses in the other hand .
1519576998.jpg| 0| The little boy is holding a cookie while sitting on a log and pointing upward .
1529044279.jpg| 0| People with small children on a brick ground , one man points to something for a child to see .
"157557961.jpg| 0| A young man in a black shirt is looking at and pointing to a message on a giant machine bearing the brand name "" Blackberry . """
1580359117.jpg| 3| A guy in the kitchen points to his new pasta creation
1718184338.jpg| 0| A couple of people are standing and the person in the red coat is pointing at the body of water .
1782543772.jpg| 0| Five people stand on a bridge while one of the people , a balding man in a brown shirt and jeans , points away from the bridge .
180524168.jpg| 4| A child is pointing at a typewriter .
189244453.jpg| 3| A man is pointing into another man 's hand .
1924261173.jpg| 2| A teacher pointed out the Library details on the overhead projector screen .
1925086298.jpg| 1| A woman sits at a desktop computer as a woman standing next to her points out something on the screen .
1982852140.jpg| 1| Two people run down the beach and one of them is pointing .
1984936420.jpg| 2| A boy catches a fish in a small stream as a girl points .
203390686.jpg| 1| A man pointing at food in a casserole dish .
2034553054.jpg| 2| A child in medieval clothes points at something on a table .
20486069.jpg| 1| An Asian man points while in conversation with another person .
2069887.jpg| 1| A statue of an old , bearded beggar wearing a pointed hat and holding an ornate stick with a collection box in front of him .
