image_name| comment_number| comment
115767961.jpg| 1| A man in an pilot uniform is walking down the sidewalk carrying luggage .
25411181.jpg| 0| A pilot has walked off of an airplane , with his hat and suitcase in hand .
27463274.jpg| 2| A grim looking man with sunglasses pilots a boat .
2894576909.jpg| 3| A man pilots a kayak through rough rapids .
2973340314.jpg| 0| A pilot is standing in the cockpit doorway with a smile on his face as he looks at the entrance door .
3035057.jpg| 0| The pilot looking out of a British Airways airplane while two men are standing outside .
305199420.jpg| 1| Two pilots walk along carrying a young girl with a bandaged head .
3101378069.jpg| 3| A man piloting a boat with goods in the back .
3150440350.jpg| 4| A pilot is bending down to assist a man that is crying .
3268467451.jpg| 0| A pilot dressed in a dark-colored sweater is sitting in the cock-pit of a plane with his hands crossed .
3363973478.jpg| 4| Two boys pilot a rowboat on a lazy river .
3479423813.jpg| 3| A man piloting behind the wheel of a boat .
3682428916.jpg| 1| Small plane with spinning propeller on ground , pilot seen through windows .
3753939.jpg| 0| An uniformed man leaned out of a side pilot 's window of a large American Airline aircraft to wash the cockpit 's window .
3983292574.jpg| 0| A pilot wearing his professional uniform stands next to his luggage with a newspaper in an airport terminal .
4152974865.jpg| 0| In the cockpit , a pilot wearing a bright yellow vest presses buttons on the over-head control panel .
501989700.jpg| 1| The image is of a pilot wearing a white shirt at the controls of an airplane .
5191256340.jpg| 0| A man with a grayish blue shirt , red and blue vest , black pants , sunglasses , and earphones is standing beside a red helicopter , while the door is open revealing the inside of the helicopter , with it 's pilot and other earphones hanging in the background .
521750280.jpg| 1| A pilot leans out the open window the cockpit to clean the window of his plane .
5444724.jpg| 0| A man wearing a pilot uniform is bending over towards a suitcase outside of a set of steps leading into a plane .
5573511334.jpg| 0| Two pilots are in the cockpit of an aircraft navigating over land and water .
7263168156.jpg| 2| Man in camouflage uniform with orange life vest , piloting a boat .
76466808.jpg| 0| Two pilots are standing and talking in front of a British Airways airplane .
7680212664.jpg| 0| A man wearing a safety helmet and a red and black life vest is piloting his yellow Wave Sport kayak in rough waters .
7757111016.jpg| 0| An air force pilot is holding his daughter in his arms on a runway .
81091373.jpg| 0| A pilot wearing a light blue shirt , dark pants and tie is standing in front of a plane , smiling .
998845445.jpg| 0| A man in shorts and a Hawaiian shirt leans over the rail of a pilot boat , with fog and mountains in the background .
