image_name| comment_number| comment
10101477.jpg| 2| A man in a white and blue kimono is using a broom to sweep pavement .
1051205546.jpg| 0| Two women in colorful dresses are sweeping water out of the street while a man watches .
1158897994.jpg| 1| A man in a baseball tee-shirt is sweeping what appears to be an empty pond in a festive looking backyard .
1306080718.jpg| 0| A worker is sweeping off a sidewalk 302 miles from Liverpool .
134642833.jpg| 0| Here is a little boy whose being very cooperative and sweeping the outside porch area with a large broom on the front porch that has a strong railing .
174056037.jpg| 4| The baby is playing with the sweeper .
181600316.jpg| 0| An older man with a beard uses a hay broom to sweep the ground in front of cubed cardboard trash in a parking lot .
2088999297.jpg| 0| A small boy wearing a red shirt and blue shorts sweeping a brick path .
2117609024.jpg| 0| The little girl is holding a large broom trying to sweep while a lady in dark pink is kneeling barefoot with trees in the background .
2203398833.jpg| 0| An apparently elderly person is sweeping a slate patio while wearing a straw wide-bimmed hat and light-blue baggy clothing .
2215875786.jpg| 1| This woman is sweeping the sidewalk outside of her boutique .
2240785083.jpg| 1| An elderly woman is sweeping the sidewalk in front of a graffiti-covered building .
2247138288.jpg| 4| A group of people and a dog sweeping snow .
2390383101.jpg| 0| A barefoot person in a yellow shirt , blue pants and tan hat sweeps a checkered floor .
2432584943.jpg| 0| A woman wearing a white turtleneck and a dark hat holds garbage and watches a woman in a black turtleneck sweep a bathroom .
243711191.jpg| 0| A man with dirtied pants is sweeping the road with a red broom .
2455900347.jpg| 0| A man wearing a raincoat and a white hat is sweeping outside on wet brick floors .
2496713113.jpg| 0| A public worker is sweeping up a massive pile of trash in front of a monument at a city square .
2534352312.jpg| 4| Two men are sweeping the steps that lead up to a statue .
2549950283.jpg| 0| A man and woman stand on a boulder by the river as he sweeps her off her feet .
2597824037.jpg| 0| A man in a green vest and clothing sweeps up trash on the sidewalk underneath the shade of a tree .
2602905768.jpg| 0| A young lady in her early twenties is sweeping the floor of her kitchen and smiling at the camera .
2700457501.jpg| 1| A woman in a blue shirt with a plaid skirt is sweeping a puddle of water outside .
2758942112.jpg| 2| A woman is getting her shoes shined by a boy while an older man is sweeping up around , in an urban setting .
2778313163.jpg| 0| A woman in a blue t-shirt and jeans is sweeping concrete .
2832654970.jpg| 4| A young monk in red and orange is sweeping the floor .
2863466964.jpg| 1| A worker sweeps the road as a machine drives in front of him .
2944647707.jpg| 2| Two men sweeping and picking up a street covered in trash .
3084472444.jpg| 4| Two men sweeping trash on the side of the street .
311380477.jpg| 1| A guy with a mohawk is sweeping with a push broom .
3227523081.jpg| 1| A woman stands at a balcony and watched the man down below sweeping , two motorcycles are parked in the shade away from the hot sun .
3268727984.jpg| 0| A black-haired woman wearing white skirt , white shirt , white apron and black shoes is sweeping the floor .
327142149.jpg| 0| A woman in a pick shirt is holding a shovel near a woman in brown sweeping , while a third woman sits on a stoop .
3343342294.jpg| 0| A cleaning lady walks down the road with a sweeping machine what looks to be an entry way of a building .
3376741717.jpg| 2| A man sweeping up mess on the floor after a concert .
3439651106.jpg| 0| A young woman in a gray shirt sweeps her doorway with a broom .
3500218173.jpg| 1| A little boy in a red shirt is sweeping the floor on a porch .
3755306641.jpg| 0| A man and woman sweep a the ground in front of an orange wall with green patterned bars .
3779596816.jpg| 3| Two sanitation workers in orange jackets sweeping and cleaning .
3808954787.jpg| 0| A person sweeps a red tiled floor under a sign displaying The Tile Shop .
385811470.jpg| 1| A woman in a blue dress is sweeping the floor in a cobblestone road
387822740.jpg| 1| A young child in blue sweeps the floors like his parents .
3934856289.jpg| 0| A woman dressed in a kimono is sweeping a sidewalk in front of a restaurant .
398254184.jpg| 0| A man wearing a blue sweatshirt and dark baseball cap is sweeping the floor with others watching .
3994030417.jpg| 0| A city worker sweeps up the ground at the top of a set of concrete stairs .
4011394505.jpg| 1| Boy walks past man in orange overalls who is sweeping garbage from the street .
416902908.jpg| 1| A man is sweeping the street in front of a restaurant called Tacos La Palapa .
4291704682.jpg| 0| Two employees of a food shop wearing red hats , red aprons , and red pants sweep up the sidewalk outside .
4309584424.jpg| 0| Two casually dressed young men are sweeping a classroom floor while a casually dressed young woman looks on .
4309585508.jpg| 0| Two women in security uniforms in a hallway , one is sweeping .
4334767542.jpg| 0| A tall man dressed in a long-sleeved shirt , pants , and tall boots is sweeping in a yard .
4337016892.jpg| 0| A little boy wearing a green and white shirt with orange pants is helping another little boy sweep leaves from a road while two adult onlookers stand nearby .
4433557295.jpg| 0| A referee on rollerskates and wearing knee pads and a helmet is sweeping the floor of a wooden basketball court in front of a crowd .
4438007869.jpg| 0| A person sweeping while another is sitting in a parked street sweeper in front of a building .
4537647888.jpg| 4| A street sweeper patrols the sidewalk .
4565706377.jpg| 0| A young girl rearing a purple jacket with white polka dots sweeps up leaves .
4579431117.jpg| 0| A young man is sweeping the sidewalk with a red handled broom .
4580613274.jpg| 0| A man with dark blue clothes , a hat , and sandals sweeps steps with a stick broom .
4612733800.jpg| 0| A man in orange and yellow uniform sweeping debris and trash off of the street , while another man in the same uniform is standing next to a trashcan .
4638368806.jpg| 0| A group of people , one man and one woman sweeping and one woman taking out the trash , are cleaning a house .
4645676225.jpg| 0| A person wearing a big hat and yellow boots is sweeping the road after the rains .
4645891941.jpg| 0| People with face masks sweeping the water and soap suds on the cement .
4661134609.jpg| 0| A group of cleaners are sweeping up animal feces from the street during a parade or festival .
4772785237.jpg| 0| Gray-haired black male , wearing a white jacket and black pants , sweeping up a sidewalk and pothole .
481888930.jpg| 0| A woman with a green top and black skirt sweeps trash up with a red-handled broom .
482263877.jpg| 0| A woman wearing a green shirt is sweeping up a broken potted plant using a red broom and dustpan .
4840179259.jpg| 0| A man in a blue shirt is sweeping inside a construction site .
4852819911.jpg| 1| A man sweeps the road in front of a wall with graffiti and two flats set against it .
4891151258.jpg| 3| The lady in the trench coat is sweeping the bird off the table .
491987177.jpg| 4| A guy in a restaurant is sweeping the floor
5047832905.jpg| 4| A boy playing with an sweeper .
520341293.jpg| 0| A man wearing a white shirt and blue jeans is sweeping water on the street , with a red broom .
520913429.jpg| 0| A man dressed in green sweeps leaves from an outdoor altar .
5252854871.jpg| 0| A lady in an orange coat and tan pants sweeps the street .
5278036761.jpg| 0| Two men dressed in slacks , one in brown sweater and one in blue sweater , sweeping .
5415070045.jpg| 0| A woman wearing all orange clothing and a man wearing blue shorts are sweeping water into a drain in the ground next to a blue trashcan .
5415181095.jpg| 1| A man , with a baby in a baby carrier on his back , is outside in an overgrown yard , sweeping the sidewalk .
5485593000.jpg| 3| A man in a white shirt and jeans sweeps the sidewalk of a street .
5489602545.jpg| 0| A man wearing a red t-shirt sweeps the sidewalk in front of a brick building .
5660037266.jpg| 0| Two men , one dressed in black with a white hat and the other dressed in gray sweep a set of steps .
5690229093.jpg| 0| A woman dressed in blue sweeps a brick walkway near a step ladder on a city street .
5731856709.jpg| 0| Older man wearing dark blue clothing sweeping the ground and a person wearing a red coat and carrying a green bag entering the building .
5739923608.jpg| 0| A man in an urban area is sweeping the sidewalks , with a group of people in the background , crossing a street .
574181.jpg| 1| Two men are sweeping a room that is empty except for one step ladder .
5920741851.jpg| 4| A man in an orange robe sweeping outside .
6312121806.jpg| 0| A young man is carefully sweeping dust and chalk from a bricked passageway during a festival .
6316125258.jpg| 4| A man sweeping the stairs down from his house .
6439261679.jpg| 1| Two male curling players are on ice sweeping the path in front of polished rock , a small crowd watches .
6735927053.jpg| 0| A young man in a straw hat , jeans , and a plaid shirt sweeps dust from stone steps in front of a stone building .
6899004387.jpg| 0| A woman sweeps in front of giant wooden double doors while another person comes through with a dustpan .
7025947589.jpg| 0| A monk is sweeping out the garbage in a courtyard by using a straw broom .
7763558408.jpg| 0| Three men with orange shirts sweep the water from a warning track in a baseball field .
7867736186.jpg| 0| One soccer player , wearing green , leaping for a soccer ball , while an opposing player tries to sweep the ball from under him .
85574732.jpg| 0| A young boy in a yellow , insulated coat imitates an adult , who is using a broom to sweep the paving stones near an open storage unit on a festive Chinatown sidewalk .
