image_name| comment_number| comment
1001573224.jpg| 3| Five girls dancing and bending feet in ballet class .
1051205546.jpg| 2| Two Indian women in saris are bending over a wet street .
1066831905.jpg| 0| Elderly man with cane bends down to look at some plants and is steadied from behind .
112945950.jpg| 1| A man and a woman are sitting down overlooking the water and the women is bending over .
1164765687.jpg| 0| A man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals .
1238084765.jpg| 0| A man in blue shirt with a spatula is bending over to pick something up while grilling , as another man in red and black rain jacket leans on grill and watches .
124534466.jpg| 0| A woman in a blue jacket is bending down and holding out her arms for a little boy .
1269844288.jpg| 1| Women bending over to adjust her boots with a large crowd in front of her .
1336391319.jpg| 2| A man pushing a hand-truck of boxes is bending over to pick up a pear .
1341787777.jpg| 1| A brown dog is bending down trying to drink from a jet of water .
134747073.jpg| 1| A person wearing a red top is bending forward on a beach facing the water 's edge .
1394368714.jpg| 0| A man holding the leash of a pug bends down to look in a bin at an outdoor rummage sale .
141841337.jpg| 3| A man in a gray sweatshirt is bending his leg over his head .
14220927.jpg| 2| A man is bending down repairing a house .
1529044279.jpg| 3| A man holding a little girl hand bends over and points something to her .
1563984945.jpg| 0| A person in blue pants bends over toward the carpet in a public dining area , as another woman in a white shirt looks over her shoulder toward the action .
164380865.jpg| 2| A old man and a young boy bend down to look at a motorcycle .
164969525.jpg| 0| Three people dancing acrobatically in a subway station , with one girl in a skirt doing a cartwheel over another person bending over .
1874617189.jpg| 1| Three children bend over to look at the waters edge at a lake .
1943286082.jpg| 1| A man wearing all black carrying a black trash bag is bending down to pick something up in a dirt lot .
2050067751.jpg| 1| The little girl in green bends down the check out the drainpipe .
2095197165.jpg| 2| A man bends down on a stone surface , fixing something .
2096630557.jpg| 0| A referee with a whistle in his mouth points to the right and watches as a player with the basketball bends down with a defensive player .
2112072519.jpg| 2| A man is bending down doing some work on a sidewalk .
2215331791.jpg| 0| A woman bends over to hug a young child in a pink coat wearing a hat .
222759342.jpg| 0| A small girl dressed in a yellow dress with flowers on it bends over near a large pile of watermelons .
2228329399.jpg| 0| A man with jeans and a brown shirt is bending over to examine the wheel of a black train that is on a railroad track .
2295199606.jpg| 1| Young women with a green beanie bending down to pick up a basket from a four legged desk .
231673877.jpg| 0| A man on a boat in a blue shirt is holding a fishing pole that is bending towards the sea as if he has caught a fish .
2346772831.jpg| 2| Woman in yellow shirt bending over boy crouching on the ground .
2356574282.jpg| 0| A woman in a dance costume is bending over backward and holding a sword .
2371545499.jpg| 4| A child in a red jumpsuit is bending over a bicycle .
2390369143.jpg| 1| The greyhound racing dogs are running around a bend in the track .
2463394631.jpg| 2| A man in a camouflage jacket bending over on the floor .
2467850190.jpg| 4| A dog and a woman bending over .
24772114.jpg| 0| A construction worker with a barbed wire tattoo and a white hard hat is bending over while a stack of bricks are on the wall behind him .
248151015.jpg| 2| A man is bending down looking at something .
248341940.jpg| 4| A man bends down to saw stone .
251886775.jpg| 4| A man and a woman are bending and jumping in front of a truck .
2522540026.jpg| 1| A race car , numbered 104 is rounding a bend as two people watch and take pictures .
2528521798.jpg| 0| A white rally car is throwing mud into the air as it approaches a bend in the track .
253320564.jpg| 0| A shoeless man in blue jeans is carrying a bag and bending over while other people stand in the background .
2537757752.jpg| 4| A man in a vest is bending down and writing .
2538423833.jpg| 1| A small child bends down to touch a white dog .
2555545571.jpg| 0| A man with an afro is bending down on a stage to touch someone 's hand in the audience .
2559114800.jpg| 1| Three dogs round a bend at a racetrack .
25817944.jpg| 3| Two construction workers bend over and work on metal poles .
2607099736.jpg| 1| A gymnast is bending over on a yellow mat on the grass .
2614799491.jpg| 0| A barefoot attractive woman in green shorts and a brown halter top bends over in a stream in some woods , reaching out at the water with both of her hands .
2622517932.jpg| 3| The little boy bends down to look at an animal .
2631290870.jpg| 0| Two ladies and a teenage girl all dressed in summer attire are bending down and laughing , showing a small puppy to a little girl .
2632111399.jpg| 4| The boy is bending down ready to catch the ball .
2653940812.jpg| 4| A man bends down to light a firework near a lake .
2679015215.jpg| 3| A man in a black shirt is looking down at a man who is bending over .
2690702549.jpg| 0| Four boys stand together with their arms bended to show their strength .
2744600462.jpg| 0| Cyclists competing in a race are coming around a bend in the road .
2754271176.jpg| 3| A man is bending down and digging in a white bag .
2774025309.jpg| 1| Two dark-haired boys are bending down with marbles in their hands .
2777101492.jpg| 0| A man and a toddler boy in a striped shirt walk past the trunks of trees that bend over a path in the forest .
2819000497.jpg| 0| A woman wearing a pullover with an American flag patch bends over an elderly person who is lying on the ground .
2833431496.jpg| 0| A boy and a girl are bending under a fence to look over a ledge .
2877511986.jpg| 1| A woman in a red , white and blue bathing suit doing a back bend on the beach .
2882160042.jpg| 4| There is an old man bending over a piece of green machinery .
288908971.jpg| 2| Two cyclists bend down to inspect the back of a bicycle .
2916179149.jpg| 0| A woman wearing glasses and a black shirt is bending over , while others walk by .
3015863181.jpg| 0| The person in the white flowered shirt is bending down at the ball return in the bowling alley .
3067885047.jpg| 3| Four girls do backbends while playing outdoors .
308487515.jpg| 1| A small , pale bird bends down to examine a crumb .
3146533782.jpg| 1| A man with an open blue shirt is performing a dance move with a woman in purple that entails the woman bending backwards while the man holds her .
314779208.jpg| 2| A woman is bending over assisting a small child on the ground .
3150440350.jpg| 0| A man dressed in a military uniform bends over to speak to a person sitting on the sidewalk .
3150742439.jpg| 0| A man standing on a street with a suitcase in front of him while another man bends down to look at what is displayed on top of it .
3185371756.jpg| 0| A person in a blue sweatshirt is doing a back bend .
3225729247.jpg| 0| a woman with dark hair in bending , open mouthed , towards the back of a dark headed toddler 's head .
3231751379.jpg| 3| An ice hockey player is bending down on the ice .
3242881252.jpg| 3| A person standing on stilts is bending over .
3273325447.jpg| 0| a motocross bike kicks up dirt as it is being ridden around a bend in the circuit .
3302823368.jpg| 1| A chef in a blue hat bends over in front of people while they are eating .
3320680380.jpg| 0| The ski instructor is teaching the little girl how to bend her knees and stand on her ski 's .
3328387307.jpg| 0| A carpenter wearing a tool belt and red cap bends over to pick up a 2 X 4 while several young people which include a boy wearing a green Vans T-shirt and a girl wearing a white T-shirt and jeans stand around the construction site .
3333619888.jpg| 4| A woman in black clothes bending .
3335370208.jpg| 0| A motocross bike and sidecar team are riding around a bend on a muddy circuit .
3342272425.jpg| 0| A person in a green feathered costume is bending down in front of a woman with painted breasts .
3350177228.jpg| 1| A man in heavy clothing with a cart of tools bending to inspect the floor
3358682439.jpg| 2| Two women bend over to touch a small kangaroo .
3361636074.jpg| 1| A man fixing a hockey net bending over and showing his underwear .
3362805914.jpg| 1| a little girl doing a back bend on a grassy field
3375991133.jpg| 0| People in bathing suits bend down and reach into the water of a lake .
3400245808.jpg| 1| People posing in front of large plantation style house where 3 people are standing , 5 people are sitting and one person is bending over .
3440160917.jpg| 1| The child is carrying a basket of colored eggs and bending over with an egg in his hand .
