WorkerId,Input.sentence,Answer.taskAnswers
chatgpt,"""a crowd waits outside a subway train , ready to board .""",outdoors/man-made/transportation_urban
chatgpt,"""a crowd waits, ready to board .""",outdoors/man-made/transportation_urban
chatgpt,"""a man driving a small , open vehicle with a green sign .""",outdoors/man-made/transportation_urban
chatgpt,"""a man driving a small , open vehicle with a green sign on the back of it in traffic .""",outdoors/man-made/transportation_urban
chatgpt,"""a man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach , making a sand castle that is as tall as he is when he is kneeling .""",outdoors/natural/body_of_water
chatgpt,"""a man wearing jeans , polo shirt and a baseball cap , fork , is grilling meat .""",outdoors/man-made/domestic
chatgpt,"""a man wearing jeans , polo shirt and a baseball cap , fork in hand , is grilling meat outside in a fenced yard .""",outdoors/man-made/domestic
chatgpt,"""a ruddy infant lies on a patterned sheet with his eyes closed , his mouth open , and his arm extended .""",indoors/man-made/domestic
chatgpt,"""a ruddy infant lies with his eyes closed , his mouth open , and his arm extended .""",indoors/man-made/domestic
chatgpt,"""an impoverished person , wearing a torn brown shirt and no shoes , is kneeling down .""",outdoors/man-made/other_unclear
chatgpt,"""an impoverished person , wearing a torn brown shirt and no shoes , is kneeling down along the banks of a trash infested body of water .""",outdoors/natural/body_of_water
chatgpt,"""four young adults sit outside on a wooden deck near a building around a small round table , while another person stands on the edge of the deck , leaning on the wooden railing , with the sun shining on one of them and the rest of them are in the shade , two of them crossing their legs , one holding a cellphone out in front of himself and another holding a green and red soda can .""",outdoors/man-made/recreation
chatgpt,"""in a restaurant , a teenager drinks directly out of the metal milkshake serving cup .""",indoors/man-made/restaurant
chatgpt,"""people swing on a red , metal amusement park ride in front of some trees .""",outdoors/man-made/recreation
chatgpt,"""people swing on a red , metal amusement park ride.""",outdoors/man-made/recreation
chatgpt,"""person leaning against the wall , next to a life size cartoon cut out .""",indoors/man-made/recreation
chatgpt,"""several people in the mid-ground sit on a bench along the side of a white building , while three people stand in a courtyard in front of the building .""",outdoors/man-made/other_unclear
chatgpt,"""three children are playing outdoors , two of them on a metal barrel swing .""",outdoors/man-made/recreation
chatgpt,"""two girls , both dressed in pink , swinging on sunlight day with the nearby trees casting random shadows on the remainder of the park like setting .""",outdoors/natural/other_unclear
chatgpt,"""two girls , both dressed in pink , swinging on sunlight day with the trees casting random shadows on the remainder of the park like setting .""",outdoors/natural/field_forest
chatgpt,Kids play,outdoors/man-made/recreation
chatgpt,Person leaning,indoors/man-made/other_unclear
chatgpt,The brown dog catches a ball.,outdoors/natural/other_unclear
chatgpt,a black and white dog runs beside a brown dog in a green field .,outdoors/natural/field_forest
chatgpt,a black and white dog runs.,outdoors/natural/other_unclear
chatgpt,a black dog runs on green grass with its mouth open .,outdoors/natural/field_forest
chatgpt,a black dog runs with his mouth open,outdoors/natural/other_unclear
chatgpt,a blond dog and a black and white dog run,outdoors/natural/other_unclear
chatgpt,a blond dog and a black and white dog run in a dirt field .,outdoors/natural/field_forest
chatgpt,a boy and girl child swing together .,outdoors/man-made/recreation
chatgpt,a boy and girl child swing together on a swing set .,outdoors/man-made/recreation
chatgpt,a brown dog running,outdoors/natural/other_unclear
chatgpt,a brown dog running on a lawn near a garden hose,outdoors/man-made/domestic
chatgpt,a chef speaks into a microphone about a mixed salad contained .,indoors/man-made/work_education
chatgpt,a chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid .,indoors/man-made/work_education
chatgpt,a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,outdoors/man-made/recreation
chatgpt,a child in a dress runs with a miniature orange soccer ball .,outdoors/man-made/recreation
chatgpt,a dark-haired dark-skinned child sleeps in a chair while holding a blue zippered pack .,indoors/man-made/domestic
chatgpt,a dark-haired dark-skinned child sleeps while holding a blue zippered pack .,indoors/man-made/domestic
chatgpt,a dark-haired man is speaking into a microphone while another man is sitting .,indoors/man-made/other_unclear
chatgpt,a dark-haired man is speaking into a microphone while another man is sitting beside him .,indoors/man-made/work_education
chatgpt,a dog wearing a t-shirt is lying down .,indoors/man-made/domestic
chatgpt,a dog wearing a t-shirt is lying.,indoors/man-made/domestic
chatgpt,a gray dog is jumping toward a black and white dog in the snow .,outdoors/natural/other_unclear
chatgpt,a gray dog is jumping toward a black and white dog.,outdoors/natural/other_unclear
chatgpt,a greyhound races on the dirt .,outdoors/man-made/recreation
chatgpt,a greyhound races.,outdoors/man-made/recreation
chatgpt,a group of men in golden shirts singing in front of a microphone .,indoors/man-made/recreation
chatgpt,a group of men in golden shirts singing.,indoors/man-made/recreation
chatgpt,a group of people lie close together on a hardwood floor .,indoors/man-made/other_unclear
chatgpt,a group of people lie close together.,outdoors/natural/other_unclear
chatgpt,a handicapped person with one leg skiing down a mountain with other mountains in the background .,outdoors/natural/mountain
chatgpt,a handicapped person with one leg skiing down with other mountains .,outdoors/natural/mountain
chatgpt,a korean woman is enjoying a meal in a restaurant .,indoors/man-made/restaurant
chatgpt,a korean woman is enjoying a meal.,indoors/man-made/restaurant
chatgpt,a lady with short hair wearing a black jacket leaned .,indoors/man-made/other_unclear
chatgpt,a lady with short hair wearing a black jacket leaned against a lamp post outside a building .,outdoors/man-made/other_unclear
chatgpt,a little boy playing in the water .,outdoors/natural/body_of_water
chatgpt,a little boy playing.,outdoors/man-made/recreation
chatgpt,a lively adult karate practice,indoors/man-made/recreation
chatgpt,a lively adult karate practice at the dojo .,indoors/man-made/recreation
chatgpt,a man and a woman are examining produce at a market .,outdoors/man-made/other_unclear
chatgpt,a man and a woman are examining produce.,indoors/man-made/other_unclear
chatgpt,a man and woman enjoying dinner at a party .,indoors/man-made/recreation
