image_name| comment_number| comment
121861208.jpg| 2| Two young male hikers using a map and compass to find their direction in the woods .
1432196901.jpg| 2| Two female volleyball players look up to find the ball .
1550772959.jpg| 3| A woman brushes dust and dirt off a possible find .
1568700473.jpg| 3| A child is looking through the viewfinder of a camera .
1568723169.jpg| 1| A young boy wearing over-sized blue tank top and shorts , and a red and blue cap , is looking through the viewfinder on a camera placed on a tripod .
170473787.jpg| 1| A cop is walking a crime dog to find something while paramedics discuss by their van .
197746193.jpg| 2| A couple trying to find their sets at a stadium .
2087640654.jpg| 2| A dog is digging a large hole in a yard to find something .
2358877768.jpg| 2| Two men looking on a map to find the best rock climbing place .
2576407111.jpg| 0| The man is digging to find something important , gems , gold or other sort .
288025239.jpg| 1| The hiker pokes out of her tent to find that snow is everywhere .
2981475527.jpg| 2| six women in muddy water trying to find food .
2992217972.jpg| 2| a costume party where a weird zombie Mohawk guy finds a girl
3014251754.jpg| 2| A person looks through a telescopes viewfinder during the daytime .
3029809567.jpg| 0| These little girls find a dragon egg at the mall and are pretty amazed by the scenery .
3117883079.jpg| 0| During this wedding family tries to find the solution to a problem .
3156379613.jpg| 2| The man in the gray hooded jacket finds the missing piece .
3470703538.jpg| 4| The guy on the right says ok let 's find you a soda .
368894889.jpg| 0| A group of children running up to a sandy area to find multicolored paintings on the ground that each have a letter of the alphabet affixed .
3701699584.jpg| 3| A man swinging at a tennis ball with a green sign that read findersport .
3958612961.jpg| 0| A woman who appears to be a student , laughs at something that her male companion does n't seem to find amusing .
3983292574.jpg| 4| He still finds time to read .
4222323987.jpg| 3| A man in the blue shirt and hat opens his gift , he finds a barbie doll .
4462840824.jpg| 2| Both are looking at the map to find out the direction .
4521546708.jpg| 3| A lost dog trying to find some food in a pizza restaurant .
4555412480.jpg| 0| A man in military garb holds a video camera and shows the viewfinder to a nearby boy in a brown shirt .
462220690.jpg| 4| two companions find their way through the melting snow .
4653019748.jpg| 2| A man finds a unique place to sit and rest on a city sidewalk .
4673314291.jpg| 1| These people can find a resting place in the most unusual forms .
4690242705.jpg| 0| The woman in the black shirt attempts to find her bike in the midst of the crowded street .
4744759921.jpg| 4| A homeless man is trying to find a job
47770444.jpg| 0| Construction signs and lights help those in traffic find the correct detour .
4788900125.jpg| 3| A formally attired couple find an informal moment in the fountain .
4801623756.jpg| 0| a couple is traveling on a vespa , while a group of tourist try to find out where they are .
4829698553.jpg| 2| Two young men find thrills in wearing hats which suggest the resemblance of breasts .
4830853107.jpg| 0| An Asian woman wearing a pink shirt is looking through the display viewfinder of a camera and is taking a picture .
4848311689.jpg| 2| A couple are trying to find the place they want to go .
4855382104.jpg| 3| A local man finds some time to take a nap on his chopper .
4903031459.jpg| 0| Two people laugh together over something they both find funny .
4934102103.jpg| 0| This couple is enjoying a bike ride through Amsterdam and using their guidebooks to find an especially interesting route .
4948865477.jpg| 4| A man is trying to find shelter from the rain .
532396029.jpg| 1| A little girl finds joy in playing in a big , sloppy area of mud !
5371507831.jpg| 2| Little girl finds something of interest on the side of the road .
539676201.jpg| 3| The spelunker finds water during his trek .
5739923608.jpg| 1| Pedestrian in the street finds a broom and takes to the streets cleaning up trash and crime .
5749795798.jpg| 4| Here we find four guys playing Frisbee .
5964395383.jpg| 1| A older gentleman finds it humorous that he is getting his picture taken while doing his laundry .
5988551357.jpg| 3| A rodeo clown finds it 's way in the action .
6156276992.jpg| 3| Tourists observe a geographic landmark through viewfinders .
662492649.jpg| 3| On the corner you will find a lady sitting on her bags spraying the crown with water as they walk by .
6676181181.jpg| 3| 3 Phoenix Coyote Hockey players waiting to resume play find something amusing .
6848969863.jpg| 0| A woman presents a bar code for a smartphone so that a man can use his phone to find the location associated with the code .
708945669.jpg| 1| The cameraman is squatting among the rocks with his viewfinder to his eye .
7175934082.jpg| 0| One lone army soldier overlooking an area with binoculars or perhaps a range finder in a sub desert area .
7602525254.jpg| 2| A father and son trying to find shelter off of the streets .
7917187398.jpg| 0| Four rugby players from the white team and four rugby players from the blue team get involved in a tackle outside with two on the ground with the ball , two mid tackle and four finding their positioning .
906991263.jpg| 0| A tourist walks down the street , camera in hand , trying to find something worthy of a photo .
